line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P043-L023	71	monkey	1	BCDE	attested	high	bandra		
P043-L024	71	monkey	1	A	attested	high	bəndər		Site A has two separately printed responses; this line is retained separately as printed.
P043-L025	71	monkey	2	0	attested	high	banor		
P043-L026	71	monkey	2	A	attested	high	bəndər		Site A has two separately printed responses; this line is retained separately as printed.
P043-L027	72	rabbit	0	A	blank	high			Printed “no entry”.
P043-L028	72	rabbit	1	CDE	attested	high	kʰɛrha		
P043-L029	72	rabbit	1	B	attested	high	kʰɛrxa		
P043-L030	72	rabbit	2	0	attested	high	kʰɔrgoʃ		
P043-L031	73	snake	1	A	attested	high	nɛr		
P043-L032	73	snake	1	BCDE	attested	high	nɛrɛ		
P043-L033	73	snake	2	0	attested	high	ʃap		
P043-L034	74	crocodile	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P043-L035	75	house lizard	0	A	blank	high			Printed “no entry”.
P043-L036	75	house lizard	1	BD	attested	high	tɛtiŋga		
P043-L037	75	house lizard	2	0CE	attested	high	tiktikki		
P043-L038	76	turtle	0	A	blank	high			Printed “no entry”.
P043-L039	76	turtle	1	BD	attested	high	katʃʰu̯a		Site D has two separately printed responses; this line is retained separately as printed.
P043-L040	76	turtle	1	E	attested	high	katʃʰu̯ɛ		
P043-L041	76	turtle	2	CD	attested	high	ɛkːa		Site D has two separately printed responses; this line is retained separately as printed.
P043-L042	76	turtle	3	0	attested	high	kɔttʃʰop		
P043-L043	77	frog	0	A	blank	high			Printed “no entry”.
P043-L044	77	frog	1	CD	attested	high	muxa		
P043-L045	77	frog	2	0BE	attested	high	bæŋ		
P043-L046	78	dog	1	A	attested	high	ɛlːɛ		
P043-L047	78	dog	1	BCDE	attested	high	alːa		
P043-L048	78	dog	2	0	attested	high	kukur		
P043-L049	79	cat	0	A	blank	high			Printed “no entry”.
P043-L050	79	cat	1	BCDE	attested	high	bɛrxa		
P043-L051	79	cat	2	0	attested	high	biral		
P043-L052	80	cow	1	A	attested	high	ɛdo		
P043-L053	80	cow	1	BCDE	attested	high	aɖːo		
P043-L054	80	cow	2	0	attested	high	goru		
