line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P053-L008	241	some	0	A	blank	high			Printed “no entry”.
P053-L009	241	some	1	BCD	attested	high	tʰorɛ		
P053-L010	241	some	1	E	attested	high	tʰuri		
P053-L011	241	some	2	0	attested	high	kitʃʰu		
P053-L012	242	many	1	BCDE	attested	high	dɛr		
P053-L013	242	many	2	0	attested	high	ɔnɛk		
P053-L014	242	many	3	A	attested	high	bɛgɛ		
P053-L015	243	all	1	E	attested	high	horma		
P053-L016	243	all	1	BCD	attested	high	hurmi		
P053-L017	243	all	2	0	attested	high	ʃɔb		
P053-L018	243	all	3	A	attested	high	dʒɛmɛ		
P053-L019	244	big	1	BCDE	attested	high	koha		
P053-L020	244	big	2	0	attested	high	bɔɽo		
P053-L021	244	big	3	A	attested	high	gɛⁱlɛ		
P053-L022	245	small	1	DE	attested	high	ʃanːi		
P053-L023	245	small	1	B	attested	high	sanːi		
P053-L024	245	small	1	A	attested	high	tʃukːɛ		
P053-L025	245	small	2	CD	attested	high	tʃʰotɛ		
P053-L026	245	small	2	0	attested	high	tʃʰoto		
P053-L027	245	small	2	A	attested	high	tʃukːɛ		
P053-L028	246	long	1	BCDE	attested	high	digha		
P053-L029	246	long	2	A	attested	high	lɛmti		
P053-L030	246	long	2	0	attested	high	lɔmba		
P053-L031	247	short (length)	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P053-L032	248	heavy	1	BCDE	attested	high	otʰːa		
P053-L033	248	heavy	2	0	attested	high	bʰari		
P053-L034	248	heavy	3	A	attested	high	odʒɛ̃		
P053-L035	249	light (not heavy)	1	BCDE	attested	high	nɛbːa		
P053-L036	249	light (not heavy)	2	0	attested	high	halka		
P053-L037	249	light (not heavy)	3	A	attested	high	odʒɛnməlɛ		
P053-L038	250	fat	0	A	blank	high			Printed “no entry”.
P053-L039	250	fat	1	0BCDE	attested	high	moʈa		
