line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P049-L050	181	to swim	0	A	blank	high			Printed “no entry”.
P049-L051	181	to swim	1	BCDE	attested	high	ug		
P049-L052	181	to swim	2	0	attested	high	ʃatar kaʈa		
P049-L053	182	to see	1	ABCDE	attested	high	ɛr		
P049-L054	182	to see	2	0	attested	high	dɛkʰa		
P050-L001	183	to hear	1	BCDE	attested	high	mɛn		
P050-L002	183	to hear	1	A	attested	high	min		
P050-L003	183	to hear	2	0	attested	high	ʃona		
P050-L004	184	to wait	0	A	blank	high			Printed “no entry”.
P050-L005	184	to wait	1	BCDE	attested	high	xap		
P050-L006	184	to wait	2	0	attested	high	ɔpɛkkʰa kɔra		
P050-L007	185	to cry	0	A	blank	high			Printed “no entry”.
P050-L008	185	to cry	1	CD	attested	high	tʃiho		
P050-L009	185	to cry	1	BE	attested	high	tʃixo		
P050-L010	185	to cry	2	0	attested	high	kãda		
P050-L011	186	to cook	0	A	blank	high			Printed “no entry”.
P050-L012	186	to cook	1	BCDE	attested	high	bit		
P050-L013	186	to cook	2	0	attested	high	ranna kɔra		
P050-L014	187	to boil (water)	0	AB	blank	high			Printed “no entry”.
P050-L015	187	to boil (water)	1	CDE	attested	high	bit		
P050-L016	187	to boil (water)	2	0	attested	high	ʃiddʰo kɔra		
P050-L017	188	to eat	1	ABCDE	attested	high	on		
P050-L018	188	to eat	2	0	attested	high	kʰawa		
P050-L019	189	to drink	1	ABCDE	attested	high	on		
P050-L020	189	to drink	2	0	attested	high	pani kʰawa		
P050-L021	190	to sing	1	BCDE	attested	high	dandi par		
P050-L022	190	to sing	2	0	attested	high	gan gawa		
P050-L023	190	to sing	3	A	attested	high	pɛd		
