line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P052-L037	231	seven	1	0BCDE	attested	high	ʃat		
P052-L038	231	seven	1	A	attested	high	sat		
P052-L039	232	eight	1	0BCDE	attested	high	aʈ		
P052-L040	232	eight	2	A	attested	high	ɛtʰ		
P052-L041	233	nine	1	A	attested	high	nɛᵘ		
P052-L042	233	nine	1	0BCDE	attested	high	nɔi̯		
P052-L043	234	ten	1	A	attested	high	dɛs		
P052-L044	234	ten	1	0BCDE	attested	high	dɔʃ		
P052-L045	235	eleven	1	0BCDE	attested	high	ægaro		
P052-L046	235	eleven	1	A	attested	high	gɛrɛ		
P052-L047	236	twelve	1	A	attested	high	bɛrɛ		
P052-L048	236	twelve	1	0BCDE	attested	high	baro		
P053-L001	237	twenty	1	A	attested	high	bis		
P053-L002	237	twenty	1	0BCDE	attested	high	biʃ		
P053-L003	238	hundred	1	0BCDE	attested	high	ʃɔ		
P053-L004	238	hundred	2	A	attested	high	sɛᵘ		
P053-L005	239	thousand	0	A	blank	high			Printed “no entry”.
P053-L006	239	thousand	1	0BCDE	attested	high	hadʒar		
P053-L007	240	few	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
