line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P056-L044	301	2s (honorific)	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P056-L045	302	3s (generic/male)	1	A	attested	high	ɛs		
P056-L046	302	3s (generic/male)	1	BCDE	attested	high	as		
P056-L047	302	3s (generic/male)	2	0	attested	high	ʃɛ		
P056-L048	303	3s (female)	1	BCDE	attested	high	ad		
P056-L049	303	3s (female)	2	0	attested	high	ʃɛ		
P056-L050	303	3s (female)	3	A	attested	high	ɛs		
P056-L051	304	1p	1	A	attested	high	ɛn		
P056-L052	304	1p	2	BCDE	attested	high	em / nam		
P056-L053	304	1p	3	0	attested	high	amra		
P057-L001	305	2p (familiar)	1	A	attested	high	nɪn		
P057-L002	305	2p (familiar)	1	BCDE	attested	high	nim		
P057-L003	305	2p (familiar)	2	0	attested	high	tomra		
P057-L004	306	2p (honorific)	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P057-L005	307	3p	1	A	attested	high	ɛs		
P057-L006	307	3p	2	BCDE	attested	high	ar		
P057-L007	307	3p	3	0	attested	high	tara		
