line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P055-L006	271	wet	1	B	attested	high	tʃaɛ̯ka		
P055-L007	271	wet	1	CD	attested	high	tʃai̯ka		
P055-L008	271	wet	1	E	attested	high	tʃai̯kɛ		
P055-L009	271	wet	2	A	attested	high	bʰɪɳɖʒal		
P055-L010	271	wet	2	0	attested	high	bʰidʒa		
P055-L011	272	hot (weather)	1	A	attested	high	gɛrɛm		
P055-L012	272	hot (weather)	1	BCDE	attested	high	garam		
P055-L013	272	hot (weather)	1	0	attested	high	gɔrɔm		
P055-L014	273	cold (weather)	1	BCDE	attested	high	kirna		
P055-L015	273	cold (weather)	1	A	attested	high	kenɛm		
P055-L016	273	cold (weather)	2	0	attested	high	ʈʰanda		
P055-L017	274	good	1	BCD	attested	high	korɛ		
P055-L018	274	good	1	A	attested	high	korɛm		
P055-L019	274	good	2	0DE	attested	high	bʰalo		
P055-L020	275	bad	0	AD	blank	high			Printed “no entry”.
P055-L021	275	bad	1	B	attested	high	korɛ maldag		
P055-L022	275	bad	2	C	attested	high	mal korɛ		
P055-L023	275	bad	3	0E	attested	high	kʰarap		
P055-L024	276	new	1	BCDE	attested	high	puna		
P055-L025	276	new	1	A	attested	high	punɛ		
P055-L026	276	new	2	0	attested	high	notun		
P055-L027	277	old	1	BCDE	attested	high	pattʃa		
P055-L028	277	old	2	A	attested	high	pʰɛtʃʰɛ		
P055-L029	277	old	3	0	attested	high	purano		
P055-L030	278	broken	1	B	attested	high	hotɛrka		
P055-L031	278	broken	1	CD	attested	high	hotorka		
P055-L032	278	broken	2	E	attested	high	ɛsɛra		
P055-L033	278	broken	2	A	attested	high	ɛsra		
P055-L034	278	broken	3	0	attested	high	bʰaŋga		
P055-L035	279	above	1	BCDE	attested	high	mɛ̃i̯nja		
P055-L036	279	above	1	A	attested	high	mɛ̃njɛ		
P055-L037	279	above	2	0	attested	high	upore		
P055-L038	280	below	1	BCD	attested	high	kija		
P055-L039	280	below	1	A	attested	high	kije		
P055-L040	280	below	1	E	attested	high	kijɛ		
P055-L041	280	below	2	0	attested	high	nitʃɛ		
