line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P043-L055	81	buffalo	1	BCDE	attested	high	manxa		
P043-L056	81	buffalo	1	A	attested	high	məŋkʰɛ		
P043-L057	81	buffalo	2	0	attested	high	mohiʃ		
P044-L001	82	horn (of buffalo)	1	A	attested	high	mɛrɛk		
P044-L002	82	horn (of buffalo)	1	BCD	attested	high	maraŋ		
P044-L003	82	horn (of buffalo)	2	0E	attested	high	ʃiŋ		
P044-L004	83	tail	1	ABCDE	attested	high	xola		
P044-L005	83	tail	2	0	attested	high	lɛdʒ		
P044-L006	84	goat	1	BCDE	attested	high	ɛra		
P044-L007	84	goat	1	A	attested	high	ɛrɛ		
P044-L008	84	goat	2	0	attested	high	tʃʰagol		
P044-L009	85	pig	0	A	blank	high			Printed “no entry”.
P044-L010	85	pig	1	BCDE	attested	high	kiʃi		
P044-L011	85	pig	2	0	attested	high	ʃukor		
P044-L012	86	rat	0	A	blank	high			Printed “no entry”.
P044-L013	86	rat	1	CDE	attested	high	oʃga		
P044-L014	86	rat	1	B	attested	high	osga		
P044-L015	86	rat	2	0	attested	high	idur		
P044-L016	87	chicken (adult female)	1	A	attested	high	kʰɛr		
P044-L017	87	chicken (adult female)	1	BCDE	attested	high	xɛr		
P044-L018	87	chicken (adult female)	2	0	attested	high	murgi		
P044-L019	88	egg	1	ABCDE	attested	high	bi		
P044-L020	88	egg	2	0	attested	high	ɖim		
P044-L021	89	fish	1	A	attested	high	indʒo		
P044-L022	89	fish	1	BCDE	attested	high	indʒo		
P044-L023	89	fish	2	0	attested	high	matʃʰ		
P044-L024	90	duck	0	A	blank	high			Printed “no entry”.
P044-L025	90	duck	1	BCDE	attested	high	gɛrɛ		
P044-L026	90	duck	2	0	attested	high	haʃ		
