line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P048-L039	161	axe	1	A	attested	high	təŋgə		
P048-L040	161	axe	1	BCD	attested	high	toŋːɛ		
P048-L041	161	axe	1	E	attested	high	toŋgɛ		
P048-L042	161	axe	2	0	attested	high	kutʰar		
P048-L043	162	bow	0	A	blank	high			Printed “no entry”.
P048-L044	162	bow	1	CD	attested	high	guntʰa		
P048-L045	162	bow	2	E	attested	high	tʃiɛri		
P048-L046	162	bow	3	0B	attested	high	dʰɔnuk		
P048-L047	163	arrow	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P048-L048	164	spear	0	A	blank	high			Printed “no entry”.
P048-L049	164	spear	1	BCDE	attested	high	pʰala		
P048-L050	164	spear	2	0	attested	high	bɔrʃa		
P049-L001	165	fire	1	A	attested	high	tʃʰitʃʰ		
P049-L002	165	fire	1	C	attested	high	tʃitʃʰi		Site C has two separately printed responses; this line is retained separately as printed.
P049-L003	165	fire	2	C	attested	high	tʃitʃʰi		Site C has two separately printed responses; this line is retained separately as printed.
P049-L004	165	fire	2	BDE	attested	high	tʃitʃi		
P049-L005	165	fire	3	0	attested	high	agun		
P049-L006	166	ashes	1	A	attested	high	tʃind		
P049-L007	166	ashes	1	BCDE	attested	high	tʃindi		
P049-L008	166	ashes	2	0	attested	high	tʃʰai		
P049-L009	167	smoke	1	BCD	attested	high	duŋga		
P049-L010	167	smoke	1	E	attested	high	duŋgu		
P049-L011	167	smoke	2	0	attested	high	dʰõa		
P049-L012	167	smoke	3	A	attested	high	dʰuŋgijɛ		
P049-L013	168	candle	0	A	blank	high			Printed “no entry”.
P049-L014	168	candle	1	0BCDE	attested	high	mombati		
P049-L015	169	boat	0	A	blank	high			Printed “no entry”.
P049-L016	169	boat	1	CD	attested	high	nau̯		
P049-L017	169	boat	2	E	attested	high	lau̯kɛ		
P049-L018	169	boat	2	0B	attested	high	nou̯ka		
P049-L019	170	road	1	BCDE	attested	high	daharɛ		
P049-L020	170	road	1	A	attested	high	dɛhɛrɛ		
P049-L021	170	road	2	0	attested	high	rasta		
