line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P046-L024	121	blood	1	E	attested	high	xɛs		
P046-L025	121	blood	1	B	attested	high	xɛso		
P046-L026	121	blood	1	CD	attested	high	xɛ̃ʃo		
P046-L027	121	blood	2	0	attested	high	rɔkto		
P046-L028	121	blood	3	A	attested	high	lɛhu		
P046-L029	122	sweat	0	AB	blank	high			Printed “no entry”.
P046-L030	122	sweat	1	C	attested	high	ɛrtʃɛrna		
P046-L031	122	sweat	1	D	attested	high	ɛrtʃna		
P046-L032	122	sweat	2	E	attested	high	garmaɽa		
P046-L033	122	sweat	3	0	attested	high	gʰam		
P046-L034	123	belly	1	ABCDE	attested	high	kul		
P046-L035	123	belly	2	0	attested	high	pɛt		
P046-L036	124	heart (organ)	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P046-L037	125	back	0	A	blank	high			Printed “no entry”.
P046-L038	125	back	1	BCDE	attested	high	mɛd		
P046-L039	125	back	2	0	attested	high	pitʰ		
P046-L040	126	body	1	BC	attested	high	dɛha		
P046-L041	126	body	1	DE	attested	high	dɛho		
P046-L042	126	body	1	0	attested	high	ga / dɛho		Printed as a slash-separated response on one line.
P046-L043	126	body	2	A	attested	high	mɛdʒ		
P046-L044	127	person	0	A	blank	high			Printed “no entry”.
P046-L045	127	person	1	BCDE	attested	high	al		
P046-L046	127	person	2	0	attested	high	lok		
P046-L047	128	man	1	BCDE	attested	high	mɛt		
P046-L048	128	man	2	0	attested	high	puruʃ		
P046-L049	128	man	3	A	attested	high	kurukʰ		
P046-L050	129	woman	1	B	attested	high	mukːa		
P046-L051	129	woman	1	CDE	attested	high	mukːɛ		
P046-L052	129	woman	2	0	attested	high	mohila		
P046-L053	129	woman	3	A	attested	high	ɛlːi		
P046-L054	130	father	1	AB	attested	high	bas		
P046-L055	130	father	2	DE	attested	high	ba		
P046-L056	130	father	3	0C	attested	high	baba		
