line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P051-L032	211	to wash (face/hand)	0	A	blank	high			Printed “no entry”.
P051-L033	211	to wash (face/hand)	1	BCDE	attested	high	nor		
P051-L034	211	to wash (face/hand)	2	0	attested	high	dʰoa		
P051-L035	212	to take bath	0	A	blank	high			Printed “no entry”.
P051-L036	212	to take bath	1	BCDE	attested	high	ɛm		
P051-L037	212	to take bath	2	0	attested	high	gosol kɔra		
P051-L038	213	to cut something	0	A	blank	high			Printed “no entry”.
P051-L039	213	to cut something	1	BCDE	attested	high	kʰand		
P051-L040	213	to cut something	2	0	attested	high	kaʈa		
P051-L041	214	to burn	1	BCDE	attested	high	oldo		
P051-L042	214	to burn	2	0	attested	high	poɽano		
P051-L043	214	to burn	3	A	attested	high	qɛŋkʰolɛli		
P051-L044	215	to buy	0	A	blank	high			Printed “no entry”.
P051-L045	215	to buy	1	BCDE	attested	high	xɛnd		
P051-L046	215	to buy	2	0	attested	high	kena		
P051-L047	216	to sell	0	A	blank	high			Printed “no entry”.
P051-L048	216	to sell	1	BC	attested	high	bis		
P051-L049	216	to sell	1	DE	attested	high	biʃ		
P051-L050	216	to sell	2	0	attested	high	bikri kɔra		
P051-L051	217	to steal	0	A	blank	high			Printed “no entry”.
P051-L052	217	to steal	1	B	attested	high	xar		
P051-L053	217	to steal	2	CDE	attested	high	har		
P051-L054	217	to steal	3	0	attested	high	tʃuri kɔra		
P052-L001	218	to lie, fib	0	AB	blank	high			Printed “no entry”.
P052-L002	218	to lie, fib	1	CD	attested	high	dʒut katʰa bo		
P052-L003	218	to lie, fib	2	E	attested	high	mitʰa bo		
P052-L004	218	to lie, fib	2	0	attested	high	mittʰa bɔla		
P052-L005	219	to take	0	A	blank	high			Printed “no entry”.
P052-L006	219	to take	1	B	attested	high	xo		
P052-L007	219	to take	2	CDE	attested	high	ho		
P052-L008	219	to take	3	0	attested	high	nɛa		
P052-L009	220	to give	1	ABCDE	attested	high	tʃi		
P052-L010	220	to give	2	0	attested	high	dɛa		
