line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P050-L024	191	to bite	1	BCDE	attested	high	tʃab		
P050-L025	191	to bite	2	0	attested	high	kamɽano		
P050-L026	191	to bite	3	A	attested	high	ɛlːɛ purmija		
P050-L027	192	to laugh	0	A	blank	high			Printed “no entry”.
P050-L028	192	to laugh	1	CDE	attested	high	alkʰo		
P050-L029	192	to laugh	1	B	attested	high	alxo		
P050-L030	192	to laugh	2	0	attested	high	haʃa		
P050-L031	193	to speak	1	BCDE	attested	high	bo		
P050-L032	193	to speak	2	0	attested	high	bɔla		
P050-L033	193	to speak	3	A	attested	high	tʰeⁱŋgɛ		
P050-L034	194	to tell	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P050-L035	195	to know	0	A	blank	high			Printed “no entry”.
P050-L036	195	to know	1	BCDE	attested	high	ax		
P050-L037	195	to know	2	0	attested	high	dʒana		
P050-L038	196	to forget	0	A	blank	high			Printed “no entry”.
P050-L039	196	to forget	1	BCDE	attested	high	modɽo		
P050-L040	196	to forget	2	0	attested	high	bʰulɛ dʒawa		
P050-L041	197	to sleep	1	A	attested	high	kɛndrɛ		
P050-L042	197	to sleep	1	BCDE	attested	high	xandro		
P050-L043	197	to sleep	2	0	attested	high	gʰumano		
P050-L044	198	to dream	0	A	blank	high			Printed “no entry”.
P050-L045	198	to dream	1	BCDE	attested	high	ʃapnar		
P050-L046	198	to dream	2	0	attested	high	ʃopno dɛkʰa		
P050-L047	199	to do/make	0	A	blank	high			Printed “no entry”.
P050-L048	199	to do/make	1	BCDE	attested	high	kam		
P050-L049	199	to do/make	2	0	attested	high	kɔra		
P050-L050	200	to work	0	A	blank	high			Printed “no entry”.
P050-L051	200	to work	1	B	attested	high	kamnan		
P050-L052	200	to work	2	CDE	attested	high	nalaknan		
P050-L053	200	to work	3	0	attested	high	kadʒ kɔra		
