line_id	item	gloss	group	site_codes	status	form	visible_base	note
P039-L039	11	sea	0	ADE	blank			Printed “no entry”.
P039-L040	11	sea	1	C	attested	ʃamdar		
P039-L041	11	sea	1	B	attested	samudar		
P039-L042	11	sea	2	0	attested	ʃomudro		
P039-L043	12	mountain	0	A	blank			Printed “no entry”.
P039-L044	12	mountain	1	B	attested	parɛta		
P039-L045	12	mountain	1	CD	attested	parta		
P039-L046	12	mountain	2	0E	attested	pahaɽ		
P039-L047	13	water	1	BCDE	attested	ammɛ		
P039-L048	13	water	2	0	attested	pani		
P039-L049	13	water	3	A	attested	ɛm		
P039-L050	14	river	1	A	attested	kʰɛr		
P039-L051	14	river	1	BDE	attested	xar		
P039-L052	14	river	2	C	attested	nadi		
P039-L053	14	river	2	0	attested	nodi		
P039-L054	15	soil/ground	0	A	blank			Printed “no entry”.
P039-L055	15	soil/ground	1	BCDE	attested	xatd͜ʒɛ		
P039-L056	15	soil/ground	2	0	attested	maʈi		
P040-L001	16	mud	1	0	attested	kada		
P040-L002	16	mud	1	BCDE	attested	kado		
P040-L003	16	mud	1	A	attested	kʰəd		
P040-L004	17	dust	1	0	attested	dʰula		
P040-L005	17	dust	1	BCDE	attested	dʰuli		
P040-L006	17	dust	1	A	attested	dʰur		
P040-L007	18	stone	1	B	attested	pakʰɛna		
P040-L008	18	stone	1	CDE	attested	pakʰna		
P040-L009	18	stone	2	0	attested	patʰor		
P040-L010	18	stone	3	A	attested	dʰoŋgɛ		
P040-L011	19	sand	1	0	attested	bali		
P040-L012	19	sand	1	BE	attested	balu		
P040-L013	19	sand	2	CD	attested	t͜ʃalkul		
P040-L014	19	sand	2	A	attested	t͜ʃʰɛlkul		
P040-L015	20	gold	1	0BCDE	attested	ʃona		
P040-L016	20	gold	2	A	attested	t͜ʃʰutɛ		
