line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P049-L022	171	path	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P049-L023	172	to go	1	A	attested	high	gəl		
P049-L024	172	to go	1	BCDE	attested	high	kal		
P049-L025	172	to go	2	0	attested	high	dʒawa		
P049-L026	173	to come	1	A	attested	high	bɛr		
P049-L027	173	to come	1	BCDE	attested	high	bar		
P049-L028	173	to come	2	0	attested	high	aʃa		
P049-L029	174	to stand	0	A	blank	high			Printed “no entry”.
P049-L030	174	to stand	1	BCDE	attested	high	idʒu		
P049-L031	174	to stand	2	0	attested	high	darano		
P049-L032	175	to sit	1	ABCDE	attested	high	ok		
P049-L033	175	to sit	2	0	attested	high	bɔʃa		
P049-L034	176	to lie down	1	BCDE	attested	high	bɛdɽo		
P049-L035	176	to lie down	2	0	attested	high	ʃoa		
P049-L036	176	to lie down	3	A	attested	high	tʃut		
P049-L037	177	to walk	1	ABCDE	attested	high	ɛk		
P049-L038	177	to walk	2	0	attested	high	hãʈa		
P049-L039	178	to fly	1	BCDE	attested	high	uriar		
P049-L040	178	to fly	2	0	attested	high	ora		
P049-L041	178	to fly	3	A	attested	high	orakɛrɛ		
P049-L042	179	to enter	0	A	blank	high			Printed “no entry”.
P049-L043	179	to enter	1	BCDE	attested	high	kor		
P049-L044	179	to enter	2	0	attested	high	dʰoka		
P049-L045	180	to kick	0	A	blank	high			Printed “no entry”.
P049-L046	180	to kick	1	BC	attested	high	latʰ		
P049-L047	180	to kick	1	D	attested	high	lɔtʰ		
P049-L048	180	to kick	1	E	attested	high	lɔtʰi		
P049-L049	180	to kick	2	0	attested	high	latʰi mara		
