line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P045-L008	101	neck	0	A	blank	high			Printed “no entry”.
P045-L009	101	neck	1	BCDE	attested	high	xɛʃɛr		
P045-L010	101	neck	2	0	attested	high	gola		
P045-L011	102	hair	1	BCDE	attested	high	tʃutːi		
P045-L012	102	hair	1	A	attested	high	tʃuti		
P045-L013	102	hair	2	0	attested	high	tʃul		
P045-L014	103	eye	1	A	attested	high	kʰɛn		
P045-L015	103	eye	1	B	attested	high	xan		
P045-L016	103	eye	1	CDE	attested	high	xanːɛ		
P045-L017	103	eye	2	0	attested	high	tʃok		
P045-L018	104	nose	1	BCDE	attested	high	muhi		
P045-L019	104	nose	1	A	attested	high	mũĩ		
P045-L020	104	nose	2	0	attested	high	nak		
P045-L021	105	ear	1	A	attested	high	kʰɛbdɛ		
P045-L022	105	ear	1	BCDE	attested	high	xɛbda		
P045-L023	105	ear	2	0	attested	high	kan		
P045-L024	106	cheek	0	A	blank	high			Printed “no entry”.
P045-L025	106	cheek	1	0	attested	high	gal		
P045-L026	106	cheek	1	BCDE	attested	high	galːɛ		
P045-L027	107	chin	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P045-L028	108	mouth	1	BC	attested	high	galːɛ		
P045-L029	108	mouth	2	AD	attested	high	bei		
P045-L030	108	mouth	2	E	attested	high	bai		
P045-L031	108	mouth	3	0	attested	high	muk		
P045-L032	109	tongue	1	A	attested	high	tɛrxɛ		
P045-L033	109	tongue	1	BCDE	attested	high	tatxa		
P045-L034	109	tongue	2	0	attested	high	dʒib		
P045-L035	110	tooth	1	A	attested	high	pɛl		
P045-L036	110	tooth	1	BCDE	attested	high	palːɛ		
P045-L037	110	tooth	2	0	attested	high	dãt		
