line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P055-L042	281	far	1	A	attested	high	gɛtʃɛ		
P055-L043	281	far	1	BCDE	attested	high	gɛttʃʰa		
P055-L044	281	far	2	0	attested	high	durɛ		
P055-L045	282	near	1	BCDE	attested	high	hɛdːɛ		
P055-L046	282	near	1	A	attested	high	hidi		
P055-L047	282	near	2	0	attested	high	kaʈʃʰɛ		
P055-L048	283	right	1	BDE	attested	high	mari		
P055-L049	283	right	2	CD	attested	high	tina		
P055-L050	283	right	3	0	attested	high	ɖan		
P055-L051	283	right	4	A	attested	high	delɛ		
P055-L052	284	left	1	BDE	attested	high	lɛŋa		
P055-L053	284	left	2	CD	attested	high	dɛbːa		
P055-L054	284	left	3	0	attested	high	bam		
P055-L055	284	left	4	A	attested	high	bɛⁱjɛ		
P055-L056	285	black	1	A	attested	high	mokʰɛro		
P055-L057	285	black	1	BCDE	attested	high	moxaro		
P055-L058	285	black	2	0	attested	high	kalo		
P056-L001	286	white	1	BCDE	attested	high	pandru		
P056-L002	286	white	2	0	attested	high	ʃada		
P056-L003	286	white	2	A	attested	high	sedɛ		
P056-L004	287	red	1	0ABCDE	attested	high	lal		
P056-L005	288	green	0	A	blank	high			Printed “no entry”.
P056-L006	288	green	1	0	attested	high	ʃobudʒ		
P056-L007	288	green	2	BCDE	attested	high	hariar		
P056-L008	289	yellow	0	A	blank	high			Printed “no entry”.
P056-L009	289	yellow	1	BCDE	attested	high	balka		
P056-L010	289	yellow	2	0	attested	high	holud		
P056-L011	290	when (near future)	1	BCDE	attested	high	ɛkabaki		
P056-L012	290	when (near future)	2	0	attested	high	kɔkʰon		
P056-L013	290	when (near future)	2	A	attested	high	ɛkun		
