line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P048-L014	151	clothing	1	A	attested	high	kitʃəri		
P048-L015	151	clothing	1	BCDE	attested	high	kitʃʰri		
P048-L016	151	clothing	2	0	attested	high	poʃak		
P048-L017	152	cloth	0	ABCDE0	not_used	high			Printed “[not used]” for the entire item.
P048-L018	153	medicine	0	A	blank	high			Printed “no entry”.
P048-L019	153	medicine	1	BCDE	attested	high	mandar		
P048-L020	153	medicine	2	0	attested	high	oʃud		
P048-L021	154	paper	0	A	blank	high			Printed “no entry”.
P048-L022	154	paper	1	0BCDE	attested	high	kagodʒ		
P048-L023	155	needle	1	0BCDE	attested	high	ʃutʃ / ʃui		Printed as a slash-separated response on one line.
P048-L024	155	needle	1	A	attested	high	sui		
P048-L025	156	thread	1	BCDE	attested	high	mɛr		
P048-L026	156	thread	2	0	attested	high	ʃuta		
P048-L027	156	thread	2	A	attested	high	sutɛ		
P048-L028	157	broom	1	BCDE	attested	high	tʃalki		
P048-L029	157	broom	1	A	attested	high	tʃʰɛlki		
P048-L030	157	broom	2	0	attested	high	dʒʰaɽu		
P048-L031	158	spoon (for eating)	0	A	blank	high			Printed “no entry”.
P048-L032	158	spoon (for eating)	1	0BCDE	attested	high	tʃamotʃ		
P048-L033	159	knife (to cut meat)	1	BCDE	attested	high	kanto		
P048-L034	159	knife (to cut meat)	1	A	attested	high	qanto		
P048-L035	159	knife (to cut meat)	2	0	attested	high	tʃʰuri		
P048-L036	160	hammer	1	CDE	attested	high	mugɽa		
P048-L037	160	hammer	2	0B	attested	high	haturi		
P048-L038	160	hammer	3	A	attested	high	metʰul		
