line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P054-L025	261	sour	0	A	blank	high			Printed “no entry”.
P054-L026	261	sour	1	BD	attested	high	tiʃa		
P054-L027	261	sour	1	C	attested	high	tisa		
P054-L028	261	sour	1	E	attested	high	tisɛ		
P054-L029	261	sour	2	0	attested	high	ʈɔk		
P054-L030	262	bitter	0	A	blank	high			Printed “no entry”.
P054-L031	262	bitter	1	BCD	attested	high	xalxa		
P054-L032	262	bitter	2	0	attested	high	tita		
P054-L033	262	bitter	2	E	attested	high	titɛm		
P054-L034	263	spicy, hot	0	A	blank	high			Printed “no entry”.
P054-L035	263	spicy, hot	1	BCDE	attested	high	xalxa		
P054-L036	263	spicy, hot	2	0	attested	high	dʒʰal		
P054-L037	264	ripe	0	A	blank	high			Printed “no entry”.
P054-L038	264	ripe	1	BCDE	attested	high	pandʒka		
P054-L039	264	ripe	1	0	attested	high	paka		
P054-L040	265	rotten (fruit)	0	A	blank	high			Printed “no entry”.
P054-L041	265	rotten (fruit)	1	BC	attested	high	kitka		
P054-L042	265	rotten (fruit)	1	D	attested	high	kitːi̯a		
P054-L043	265	rotten (fruit)	1	E	attested	high	kitːiɛ̯		
P054-L044	265	rotten (fruit)	2	0	attested	high	potʃa		
P054-L045	266	fast	0	A	blank	high			Printed “no entry”.
P054-L046	266	fast	1	BCDE	attested	high	dʒaldi		
P054-L047	266	fast	2	0	attested	high	taratari		
P054-L048	267	slow	0	A	blank	high			Printed “no entry”.
P054-L049	267	slow	1	0D	attested	high	dʰirɛ dʰirɛ		
P054-L050	267	slow	1	C	attested	high	dirɛ		
P054-L051	267	slow	1	BE	attested	high	dirɛm		
P054-L052	268	same	1	BCD	attested	high	ontam		
P054-L053	268	same	1	E	attested	high	ontanum		
P054-L054	268	same	2	0	attested	high	ɛki		
P054-L055	268	same	3	A	attested	high	sɛmɛn		
P054-L056	269	different	1	B	attested	high	mamisri		
P054-L057	269	different	2	CDE	attested	high	dʒuda		
P054-L058	269	different	3	0	attested	high	bʰinno		
P054-L059	269	different	4	A	attested	high	gitʃə		
P055-L001	270	dry	1	B	attested	high	xaɛ̯ka		
P055-L002	270	dry	1	CD	attested	high	xai̯ka		
P055-L003	270	dry	1	E	attested	high	xai̯kɛ		
P055-L004	270	dry	2	0	attested	high	ʃukna		
P055-L005	270	dry	3	A	attested	high	sukʰɛl		
