line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P041-L028	41	eggplant	1	A	attested	high	bɛtɛŋo		
P041-L029	41	eggplant	1	C	attested	high	bɛtaŋgo		
P041-L030	41	eggplant	1	B	attested	high	bɛtaŋo		
P041-L031	41	eggplant	2	E	attested	high	bai̯gun		
P041-L032	41	eggplant	2	0D	attested	high	bɛgun		
P041-L033	42	peanut	0	A	blank	high			Printed “no entry”.
P041-L034	42	peanut	1	0BCDE	attested	high	badam		
P041-L035	43	tree	1	A	attested	high	mɛn		
P041-L036	43	tree	1	BCDE	attested	high	manːɛ		
P041-L037	43	tree	2	0	attested	high	gat͜ʃʰ		
P041-L038	44	branch	0	A	blank	high			Printed “no entry”.
P041-L039	44	branch	1	CDE	attested	high	daɽa		
P041-L040	44	branch	1	B	attested	high	daɽi		
P041-L041	44	branch	2	0	attested	high	ɖal		
P041-L042	45	leaf	1	A	attested	high	ɛtkʰɛ / ɛtxɛ		Printed slash-separated alternatives are retained together exactly as printed.
P041-L043	45	leaf	1	BCDE	attested	high	atxa		
P041-L044	45	leaf	2	0	attested	high	pata		
P041-L045	46	thorn	1	BD	attested	high	att͜ʃɛ		
P041-L046	46	thorn	1	CE	attested	high	att͜ʃʰɛ		
P041-L047	46	thorn	2	0	attested	high	kaʈa		
P041-L048	46	thorn	3	A	attested	high	ɛt͜ʃʰ		
P041-L049	47	root	1	A	attested	high	pɛdɛr		
P041-L050	47	root	1	BCDE	attested	high	pada		
P041-L051	47	root	2	0	attested	high	mul		
P041-L052	48	bamboo	0	A	blank	high			Printed “no entry”.
P041-L053	48	bamboo	1	0BCDE	attested	high	bãʃ		
P042-L001	49	fruit	1	A	attested	high	kʰɛnd͜ʒə		
P042-L002	49	fruit	1	BCD	attested	high	xand͜ʒpa		
P042-L003	49	fruit	2	E	attested	high	pʰal		
P042-L004	49	fruit	3	0	attested	high	fɔl		
P042-L005	50	jackfruit	0	A	blank	high			Printed “no entry”.
P042-L006	50	jackfruit	1	CD	attested	high	gatʰaɽa		Sites B, C, and D each have two separately printed responses; this line is retained separately as printed.
P042-L007	50	jackfruit	1	B	attested	high	gatʰaɽa		Sites B, C, and D each have two separately printed responses; this line is retained separately as printed.
P042-L008	50	jackfruit	1	E	attested	high	gatʰɽa		
P042-L009	50	jackfruit	2	CD	attested	high	gatʰaɽa		Sites B, C, and D each have two separately printed responses; this line is retained separately as printed.
P042-L010	50	jackfruit	2	B	attested	high	gatʰaɽa		Sites B, C, and D each have two separately printed responses; this line is retained separately as printed.
P042-L011	50	jackfruit	2	0	attested	high	katʰal		
