line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P047-L001	131	mother	1	ABD	attested	high	jo		Site A has two separately printed responses; this line is retained separately as printed.
P047-L002	131	mother	2	C	attested	high	ajo		
P047-L003	131	mother	2	AE	attested	high	ijo		Site A has two separately printed responses; this line is retained separately as printed.
P047-L004	131	mother	3	0	attested	high	ma		
P047-L005	132	husband	1	BCDE	attested	high	mɛtas		
P047-L006	132	husband	1	A	attested	high	metɛs		
P047-L007	132	husband	2	0	attested	high	ʃami		
P047-L008	133	wife	1	B	attested	high	mukːa		
P047-L009	133	wife	1	CDE	attested	high	mukːɛ		
P047-L010	133	wife	2	0	attested	high	stri		
P047-L011	133	wife	3	A	attested	high	ɛlːi		
P047-L012	134	son	1	B	attested	high	hatdas		
P047-L013	134	son	1	C	attested	high	xatdas		
P047-L014	134	son	1	DE	attested	high	xatdɛʃ		
P047-L015	134	son	2	0	attested	high	tʃʰɛlɛ		
P047-L016	134	son	3	A	attested	high	ukʰos		
P047-L017	135	daughter	1	ABCDE	attested	high	kukoi̯		
P047-L018	135	daughter	2	0	attested	high	mɛjɛ		
P047-L019	136	elder brother	0	A	blank	high			Printed “no entry”.
P047-L020	136	elder brother	1	0	attested	high	bɔɽo bʰai̯ / dada		Printed as a slash-separated response on one line.
P047-L021	136	elder brother	1	BCDE	attested	high	dada		
P047-L022	137	elder sister	0	A	blank	high			Printed “no entry”.
P047-L023	137	elder sister	1	BCDE	attested	high	dai̯		
P047-L024	137	elder sister	2	0	attested	high	bɔɽo bon / didi		Printed as a slash-separated response on one line.
P047-L025	138	younger brother	0	A	blank	high			Printed “no entry”.
P047-L026	138	younger brother	1	BD	attested	high	babu		
P047-L027	138	younger brother	2	CE	attested	high	iŋgris		
P047-L028	138	younger brother	3	0	attested	high	tʃʰoʈo bʰai̯		
P047-L029	139	younger sister	0	A	blank	high			Printed “no entry”.
P047-L030	139	younger sister	1	BD	attested	high	maja		
P047-L031	139	younger sister	2	CE	attested	high	iŋgri		
P047-L032	139	younger sister	3	0	attested	high	tʃʰoʈo bon		
P047-L033	140	friend	0	A	blank	high			Printed “no entry”.
P047-L034	140	friend	1	CD	attested	high	ʃaŋgi		
P047-L035	140	friend	1	B	attested	high	ʃaŋxi		
P047-L036	140	friend	2	0E	attested	high	bondʰu		
