line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P051-L001	201	to play	0	A	blank	high			Printed “no entry”.
P051-L002	201	to play	1	BCDE	attested	high	bɛtʃ		
P051-L003	201	to play	2	0	attested	high	kʰɛla		
P051-L004	202	to dance	0	A	blank	high			Printed “no entry”.
P051-L005	202	to dance	1	BDE	attested	high	bɛtʃ		
P051-L006	202	to dance	2	CDE	attested	high	nal		
P051-L007	202	to dance	3	0	attested	high	natʃa		
P051-L008	203	to throw	0	AB	blank	high			Printed “no entry”.
P051-L009	203	to throw	1	CDE	attested	high	lɛbdo		
P051-L010	203	to throw	2	0	attested	high	tʃʰora		
P051-L011	204	to lift	0	AB	blank	high			Printed “no entry”.
P051-L012	204	to lift	1	CDE	attested	high	tʃod		
P051-L013	204	to lift	2	0	attested	high	tola		
P051-L014	205	to push	0	A	blank	high			Printed “no entry”.
P051-L015	205	to push	1	BCDE	attested	high	tuk		
P051-L016	205	to push	2	0	attested	high	dʰakka dɛwa		
P051-L017	206	to pull	0	A	blank	high			Printed “no entry”.
P051-L018	206	to pull	1	BCDE	attested	high	ʈan		
P051-L019	206	to pull	1	0	attested	high	ʈana		
P051-L020	207	to tie	0	A	blank	high			Printed “no entry”.
P051-L021	207	to tie	1	BCDE	attested	high	hɛ		
P051-L022	207	to tie	2	0	attested	high	bãdʰa		
P051-L023	208	to wipe	0	A	blank	high			Printed “no entry”.
P051-L024	208	to wipe	1	BCDE	attested	high	tʃitʃo		
P051-L025	208	to wipe	2	0	attested	high	motʃʰa		
P051-L026	209	to weave (on loom)	0	AE	blank	high			Printed “no entry”.
P051-L027	209	to weave (on loom)	1	BCD	attested	high	ɛs		
P051-L028	209	to weave (on loom)	2	0	attested	high	tatɛ bona		
P051-L029	210	to sew	0	A	blank	high			Printed “no entry”.
P051-L030	210	to sew	1	BCDE	attested	high	otdʒo		
P051-L031	210	to sew	2	0	attested	high	ʃɛlai kɔra		
