line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P052-L011	221	to kill	0	A	blank	high			Printed “no entry”.
P052-L012	221	to kill	1	BCDE	attested	high	pit		
P052-L013	221	to kill	2	0	attested	high	mara fɛla		
P052-L014	222	to die	1	BCDE	attested	high	kʰɛ		
P052-L015	222	to die	2	0	attested	high	mara dʒawa		
P052-L016	222	to die	3	A	attested	high	kitʃɛskirɛs		
P052-L017	223	to love	0	AE	blank	high			Printed “no entry”.
P052-L018	223	to love	1	B	attested	high	korɛlag		
P052-L019	223	to love	2	C	attested	high	dularnan		
P052-L020	223	to love	3	0D	attested	high	bʰalobaʃa		
P052-L021	224	to hate	0	ABE	blank	high			Printed “no entry”.
P052-L022	224	to hate	1	CD	attested	high	xar		
P052-L023	224	to hate	2	0	attested	high	gʰrina kɔra		
P052-L024	225	one	1	A	attested	high	ɔntɛ		
P052-L025	225	one	1	CE	attested	high	ond		
P052-L026	225	one	2	D	attested	high	otʰan		
P052-L027	225	one	3	0B	attested	high	ek		
P052-L028	226	two	1	A	attested	high	du		
P052-L029	226	two	1	0BCDE	attested	high	dui̯		
P052-L030	227	three	1	0ABCDE	attested	high	tin		
P052-L031	228	four	1	A	attested	high	tʃɛr		
P052-L032	228	four	1	0BCDE	attested	high	tʃar		
P052-L033	229	five	1	A	attested	high	pɛntʃ		
P052-L034	229	five	1	0BCDE	attested	high	patʃ		
P052-L035	230	six	1	0BCDE	attested	high	tʃʰoi̯		
P052-L036	230	six	1	A	attested	high	tʃʰou̯		
