line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P045-L038	111	elbow	1	BC	attested	high	girxa		
P045-L039	111	elbow	2	D	attested	high	guʃa		
P045-L040	111	elbow	3	E	attested	high	mogra		
P045-L041	111	elbow	4	0	attested	high	konui		
P045-L042	111	elbow	5	A	attested	high	kihini		
P045-L043	112	hand	0	A	blank	high			Printed “no entry”.
P045-L044	112	hand	1	B	attested	high	xɛtkʰɛ		
P045-L045	112	hand	1	CDE	attested	high	xɛtkʰa		
P045-L046	112	hand	2	0	attested	high	hat		
P045-L047	113	palm	1	E	attested	high	xɛtkʰatala		
P045-L048	113	palm	1	B	attested	high	xɛtkʰɛtali		
P045-L049	113	palm	2	C	attested	high	taroa		
P045-L050	113	palm	3	D	attested	high	tali		
P045-L051	113	palm	4	0	attested	high	hatɛr tola		
P045-L052	113	palm	5	A	attested	high	tɛrhɛti		
P045-L053	114	finger	1	A	attested	high	ɛŋgul		Site A has two separately printed responses; this line is retained separately as printed.
P045-L054	114	finger	1	BCDE	attested	high	aŋgli		
P045-L055	114	finger	2	A	attested	high	ɛŋgul		Site A has two separately printed responses; this line is retained separately as printed.
P045-L056	114	finger	2	0	attested	high	aŋgur		
P046-L001	115	fingernail	1	A	attested	high	orokʰ		
P046-L002	115	fingernail	1	BCDE	attested	high	orox		
P046-L003	115	fingernail	2	0	attested	high	nɔk		
P046-L004	116	knee	0	A	blank	high			Printed “no entry”.
P046-L005	116	knee	1	BCD	attested	high	muka		
P046-L006	116	knee	1	E	attested	high	mukɛ		
P046-L007	116	knee	2	0	attested	high	hatu		
P046-L008	117	foot	0	A	blank	high			Printed “no entry”.
P046-L009	117	foot	1	B	attested	high	gurxi		
P046-L010	117	foot	2	CDE	attested	high	xɛtdɛ		
P046-L011	117	foot	3	0	attested	high	pɔd		
P046-L012	118	bone	1	BD	attested	high	togra		Site D has two separately printed responses; this line is retained separately as printed.
P046-L013	118	bone	2	A	attested	high	kotʃʰol		
P046-L014	118	bone	2	CDE	attested	high	xotʃol		Site D has two separately printed responses; this line is retained separately as printed.
P046-L015	118	bone	3	0	attested	high	haɽ		
P046-L016	119	fat	1	BCD	attested	high	tʃarbi		Site B has two separately printed responses; this line is retained separately as printed.
P046-L017	119	fat	1	A	attested	high	tʃɛrbi		
P046-L018	119	fat	1	0	attested	high	tʃorbi		
P046-L019	119	fat	2	BE	attested	high	nɛta		Site B has two separately printed responses; this line is retained separately as printed.
P046-L020	120	skin	1	BCDE	attested	high	tʃapta		
P046-L021	120	skin	1	0	attested	high	tʃamra		Site 0 has two separately printed responses; this line is retained separately as printed.
P046-L022	120	skin	2	0	attested	high	tʃamra		Site 0 has two separately printed responses; this line is retained separately as printed.
P046-L023	120	skin	2	A	attested	high	tʃʰɛmri		
