line_id	item	gloss	group	site_codes	status	form	visible_base	note
P040-L050	31	evening		ABCDE0	not_used			Printed “[not used]” for the entire item; mechanically applied to all six site codes.
P040-L051	32	night	1	A	attested	mɛxɛb		
P040-L052	32	night	1	BCDE	attested	maxa		
P040-L053	32	night	2	0	attested	rat		
P041-L001	33	paddy rice	0	A	blank			Printed “no entry”.
P041-L002	33	paddy rice	1	C	attested	xɛs		
P041-L003	33	paddy rice	1	BE	attested	xɛʃɛ		
P041-L004	33	paddy rice	1	D	attested	xɛsɛ		
P041-L005	33	paddy rice	2	0	attested	dʰan		
P041-L006	34	uncooked rice	0	A	blank			Printed “no entry”.
P041-L007	34	uncooked rice	1	E	attested	tihil		
P041-L008	34	uncooked rice	1	BCD	attested	tixil		
P041-L009	34	uncooked rice	2	0	attested	t͜ʃal		
P041-L010	35	cooked rice	1	C	attested	mɛndi		
P041-L011	35	cooked rice	1	BDE	attested	mandi		
P041-L012	35	cooked rice	2	0	attested	bʰat		
P041-L013	35	cooked rice	3	A	attested	tɛkʰil		
P041-L014	36	wheat	1	A	attested	gohɛm		
P041-L015	36	wheat	1	BCDE	attested	gohom		
P041-L016	36	wheat	2	0	attested	gom		
P041-L017	37	corn	0	A	blank			Printed “no entry”.
P041-L018	37	corn	1	DE	attested	d͜ʒinhor		
P041-L019	37	corn	1	BC	attested	d͜ʒinxor		
P041-L020	37	corn	2	0	attested	bʰuʈʈa		
P041-L021	38	potato	1	A	attested	ɛlu		
P041-L022	38	potato	1	0CD	attested	alu		
P041-L023	38	potato	1	BE	attested	aluə̯		
P041-L024	39	cauliflower	1	0BCDE	attested	fulkopi		
P041-L025	39	cauliflower	1	A	attested	pʼulkopi		A clearly printed post-p apostrophe-like modifier is preserved as U+02BC without phonological interpretation.
P041-L026	40	cabbage	1	0BCDE	attested	badʰakopi		
P041-L027	40	cabbage	1	A	attested	bɛndɛkobi		
