line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P044-L027	91	bird	0	A	blank	high			Printed “no entry”.
P044-L028	91	bird	1	BCDE	attested	high	ora		
P044-L029	91	bird	2	0	attested	high	pakʰi		
P044-L030	92	insect	0	A	blank	high			Printed “no entry”.
P044-L031	92	insect	1	BCDE	attested	high	potʃgo		
P044-L032	92	insect	2	0	attested	high	poka		
P044-L033	93	cockroach	0	A	blank	high			Printed “no entry”.
P044-L034	93	cockroach	1	BCD	attested	high	umbalo		
P044-L035	93	cockroach	2	E	attested	high	iʃuŋ potʃgo		
P044-L036	93	cockroach	3	0	attested	high	tɛlapoka		
P044-L037	94	bee	0	A	blank	high			Printed “no entry”.
P044-L038	94	bee	1	BDE	attested	high	tini		
P044-L039	94	bee	2	C	attested	high	bʰau̯ro		
P044-L040	94	bee	3	0	attested	high	mou̯matʃʰi		
P044-L041	95	fly	0	A	blank	high			Printed “no entry”.
P044-L042	95	fly	1	BCDE	attested	high	tiŋli		
P044-L043	95	fly	2	0	attested	high	matʃʰi		
P044-L044	96	spider	1	BCDE	attested	high	makra		
P044-L045	96	spider	1	A	attested	high	məkərɛ		Site A has two separately printed responses; this line is retained separately as printed.
P044-L046	96	spider	2	0	attested	high	makorʃa		
P044-L047	96	spider	2	A	attested	high	məkərɛ		Site A has two separately printed responses; this line is retained separately as printed.
P044-L048	97	ant	1	ABCDE	attested	high	pok		
P044-L049	97	ant	2	0	attested	high	pipra		
P044-L050	98	mosquito	1	A	attested	high	bʰuʃɛri		
P044-L051	98	mosquito	1	B	attested	high	buʃiri		
P044-L052	98	mosquito	1	CDE	attested	high	buʃuri		
P044-L053	98	mosquito	2	0	attested	high	moʃa		
P045-L001	99	head	1	BCDE	attested	high	kukːu		
P045-L002	99	head	1	A	attested	high	kukʰ		
P045-L003	99	head	2	0	attested	high	matʰa		
P045-L004	100	face	1	BCE	attested	high	galːɛ		
P045-L005	100	face	2	D	attested	high	bei		
P045-L006	100	face	3	0	attested	high	mukʰ		
P045-L007	100	face	4	A	attested	high	tʃɛrɛ		
