line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P042-L012	51	coconut (ripe)	0	A	blank	high			Printed “no entry”.
P042-L013	51	coconut (ripe)	1	0BCDE	attested	high	narikɛl		
P042-L014	52	banana	1	0BCDE	attested	high	kɔla		
P042-L015	52	banana	1	A	attested	high	kɛrɛ		
P042-L016	53	mango	1	BCDE	attested	high	ʈatxa		
P042-L017	53	mango	1	A	attested	high	tɛtkɛ / tɛtxɛ		Printed slash-separated alternatives are retained together exactly as printed.
P042-L018	53	mango	2	0	attested	high	am		
P042-L019	54	flower	1	BCDE	attested	high	pup		
P042-L020	54	flower	1	A	attested	high	püp		
P042-L021	54	flower	2	0	attested	high	ful		
P042-L022	55	seed	0	A	blank	high			Printed “no entry”.
P042-L023	55	seed	1	0	attested	high	bid͜ʒ		
P042-L024	55	seed	1	B	attested	high	bit͜ʃi		
P042-L025	55	seed	2	CDE	attested	high	bihini		
P042-L026	56	sugarcane	0	AE	blank	high			Printed “no entry”.
P042-L027	56	sugarcane	1	D	attested	high	kuʃar		
P042-L028	56	sugarcane	1	C	attested	high	kuʃari		
P042-L029	56	sugarcane	1	B	attested	high	kusari		
P042-L030	56	sugarcane	2	0	attested	high	akʰ		
P042-L031	57	betelnut	0	A	blank	high			Printed “no entry”.
P042-L032	57	betelnut	1	CD	attested	high	gua		
P042-L033	57	betelnut	1	E	attested	high	guɛ		
P042-L034	57	betelnut	2	0B	attested	high	ʃupari		
P042-L035	58	lime for betelnut	0	A	blank	high			Printed “no entry”.
P042-L036	58	lime for betelnut	1	0	attested	high	t͜ʃun		
P042-L037	58	lime for betelnut	1	BCD	attested	high	t͜ʃunːa		
P042-L038	58	lime for betelnut	1	E	attested	high	t͜ʃunːɛ		
P042-L039	59	liquor	0	AB	blank	high			Printed “no entry”.
P042-L040	59	liquor	1	CE	attested	high	arkʰi		
P042-L041	59	liquor	2	D	attested	high	borɔɛ		
P042-L042	59	liquor	3	0	attested	high	mɔd		
P042-L043	60	milk	1	0A	attested	high	dudʰ		
P042-L044	60	milk	1	BCDE	attested	high	dudʰi		
