line_id	item	gloss	group	site_codes	status	form	visible_base	note
P040-L017	21	silver	0	A	blank			Printed “no entry”.
P040-L018	21	silver	1	0BCDE	attested	rupa		
P040-L019	22	today	1	BC	attested	ɪnːa		
P040-L020	22	today	1	AD	attested	ɪnːe		
P040-L021	22	today	1	E	attested	ɪnːɛ		
P040-L022	22	today	2	0	attested	ad͜ʒ		
P040-L023	23	yesterday	0	A	blank			Printed “no entry”.
P040-L024	23	yesterday	1	BCDE	attested	t͜ʃɛro		
P040-L025	23	yesterday	2	0	attested	gɔtokal / kalkɛ		Printed slash-separated control alternatives are retained together exactly as printed.
P040-L026	24	tomorrow	1	BCDE	attested	nɛla		
P040-L027	24	tomorrow	1	A	attested	nɛlɛ		
P040-L028	24	tomorrow	2	0	attested	agamikal		
P040-L029	25	week	1	A	attested	hɛptɛ		
P040-L030	25	week	1	BCDE	attested	hapta		
P040-L031	25	week	1	0	attested	ʃɔpta		
P040-L032	26	month	1	A	attested	mɛⁱnɛ		
P040-L033	26	month	1	BCDE	attested	mahina		
P040-L034	26	month	2	0	attested	maʃ		
P040-L035	27	year	1	BCDE	attested	bat͜ʃʰar		
P040-L036	27	year	1	0	attested	bɔt͜ʃʰor		
P040-L037	27	year	2	A	attested	sɛl		
P040-L038	28	day	0	A	blank			Printed “no entry”.
P040-L039	28	day	1	BCD	attested	ʊlːa		
P040-L040	28	day	1	E	attested	ʊlːɛ		
P040-L041	28	day	2	0	attested	din		
P040-L042	29	morning	1	BCDE	attested	pairi		
P040-L043	29	morning	1	A	attested	pʰɛⁱri		
P040-L044	29	morning	2	0	attested	ʃɔkal		
P040-L045	30	noon	0	A	blank			Printed “no entry”.
P040-L046	30	noon	1	C	attested	dupahar		
P040-L047	30	noon	1	BDE	attested	dupar		Sites B, D, and E each have two separately printed responses; this line is retained separately as printed.
P040-L048	30	noon	2	BDE	attested	dupar		Sites B, D, and E each have two separately printed responses; this line is retained separately as printed.
P040-L049	30	noon	2	0	attested	dupur		
