physical_page	printed_page	line_id	item	gloss	group	site_code	site	role	site_variant	status	form	visible_base	note	evidence_sha256
43	42	P043-L024	71	monkey	1	A	site-code-A	target	1	attested	bəndər		Site A has two separately printed responses; this line is retained separately as printed.	5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L026	71	monkey	2	A	site-code-A	target	2	attested	bəndər		Site A has two separately printed responses; this line is retained separately as printed.	5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L023	71	monkey	1	B	site-code-B	target	1	attested	bandra			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L023	71	monkey	1	C	site-code-C	target	1	attested	bandra			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L023	71	monkey	1	D	site-code-D	target	1	attested	bandra			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L023	71	monkey	1	E	site-code-E	target	1	attested	bandra			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L025	71	monkey	2	0	Bangla	control	1	attested	banor			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L027	72	rabbit	0	A	site-code-A	target	1	blank			Printed “no entry”.	5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L029	72	rabbit	1	B	site-code-B	target	1	attested	kʰɛrxa			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L028	72	rabbit	1	C	site-code-C	target	1	attested	kʰɛrha			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L028	72	rabbit	1	D	site-code-D	target	1	attested	kʰɛrha			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
