Site_Code	Display_Name	Printed_Label_1	Printed_Label_2	Scope	Install	Language_ID	Dialect_ID	Prior_Source_Key	Prior_Site_Code	Reconciliation_Policy
POD	Podeiguda U. Bonda	Podeiguda UB		new_target	yes	re	sil-bonda-further-2002-podeiguda-u-bonda			new 2002 wordlist
BON	Bondapada U. Bonda	Bondapada UB		new_target	yes	re	sil-bonda-further-2002-bondapada-u-bonda			new 2002 wordlist
DUM	Dumripada U. Bonda	Dumripada UB		checked_replacement_target	yes	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew-chamberlain2022bonda-didayi	DUM	current report says checked list replaces old Dumripada list
KAD	Kadamguda L. Bonda	Kadamguda LB		republished_comparison	no	re		mathew-chamberlain2022bonda-didayi	KAD	audit-only same wordlist as previous report
KEN	Kendhuguda L. Bonda	Kendhuguda LB		republished_comparison	no	re		mathew-chamberlain2022bonda-didayi	KEN	audit-only same wordlist as previous report
RAS	Rasabeda L. Bonda	Rasabeda LB		republished_comparison	no	re		mathew-chamberlain2022bonda-didayi	RAS	audit-only same wordlist as previous report
GUT	Tikrapada Gadaba	Tikrapada	Gadaba	republished_comparison	no	gu		mathew-chamberlain2022bonda-didayi	GUT	audit-only two-line label; same wordlist as previous report
BIA	Biapada U. Didayi	Biapada UD		republished_comparison	no	gt		mathew-chamberlain2022bonda-didayi	BIA	audit-only same wordlist as previous report
PAR	Kinumun Parenga Parja	Kinumun	Parenga Parja	republished_comparison	no	go		mathew-chamberlain2022bonda-didayi	PAR	audit-only two-line label; same wordlist as previous report
RON	Malenga Rona Desiya	Malenga Rona	Desiya	republished_comparison	no	AdivasiOriya		mathew-chamberlain2022bonda-didayi	RON	audit-only two-line label; same wordlist as previous report
ODI	Cuttack Oriya	Oriya (Cuttack)		republished_comparison	no	Or		mathew-chamberlain2022bonda-didayi	ODI	audit-only same wordlist as previous report
