Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Similarity_Groups	Source_Qualification	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Language_ID	Dialect_ID	Citation	Installed_Count	Entry_Keys
1	body	POD	Podeiguda U. Bonda	15	10	1	ɲeɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-podeiguda-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 1, Podeiguda U. Bonda]	1	bonda-further-2022:p015:i001:POD:a1
1	body	BON	Bondapada U. Bonda	15	10	2	ɲeɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-bondapada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 1, Bondapada U. Bonda]	1	bonda-further-2022:p015:i001:BON:a1
1	body	DUM	Dumripada U. Bonda	15	10	3	ɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	checked_replacement_target	source-local target staging	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 1, Dumripada U. Bonda]	1	bonda-further-2022:p015:i001:DUM:a1
1	body	KAD	Kadamguda L. Bonda	15	10	4	ɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Kadamguda L. Bonda]	0	
1	body	KEN	Kendhuguda L. Bonda	15	10	5	ɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Kendhuguda L. Bonda]	0	
1	body	RAS	Rasabeda L. Bonda	15	10	6	gagoɖe	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Rasabeda L. Bonda]	0	
1	body	GUT	Tikrapada Gadaba	15	10	7	nɛɾi	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gu		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Tikrapada Gadaba]	0	
1	body	BIA	Biapada U. Didayi	15	10	8	gagəɖe	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gt		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Biapada U. Didayi]	0	
1	body	PAR	Kinumun Parenga Parja	15	10	9	uɾɛ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	go		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Kinumun Parenga Parja]	0	
1	body	RON	Malenga Rona Desiya	15	10	10	gɛgɔɽ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	AdivasiOriya		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Malenga Rona Desiya]	0	
1	body	ODI	Cuttack Oriya	15	10	11	soɾiɾo	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	Or		mathew2022bonda-further[Appendix A, printed p. 10, item 1, Cuttack Oriya]	0	
2	head	POD	Podeiguda U. Bonda	15	10	1	bob	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-podeiguda-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 2, Podeiguda U. Bonda]	1	bonda-further-2022:p015:i002:POD:a1
2	head	BON	Bondapada U. Bonda	15	10	2	bo:b'	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-bondapada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 2, Bondapada U. Bonda]	1	bonda-further-2022:p015:i002:BON:a1
2	head	DUM	Dumripada U. Bonda	15	10	3	bo:b'	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	checked_replacement_target	source-local target staging	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 2, Dumripada U. Bonda]	1	bonda-further-2022:p015:i002:DUM:a1
2	head	KAD	Kadamguda L. Bonda	15	10	4	bo:b	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Kadamguda L. Bonda]	0	
2	head	KEN	Kendhuguda L. Bonda	15	10	5	bo:	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Kendhuguda L. Bonda]	0	
2	head	RAS	Rasabeda L. Bonda	15	10	6	bo:b	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Rasabeda L. Bonda]	0	
2	head	GUT	Tikrapada Gadaba	15	10	7	bob	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gu		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Tikrapada Gadaba]	0	
2	head	BIA	Biapada U. Didayi	15	10	8	bhaha	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	gt		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Biapada U. Didayi]	0	
2	head	PAR	Kinumun Parenga Parja	15	10	9	bɛ	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	go		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Kinumun Parenga Parja]	0	
2	head	RON	Malenga Rona Desiya	15	10	10	muɳɖ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	AdivasiOriya		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Malenga Rona Desiya]	0	
2	head	ODI	Cuttack Oriya	15	10	11	mũnɖɔ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	Or		mathew2022bonda-further[Appendix A, printed p. 10, item 2, Cuttack Oriya]	0	
3	hair	POD	Podeiguda U. Bonda	15	10	1	ʊgʔbob' | ɭuibo	5|6	second response is printed with qualifier '(body hair)'	attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-podeiguda-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 3, Podeiguda U. Bonda]	2	bonda-further-2022:p015:i003:POD:a1 | bonda-further-2022:p015:i003:POD:a2
3	hair	BON	Bondapada U. Bonda	15	10	2	ʊgʔbob' | ɭuibo	5|6	second response is printed with qualifier '(body hair)'	attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	source-local target staging	re	sil-bonda-further-2002-bondapada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 3, Bondapada U. Bonda]	2	bonda-further-2022:p015:i003:BON:a1 | bonda-further-2022:p015:i003:BON:a2
3	hair	DUM	Dumripada U. Bonda	15	10	3	ʊgʔbob' | ɭuibo	5|6	second response is printed with qualifier '(body hair)'	attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	checked_replacement_target	source-local target staging	re	sil-bonda-didayi-1997-dumripada-u-bonda	mathew2022bonda-further[Appendix A, printed p. 10, item 3, Dumripada U. Bonda]	2	bonda-further-2022:p015:i003:DUM:a1 | bonda-further-2022:p015:i003:DUM:a2
3	hair	KAD	Kadamguda L. Bonda	15	10	4	ʊgʔbo | ʊgʔbo	2|5	source prints the same response twice with different similarity groups	attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Kadamguda L. Bonda]	0	
3	hair	KEN	Kendhuguda L. Bonda	15	10	5	ʊkʔbo | ʊkʔbo	2|5	source prints the same response twice with different similarity groups	attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Kendhuguda L. Bonda]	0	
3	hair	RAS	Rasabeda L. Bonda	15	10	6	ʊkʔbo | ʊkʔbo	2|5	source prints the same response twice with different similarity groups	attested	high		manual visual inspection at 600 dpi; every cell rechecked at 1200 dpi	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_comparison	audit-only: republished comparison list from JLSR 2022-004	re		mathew2022bonda-further[Appendix A, printed p. 10, item 3, Rasabeda L. Bonda]	0	
