Item	Site_Code	Site_Name	Current_Reviewed_Transcription	Prior_Source_Key	Prior_Site_Code	Prior_Reviewed_Transcription	Match_Status	Notes
1	KAD	Kadamguda L. Bonda	ɛɾi	mathew-chamberlain2022bonda-didayi	KAD	ɛɾi	exact-diplomatic-match	current and prior reviewed strings are identical
1	KEN	Kendhuguda L. Bonda	ɛɾi	mathew-chamberlain2022bonda-didayi	KEN	ɛɾi	exact-diplomatic-match	current and prior reviewed strings are identical
1	RAS	Rasabeda L. Bonda	gagoɖe	mathew-chamberlain2022bonda-didayi	RAS	gagoɖe	exact-diplomatic-match	current and prior reviewed strings are identical
1	GUT	Tikrapada Gadaba	nɛɾi	mathew-chamberlain2022bonda-didayi	GUT	nɛɾi	exact-diplomatic-match	current and prior reviewed strings are identical
1	BIA	Biapada U. Didayi	gagəɖe	mathew-chamberlain2022bonda-didayi	BIA	gagəɖe	exact-diplomatic-match	current and prior reviewed strings are identical
1	PAR	Kinumun Parenga Parja	uɾɛ	mathew-chamberlain2022bonda-didayi	PAR	uɾɐ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
1	RON	Malenga Rona Desiya	gɛgɔɽ	mathew-chamberlain2022bonda-didayi	RON	gɐgɔɽ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
1	ODI	Cuttack Oriya	soɾiɾo	mathew-chamberlain2022bonda-didayi	ODI	soɾiɾo	exact-diplomatic-match	current and prior reviewed strings are identical
2	KAD	Kadamguda L. Bonda	bo:b	mathew-chamberlain2022bonda-didayi	KAD	boːb	length-mark-rendering-equivalent	current prints colon where prior source prints IPA length mark
2	KEN	Kendhuguda L. Bonda	bo:	mathew-chamberlain2022bonda-didayi	KEN	boː	length-mark-rendering-equivalent	current prints colon where prior source prints IPA length mark
2	RAS	Rasabeda L. Bonda	bo:b	mathew-chamberlain2022bonda-didayi	RAS	boːb	length-mark-rendering-equivalent	current prints colon where prior source prints IPA length mark
2	GUT	Tikrapada Gadaba	bob	mathew-chamberlain2022bonda-didayi	GUT	bob	exact-diplomatic-match	current and prior reviewed strings are identical
2	BIA	Biapada U. Didayi	bhaha	mathew-chamberlain2022bonda-didayi	BIA	bhaha	exact-diplomatic-match	current and prior reviewed strings are identical
2	PAR	Kinumun Parenga Parja	bɛ	mathew-chamberlain2022bonda-didayi	PAR	bɐ	different-current-printing	retain both reviewed source readings in audit; do not overwrite prior source
2	RON	Malenga Rona Desiya	muɳɖ	mathew-chamberlain2022bonda-didayi	RON	muɳɖ	exact-diplomatic-match	current and prior reviewed strings are identical
