Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Raw_Response	Raw_Line	Extraction_Status
1	body	BIA	Biapada U. Didayi	21	16	1	1 gagəɖe	Biapada U. Didayi 1 gagəɖe	text-layer
1	body	CHI	Chitrakonda L. Didayi	21	16	1	1 gagəɖe	Chitrakonda L. Didayi 1 gagəɖe	text-layer
1	body	KAL	Kaluguda U. Didayi	21	16	1	1 gaːgɪɖe	Kaluguda U. Didayi 1 gaːgɪɖe	text-layer
1	body	ORA	Orapadar U. Didayi	21	16	1	1 gʌgəɖɛ	Orapadar U. Didayi 1 gʌgəɖɛ	text-layer
1	body	ORI	Oringi L. Didayi	21	16	1	1 gagəɖe	Oringi L. Didayi 1 gagəɖe	text-layer
1	body	RAS	Rasabeda L. Bonda	21	16	1	1 gagoɖe	Rasabeda L. Bonda 1 gagoɖe	text-layer
1	body	KEN	Kendhuguda L. Bonda	21	16	1	2 ɛɾi	Kendhuguda L. Bonda 2 ɛɾi	text-layer
1	body	KAD	Kadamguda L. Bonda	21	16	1	2 ɛɾi	Kadamguda L. Bonda 2 ɛɾi	text-layer
1	body	DUM	Dumripada U. Bonda	21	16	1	2 ɛɾi	Dumripada U. Bonda 2 ɛɾi	text-layer
1	body	GUT	Tikrapada Gutob	21	16	1	2 nɛɾi	Tikrapada Gutob 2 nɛɾi	text-layer
1	body	PAR	Kinumun Parenga Parja	21	16	1	4 uɾɐ	Kinumun Parenga Parja 4 uɾɐ	text-layer
1	body	RON	Malenga Rona Desiya	21	16	1	1 gɐgɔɽ	Malenga Rona Desiya 1 gɐgɔɽ	text-layer
1	body	ODI	Cuttack Oriya	21	16	1	3 soɾiɾo	Cuttack Oriya 3 soɾiɾo	text-layer
2	head	BIA	Biapada U. Didayi	21	16	1	2 bhaha	Biapada U. Didayi 2 bhaha	text-layer
2	head	CHI	Chitrakonda L. Didayi	21	16	1	2 baha	Chitrakonda L. Didayi 2 baha	text-layer
2	head	KAL	Kaluguda U. Didayi	21	16	1	2 bʌha	Kaluguda U. Didayi 2 bʌha	text-layer
2	head	ORA	Orapadar U. Didayi	21	16	1	2 bhaha	Orapadar U. Didayi 2 bhaha	text-layer
2	head	ORI	Oringi L. Didayi	21	16	1	2 baha	Oringi L. Didayi 2 baha	text-layer
2	head	RAS	Rasabeda L. Bonda	21	16	1	3 boːb	Rasabeda L. Bonda 3 boːb	text-layer
2	head	KEN	Kendhuguda L. Bonda	21	16	1	3 boː	Kendhuguda L. Bonda 3 boː	text-layer
2	head	KAD	Kadamguda L. Bonda	21	16	1	3 boːb	Kadamguda L. Bonda 3 boːb	text-layer
2	head	DUM	Dumripada U. Bonda	21	16	1	3 boːb	Dumripada U. Bonda 3 boːb	text-layer
2	head	GUT	Tikrapada Gutob	21	16	1	3 bob	Tikrapada Gutob 3 bob	text-layer
2	head	PAR	Kinumun Parenga Parja	21	16	1	2 bɐ	Kinumun Parenga Parja 2 bɐ	text-layer
2	head	RON	Malenga Rona Desiya	21	16	1	1 muɳɖ	Malenga Rona Desiya 1 muɳɖ	text-layer
2	head	ODI	Cuttack Oriya	21	16	1	1 mũnɖɔ	Cuttack Oriya 1 mũnɖɔ	text-layer
3	hair	BIA	Biapada U. Didayi	21	16	1	2 ʊbɔ	Biapada U. Didayi 2 ʊbɔ	text-layer
3	hair	CHI	Chitrakonda L. Didayi	21	16	1	2 ʊgʔbo	Chitrakonda L. Didayi 2 ʊgʔbo	text-layer
3	hair	KAL	Kaluguda U. Didayi	21	16	1	2 ʊbe	Kaluguda U. Didayi 2 ʊbe	text-layer
3	hair	ORA	Orapadar U. Didayi	21	16	1	2 ʊbɔ	Orapadar U. Didayi 2 ʊbɔ	text-layer
3	hair	ORI	Oringi L. Didayi	21	16	1	2 ʊbɔ	Oringi L. Didayi 2 ʊbɔ	text-layer
3	hair	RAS	Rasabeda L. Bonda	21	16	1	2 ʊkʔbo	Rasabeda L. Bonda 2 ʊkʔbo	text-layer
3	hair	KEN	Kendhuguda L. Bonda	21	16	1	2 ʊkʔbo	Kendhuguda L. Bonda 2 ʊkʔbo	text-layer
3	hair	KAD	Kadamguda L. Bonda	21	16	1	2 ʊgʔbo	Kadamguda L. Bonda 2 ʊgʔbo	text-layer
3	hair	DUM	Dumripada U. Bonda	21	16	1	2 ʊgʔbo	Dumripada U. Bonda 2 ʊgʔbo	text-layer
3	hair	GUT	Tikrapada Gutob	21	16	1	1 seɳɖi	Tikrapada Gutob 1 seɳɖi	text-layer
3	hair	PAR	Kinumun Parenga Parja	21	16	1	4 tɪ̪kuɪ	Kinumun Parenga Parja 4 tɪ̪kuɪ	text-layer
3	hair	RON	Malenga Rona Desiya	21	16	1	1 tʃeɳɖɪ	Malenga Rona Desiya 1 tʃeɳɖɪ	text-layer
3	hair	ODI	Cuttack Oriya	21	16	1	3 bɑlə	Cuttack Oriya 3 bɑlə	text-layer
4	face	BIA	Biapada U. Didayi	21	16	1	1 saɾmua	Biapada U. Didayi 1 saɾmua	text-layer
4	face	CHI	Chitrakonda L. Didayi	21	16	1	1 saɾmua	Chitrakonda L. Didayi 1 saɾmua	text-layer
4	face	KAL	Kaluguda U. Didayi	21	16	1	1 sʌɾmo	Kaluguda U. Didayi 1 sʌɾmo	text-layer
4	face	ORA	Orapadar U. Didayi	21	16	1	1 sʌɾmo	Orapadar U. Didayi 1 sʌɾmo	text-layer
4	face	ORI	Oringi L. Didayi	21	16	1	1 saɾmua	Oringi L. Didayi 1 saɾmua	text-layer
4	face	RAS	Rasabeda L. Bonda	21	16	1	1 sʌɾmo	Rasabeda L. Bonda 1 sʌɾmo	text-layer
4	face	KEN	Kendhuguda L. Bonda	21	16	2	1 sʌɾmo	Kendhuguda L. Bonda 1 sʌɾmo	text-layer
4	face	KAD	Kadamguda L. Bonda	21	16	2	1 sʌɾmo	Kadamguda L. Bonda 1 sʌɾmo	text-layer
4	face	DUM	Dumripada U. Bonda	21	16	2	1 sʌɾmo	Dumripada U. Bonda 1 sʌɾmo	text-layer
4	face	GUT	Tikrapada Gutob	21	16	2	1 səɾmo	Tikrapada Gutob 1 səɾmo	text-layer
4	face	PAR	Kinumun Parenga Parja	21	16	2	2 mokʌm	Kinumun Parenga Parja 2 mokʌm	text-layer
4	face	RON	Malenga Rona Desiya	21	16	2	3 mʊ̃	Malenga Rona Desiya 3 mʊ̃	text-layer
4	face	ODI	Cuttack Oriya	21	16	2	3 mũhə	Cuttack Oriya 3 mũhə	text-layer
5	eye	BIA	Biapada U. Didayi	21	16	2	2 mʊa	Biapada U. Didayi 2 mʊa	text-layer
5	eye	CHI	Chitrakonda L. Didayi	21	16	2	2 mʊa	Chitrakonda L. Didayi 2 mʊa	text-layer
5	eye	KAL	Kaluguda U. Didayi	21	16	2	2 moː	Kaluguda U. Didayi 2 moː	text-layer
5	eye	ORA	Orapadar U. Didayi	21	16	2	2 m̩õː, 3 m̩õː	Orapadar U. Didayi 2 m̩õː, 3 m̩õː	text-layer
5	eye	ORI	Oringi L. Didayi	21	16	2	2 mʊa	Oringi L. Didayi 2 mʊa	text-layer
5	eye	RAS	Rasabeda L. Bonda	21	16	2	2 moː	Rasabeda L. Bonda 2 moː	text-layer
5	eye	KEN	Kendhuguda L. Bonda	21	16	2	2 mʊo	Kendhuguda L. Bonda 2 mʊo	text-layer
5	eye	KAD	Kadamguda L. Bonda	21	16	2	2 moː	Kadamguda L. Bonda 2 moː	text-layer
5	eye	DUM	Dumripada U. Bonda	21	16	2	2 moː	Dumripada U. Bonda 2 moː	text-layer
5	eye	GUT	Tikrapada Gutob	21	16	2	2 mo	Tikrapada Gutob 2 mo	text-layer
5	eye	PAR	Kinumun Parenga Parja	21	16	2	3 mɐn	Kinumun Parenga Parja 3 mɐn	text-layer
5	eye	RON	Malenga Rona Desiya	21	16	2	1 ɐk̃ɪ	Malenga Rona Desiya 1 ɐk̃ɪ	text-layer
5	eye	ODI	Cuttack Oriya	21	16	2	1 ɑkhi	Cuttack Oriya 1 ɑkhi	text-layer
6	ear	BIA	Biapada U. Didayi	21	16	2	2 n̩lʊg̚	Biapada U. Didayi 2 n̩lʊg̚	text-layer
6	ear	CHI	Chitrakonda L. Didayi	21	16	2	2 n̩lʊg̚	Chitrakonda L. Didayi 2 n̩lʊg̚	text-layer
6	ear	KAL	Kaluguda U. Didayi	21	16	2	2 n̩lʊg̚	Kaluguda U. Didayi 2 n̩lʊg̚	text-layer
6	ear	ORA	Orapadar U. Didayi	21	16	2	2 n̩lʊg̚	Orapadar U. Didayi 2 n̩lʊg̚	text-layer
6	ear	ORI	Oringi L. Didayi	21	16	2	2 n̩lʊg̚	Oringi L. Didayi 2 n̩lʊg̚	text-layer
6	ear	RAS	Rasabeda L. Bonda	21	16	2	5 luntu̪ɾ	Rasabeda L. Bonda 5 luntu̪ɾ	text-layer
6	ear	KEN	Kendhuguda L. Bonda	21	16	2	5 luntu̪ɾ	Kendhuguda L. Bonda 5 luntu̪ɾ	text-layer
6	ear	KAD	Kadamguda L. Bonda	21	16	2	5 luntu̪ɾ	Kadamguda L. Bonda 5 luntu̪ɾ	text-layer
6	ear	DUM	Dumripada U. Bonda	21	16	2	5 luntu̪ɾ	Dumripada U. Bonda 5 luntu̪ɾ	text-layer
6	ear	GUT	Tikrapada Gutob	21	16	2	3 lɪ̪ti̪ɾ	Tikrapada Gutob 3 lɪ̪ti̪ɾ	text-layer
