Grapheme	IPA
r̤	ṛ̆
ḻ	ṛ̆
kh	kʰ
gh	gʰ
ch	cʰ
jh	jʰ
ṭh	ṭʰ
ḍh	ḍʰ
th	tʰ
dh	dʰ
ph	pʰ
bh	bʰ
ʰ	ʰ
ṯ	ṯ
ḏ	ḏ
s̱	s̱
ẖ	ẖ
n̄	n̄
ˀ	ˀ
x	x
z	z
q	q
ġ	ɣ
g̣	ɣ
g̠	ɣ
ẓ	ẓ
š	š
č	č
ž	ž
ň	ň
ř	ř
ń	ń
ł̣	ł̣
k̂	k̂
m̆	m̆
n̆	n̆
r̃	r̃
r̥	ṛ
ᵘ	ᵘ
ᵒ	ᵒ
ᵃ	ᵃ
ᵉ	ᵉ
ⁱ	ⁱ
ⁿ	ⁿ
ā̃	ā̃
ē̃	ē̃
ī̃	ī̃
ō̃	ō̃
ū̃	ū̃
ẽ	ẽ
ĩ	ĩ
õ	õ
ũ	ũ
ã	ã
ā	ā
ī	ī
ū	ū
ē	ē
ō	ō
a	a
i	i
u	u
e	e
o	o
ə	ə
ɔ	ɔ
ɨ	ɨ
ï	ɨ
è	ɛ
ä	æ
ö	ø
ü	y
ë	ə
ů	ɯ
á	á
é	é
í	í
ó	ó
ú	ú
ā́	ā́
ī́	ī́
ū́	ū́
ḗ	ḗ
ṓ	ṓ
k	k
ṅ	ŋ
ŋ	ŋ
c	c
ñ	ñ
ṭ	ṭ
ṇ	ṇ
t	t
n	n
ṉ	ṉ
p	p
m	m
y	y
r	r
ṟ	ṟ
l	l
ḷ	ḷ
v	v
w	v
ḵ	ḵ
ṛ	ṛ
ḍ	ḍ
s	s
ś	ś
ṣ	ṣ
h	h
ḥ	ḣ
j	j
d	d
b	b
g	g
f	f
ṃ	ṁ
-	-
