Grapheme	IPA
aː	ā
eː	ē
iː	ī
oː	ō
uː	ū
ïː	ɨ̄
öː	ø̄
üː	ȳ
ɔː	ɔ̄
ąː	ą̄
ęː	ę̄
įː	į̄
ǫː	ǭ
ųː	ų̄
č	c
š	ś
ʒ	ž
ï	ɨ
ö	ø
ü	y
w	v
v	v
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
x	x
y	y
z	z
B	B
C	C
D	D
E	E
G	G
H	H
I	I
L	L
M	M
N	N
O	O
P	P
R	R
S	S
T	T
î	î
â	â
ê	ê
ñ	ñ
ò	ò
õ	õ
û	û
ā	ā
ą	ą
ę	ę
į	į
ŋ	ŋ
ų	ų
ž	ž
ǫ	ǫ
ɔ	ɔ
ɦ	h
ɨ	ɨ
ɫ	ɫ
ɰ	ɰ
ʔ	ʔ
ʼ	ʼ
β	β
θ	θ
ḍ	ḍ
ḅ	ḅ
ḏ	ḏ
ḳ	ḳ
ḷ	ḷ
ṃ	ṁ
ṇ	ṇ
ṛ	ṛ
ṟ	ṟ
ṟ̣	ṟ̣
ṣ	ṣ
ṭ	ṭ
ṯ	ṯ
ṿ	ṿ
ẉ	ẉ
ẓ	ẓ
ẽ	ẽ
ọ	ọ
ỵ	ỵ
ụ	ụ
ː	ː
̈	̈
̌	̌
̠	̠
̡	̡
̣	̣
̥	̥
̱	̱
՝	՝
!	!
""""	""""
(	(
)	)
,	,
-	-
.	.
/	/
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
;	;
<	<
=	=
?	?
¿	¿
‘	‘
’	’
 	#
