Grapheme	IPA
á:	ā́
é:	ḗ
í:	ī́
ó:	ṓ
ú:	ū́
ã:	ā̃
ẽ:	ē̃
ĩ:	ī̃
õ:	ō̃
ũ:	ū̃
a:	ā
e:	ē
i:	ī
o:	ō
u:	ū
ʧh	cʰ
ʤh	jʰ
kh	kʰ
gh	gʰ
th	tʰ
dh	dʰ
ph	pʰ
bh	bʰ
ʈʂ	ʦ̣
ɖʐ	ʣ̣
ʧ	c
ʤ	j
ʦ	ʦ
ʣ	ʣ
ʈ	ṭ
ɖ	ḍ
ɳ	ṇ
ɽ	ṛ
ɭ	ḷ
ɲ	ñ
ʃ	ś
ʂ	ṣ
ʐ	ẓ
ɣ	ɣ
χ	x
β	β
ɸ	ɸ
ɦ	h
ɾ	r
ʋ	v
ʌ	a
ɪ	i
ʊ	u
ə	ə
ɛ	e
ɔ	o
a	a
e	e
i	i
o	o
u	u
á	á
é	é
í	í
ó	ó
ú	ú
ã	ã
ẽ	ẽ
ĩ	ĩ
õ	õ
ũ	ũ
k	k
g	g
t	t
d	d
p	p
b	b
c	c
j	j
m	m
n	n
ŋ	ŋ
r	r
l	l
s	s
z	z
f	f
v	v
w	v
y	y
h	h
q	q
x	x
γ	ɣ
ʒ	ž
ʔ	ʔ
ð	ð
ɨ	ɨ
K	K
ʌ́	á
ʌ̃	ã
ə́	ə́
ə̃	ə̃
ã́	ã́
ĩ́	ĩ́
ẽ́	ẽ́
ṍ	ṍ
ṹ	ṹ
ṃ	ṁ
ṛ	ṛ
ḷ	ḷ
̃	̃
́	́
̀	̀
:	:
-	-
(	(
)	)
+	+
,	,
/	/
~	̃
 	#
