Grapheme	IPA
ä̀ä́	ǣ̌̀
ä̀ä́	ǣ̌̀
ä́ä	ǣ̂
ä́ä	ǣ̂
ää́	ǣ̌
ää́	ǣ̌
ä̀ä	ǣ̀
ä̀ä	ǣ̀
ää̀	ǣ̀
ää̀	ǣ̀
àá	ā̌̀
àá	ā̌̀
èé	ē̌̀
èé	ē̌̀
ìí	ī̌̀
ìí	ī̌̀
òó	ō̌̀
òó	ō̌̀
ùú	ū̌̀
ùú	ū̌̀
ää	ǣ
ää	ǣ
áa	ā̂
áa	ā̂
aá	ā̌
aá	ā̌
àa	ā̀
àa	ā̀
aà	ā̀
aà	ā̀
ée	ē̂
ée	ē̂
eé	ē̌
eé	ē̌
èe	ḕ
èe	ḕ
eè	ḕ
eè	ḕ
íi	ī̂
íi	ī̂
ií	ī̌
ií	ī̌
ìi	ī̀
ìi	ī̀
iì	ī̀
iì	ī̀
óo	ō̂
óo	ō̂
oó	ō̌
oó	ō̌
òo	ṑ
òo	ṑ
oò	ṑ
oò	ṑ
úu	ū̂
úu	ū̂
uú	ū̌
uú	ū̌
ùu	ū̀
ùu	ū̀
uù	ū̀
uù	ū̀
ä́	ǽ
ä́	ǽ
ä̀	æ̀
ä̀	æ̀
c̣h	ʦ̣ʰ
čh	cʰ
čh	cʰ
ṭh	ṭʰ
ṭh	ṭʰ
aa	ā
ee	ē
ii	ī
oo	ō
uu	ū
á	á
á	á
à	à
à	à
é	é
é	é
è	è
è	è
í	í
í	í
ì	ì
ì	ì
ó	ó
ó	ó
ò	ò
ò	ò
ú	ú
ú	ú
ù	ù
ù	ù
c̣	ʦ̣
č	c
č	c
ǰ	j
ǰ	j
ph	pʰ
th	tʰ
kh	kʰ
ts	ʦ
ng	ŋg
ġ	ġ
ġ	ġ
ṭ	ṭ
ṭ	ṭ
ḍ	ḍ
ḍ	ḍ
ṇ	ṇ
ṇ	ṇ
š	ś
š	ś
ṣ	ṣ
ṣ	ṣ
ṛ	ṛ
ṛ	ṛ
ä	æ
ä	æ
ŋ	ŋ
ɣ	ġ
p	p
b	b
t	t
d	d
k	k
ɡ	g
g	g
q	q
f	f
m	m
n	n
s	s
z	z
x	x
h	h
r	r
l	l
w	v
y	y
j	j
∅	∅
~	̃
=	=
 	#
a	a
e	e
i	i
o	o
u	u
