Grapheme	IPA
a	a
á	á
à	à
ã	ã
ã́	ã́
ā	ā
ā́	ā́
ā̀	ā̀
ā̀	ā̀
ā̃	ā̃
æ	æ
ə	ə
ə	ə
ʌ	ʌ
ʌ	ʌ
ʌ́	ʌ́
a̯	a̯
ʌ̃	ʌ̃
ᵃ	ᵃ
ᶦ	ᶦ
i	i
í	í
í	í
ì	ì
i	i
ĩ	ĩ
ī	ī
ī̃	ī̃
ī̃	ī̃
ī́	ī́
i	i
ɪ	ɪ
u	u
ú	ú
ù	ù
ũ	ũ
ū	ū
ū́	ū́
ū̀	ū̀
ū̃	ū̃
ü	ü
ǘ	ǘ
ᵘ	ᵘ
ᵘ̈	ᵘ̈
e	e
é	é
ẽ	ẽ
o	o
ó	ó
õ	õ
ē	ē
ḗ	ḗ
ḕ	ḕ
ē̃	ē̃
ē̃́	ē̃́
è	è
ɛ	ɛ
ɛ	ɛ
ɛ́	ɛ́
ɛ̄	ɛ̄
ō	ō
ṓ	ṓ
ō̃	ō̃
ai	ai
ãĩ	ãĩ
au	au
ãũ	ãũ
r̩	r̩
ŕ̩	ŕ̩
ɔ	ɔ
ɔ	ɔ
ɔ́	ɔ́
ɔ̃́	ɔ̃́
ɔ̃	ɔ̃
ɔ	ɔ
ɔ	ɔ
k	k
kʰ	kʰ
g	g
gʰ	gʰ
ɣ	ɣ
ɣ	ɣ
ŋ	ŋ
c	c
cʰ	cʰ
c	c
cʰ	cʰ
ʦ	ʦ
ʦʰ	ʦʰ
ʦ̣	ʦ̣
ʦ̣ʰ	ʦ̣ʰ
ʣ̣	ʣ̣
ʣ̣ʰ	ʣ̣ʰ
j	j
jʰ	jʰ
j	j
jʰ	jʰ
ʣ	ʣ
ʣʰ	ʣʰ
ñ	ñ
t	t
tʰ	tʰ
d	d
dʰ	dʰ
n	n
nʰ	nʰ
ṭ	ṭ
ṭʰ	ṭʰ
ḍ	ḍ
ḍʰ	ḍʰ
ṇ	ṇ
p	p
pʰ	pʰ
b	b
bʰ	bʰ
m	m
mʰ	mʰ
ṁ	ṁ
ṁ	ṁ
y	y
r	r
r̆	r̆
r̆	r̆
l	l
lʰ	lʰ
ɬ	ɬ
v	v
vʰ	vʰ
v	v
vʰ	vʰ
s	s
ś	ś
ś	ś
ṣ	ṣ
ẓ	ẓ
ź	ź
h	h
ṛ	ṛ
ṛʰ	ṛʰ
ḷ	ḷ
ḷʰ	ḷʰ
x	x
f	f
z	z
ɠ	ɠ
ᶑ	ᶑ
ʄ	ʄ
ɓ	ɓ
ⁿg	ⁿg
ⁿg	ⁿg
ⁿd	ⁿd
ⁿḍ	ⁿḍ
ⁿḍ	ⁿḍ
ⁿd	ⁿd
ᵐb	ᵐb
ᵐb	ᵐb
ḣ	ḣ
-	-
,	,
.	.
*	*
̄	̄
̃	̃
́	́
́	́
̀	̀
ɛ	ɛ
ɛ	ɛ
e	e
ʊ	ʊ
u	u
ɪ	ɪ
ᵘ̆	ᵘ̆
ⁱ	ⁱ
i̯	i̯
ɔ	ɔ
ɔ̌	ɔ̌
ò	ò
ò	ò
ʸ	ʸ
ǣ	ǣ
ṹ	ṹ
ɛ̃	ɛ̃
c	c
ʀ	ʀ
ɨ	ɨ
ε	ε
έ	έ
ὲ	ὲ
ɔ	ɔ
̃	̃
ð	ð
ŕ̩	ŕ̩
ə̄	ə̄
ə̄	ə̄
ə	ə
ɨ	ɨ
ǝ	ǝ
ǣ	ǣ
ī	ī
ī̀	ī̀
ī́	ī́
í	í
ì	ì
ĩ	ĩ
ĩ̀	ĩ̀
ɪ́	ɪ́
ᵘ̈	ᵘ̈
ɨ̄́	ɨ̄́
ɨ̄	ɨ̄
ɨ̄	ɨ̄
̀	̀
o	o
ṭ͡ḷ	ṭ͡ḷ
ṭ͡ḷ	ṭ͡ḷ
ḍ͡ḷ	ḍ͡ḷ
ḍ͡ḷʰ	ḍ͡ḷʰ
ṉ	ṉ
'	'
ǵ	ǵ
s̱	s̱
x	x
χ	χ
q	q
ḷ	ḷ
ǐ	ǐ
ā̂	ā̂
ā̌	ā̌
ī̂	ī̂
ī̌	ī̌
ū̂	ū̂
ū̌	ū̌
ō̌	ō̌
ō̂	ō̂
ē̌	ē̌
ē̂	ē̂
ë	ë
°	°
