Grapheme	IPA
t͡ʃ	c
d͡ʒ	j
t͡ɕ	c
d͡ʑ	j
t͡s	ʦ
d͡z	ʣ
aː	ā
ʌː	ā
ɑː	ā
ɐː	ā
iː	ī
ɪː	ī
uː	ū
ʊː	ū
eː	ē
ɛː	ē
oː	ō
ɔː	ō
əː	ə̄
ɨː	ɨ̄
ɯː	ū
æː	ǣ
ɤː	ɤ
tʃ	c
dʒ	j
ũː	ũ̄
ãː	ā̃
ĩː	ī̃
õː	ō̃
a	a
ʌ	a
ɐ	a
ɑ	ā
ə	ə
i	i
ɪ	i
u	u
ʊ	u
e	e
ɛ	e
o	o
ɔ	o
ɨ	ɨ
ɯ	u
ɤ	ɤ
æ	æ
ã	ã
ũ	ũ
p	p
b	b
t	t
d	d
k	k
g	g
m	m
n	n
ŋ	ŋ
ɳ	ṇ
ɲ	ñ
l	l
ɭ	ḷ
r	r
ɾ	r
ɹ	r
ɻ	ṛ
ɽ	ṛ
ʈ	ṭ
ɖ	ḍ
s	s
ʃ	ś
ɕ	ś
ʂ	ṣ
ʒ	ž
ʐ	ž
ʑ	j
h	h
v	v
ʋ	v
w	v
j	y
f	f
ɸ	ɸ
β	β
ʉ	ʉ
ɜ	ɜ
q	q
x	x
z	z
c	c
̪	
̻	
̃	̃
̥	̥
̯	̯
ʰ	ʰ
̚	̚
́	́
̆	̆
ʲ	ʲ
͡	
.	.
,	,
 	#
ː	ː
ɡ	g
ʔ	ʔ
0	0
-	-
'	ʼ
#	#
+	+
(	(
)	)
/	/
