Grapheme	IPA
а	a
о	o
‍	
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
w	w
x	x
y	y
z	z
A	A
B	B
C	C
D	D
E	E
É	É
F	F
G	G
I	I
J	J
K	K
L	L
O	O
P	P
R	R
S	S
T	T
V	V
á	á
ã	ã
æ	æ
è	è
é	é
ê	ê
ë	ë
ì	ì
í	í
î	î
ï	ï
ñ	ñ
ò	ò
õ	õ
ù	ù
ú	ú
ü	ü
Ā	Ā
ā	ā
ĉ	ĉ
đ	đ
ē	ē
ė	ė
ġ	ġ
ħ	ħ
ī	ī
ı	ı
ķ	ķ
ļ	ļ
ľ	ľ
ł	ł
ń	ń
ņ	ņ
ŋ	ŋ
ō	ō
ř	ř
Ś	Ś
ś	ś
ş	ş
ū	ū
ŭ	ŭ
ź	ź
ż	ż
ǣ	ǣ
ț	ț
ɓ	ɓ
ɔ	ɔ
ɗ	ɗ
ə	ə
ɛ	ɛ
ɠ	ɠ
ɢ	ɢ
ɪ	ɪ
ɬ	ɬ
ʄ	ʄ
ʈ	ʈ
ʌ	ʌ
ʛ	ʛ
ʣ	ʣ
ʦ	ʦ
ʰ	ʰ
ʸ	ʸ
ʻ	ʻ
ˈ	ˈ
̀	̀
́	́
̂	̂
̃	̃
̄	̄
̆	̆
̊	̊
̌	̌
̣	̣
̥	̥
̪	̪
͡	͡
ᵐ	ᵐ
ᶑ	ᶑ
᷄	᷄
᷆	᷆
ḍ	ḍ
ḥ	ḥ
ḷ	ḷ
ṁ	ṁ
ṅ	ṅ
ṇ	ṇ
ṛ	ṛ
ṟ	ṟ
ṣ	ṣ
ṭ	ṭ
ẹ	ẹ
ⁿ	ⁿ
!	!
""""	""""
%	%
'	'
(	(
)	)
*	*
+	+
,	,
-	-
.	.
1	1
8	8
:	:
;	;
<	<
=	=
?	?
[	[
]	]
^	^
ª	ª
®	®
°	°
‘	‘
’	’
“	“
”	”
™	™
⋅	⋅
à	à
á̃	á̃
â	â
ã̀	ã̀
ã́	ã́
ì̃	ì̃
í̃	í̃
ó	ó
ô	ô
õ̀	õ̀
õ̌	õ̌
ā̀	ā̀
ā̀̃	ā̀̃
ā́	ā́
ā́̃	ā́̃
ā̂	ā̂
ā̂̃	ā̂̃
ā̃	ā̃
ā̃̀	ā̃̀
ā̃́	ā̃́
ā̄̆	ā̄̆
ā̌	ā̌
ā᷄́	ā᷄́
ē̂	ē̂
ē̃	ē̃
ē̌	ē̌
ě	ě
ĩ	ĩ
ĩ́	ĩ́
ī̀	ī̀
ī̀̃	ī̀̃
ī́	ī́
ī̂	ī̂
ī̃	ī̃
ī̌	ī̌
ō̂	ō̂
ō̃	ō̃
ō̌	ō̌
ũ	ũ
ū̀	ū̀
ū́	ū́
ū́̃	ū́̃
ū̂	ū̂
ū̃	ū̃
ū̃̀	ū̃̀
ū̃́	ū̃́
ū̌	ū̌
ǎ	ǎ
ǐ	ǐ
ǒ	ǒ
ǔ	ǔ
ǣ̀	ǣ̀
ǣ́	ǣ́
ǣ́̃	ǣ́̃
ǣ̂	ǣ̂
ǣ̌	ǣ̌
ǽ	ǽ
ḕ	ḕ
ḗ	ḗ
ḗ̃	ḗ̃
ṍ	ṍ
ṑ	ṑ
ṓ	ṓ
ẽ	ẽ
æ̀	æ̀
æ̌	æ̌
æ᷄́	æ᷄́
æ᷆̀	æ᷆̀
ɔ̀	ɔ̀
ɔ́	ɔ́
ɔ̃	ɔ̃
ɔ̃́	ɔ̃́
ɔ̄	ɔ̄
ɔ̄̃	ɔ̄̃
ɛ̀	ɛ̀
ɛ̃	ɛ̃
ɛ̄	ɛ̄
ɛ̄̂	ɛ̄̂
ɛ̄̃	ɛ̄̃
ɛ̄̌	ɛ̄̌
ʌ̀	ʌ̀
a᷄́	a᷄́
a᷄́̃	a᷄́̃
a᷆̀	a᷆̀
e᷄́	e᷄́
i᷄́	i᷄́
i᷆̀	i᷆̀
o᷄́	o᷄́
u᷄́	u᷄́
u᷆̀	u᷆̀
c̣	ʦ̣
g̃	g̃
g͡	g͡
k̊	k̊
k͡	k͡
n̊	n̊
r̥	r̥
t̪	t
ɗ̣	ɗ̣
ɠ͡	ɠ͡
ʦ̣	ʦ̣
ḷ̃	ḷ̃
ṭ̃	ṭ̃
а̄	ā
о̄	ō
 ̀	#̀
