Grapheme	IPA
tʃː	cc
dʒː	jj
t̪ː	tt
d̪ː	dd
n̪ː	nn
l̪ː	ll
kː	kk
gː	gg
ŋː	ṅṅ
hː	hh
tʃ	c
dʒ	j
ɕː	śś
ʃː	śś
ʒː	žž
sː	ss
ɲː	ññ
ʈː	ṭṭ
ɖː	ḍḍ
ɳː	ṇṇ
ɭː	ḷḷ
ɻː	ḻḻ
ɽː	ṛṛ
ɬː	ḷḷ
t̪	t
d̪	d
n̪	n
l̪	l
tː	tt
dː	dd
nː	nn
lː	ll
rː	rr
ɾː	rr
pː	pp
bː	bb
mː	mm
vː	vv
ʋː	vv
wː	ww
jː	yy
yː	yy
aː	ā
ɑː	ā
ʌː	ā
əː	ə̄
ɐː	ā
iː	ī
eː	ē
ɛː	ɛ̄
æː	ǟ
ɜː	ɜ̄
uː	ū
oː	ō
ɔː	ɔ̄
ɨː	ŭ
k	k
g	g
ŋ	ṅ
h	h
ɕ	ś
ʃ	ś
ʒ	ž
s	s
ɲ	ñ
ʈ	ṭ
ɖ	ḍ
ɳ	ṇ
ɭ	ḷ
ɻ	ḻ
ɽ	ṛ
ɬ	ḷ
t	t
d	d
n	n
l	l
r	r
ɾ	r
p	p
b	b
m	m
v	v
ʋ	v
w	w
j	y
y	y
a	a
ɑ	ā
ʌ	a
ə	ə
ɐ	a
i	i
e	e
ɛ	ɛ
æ	ä
ɜ	ɜ
u	u
o	o
ɔ	ɔ
ɨ	ŭ
ᵊ	ᵊ
ᵘ	ᵘ
ⁱ	ⁱ
ᵉ	ᵉ
ᶤ	ᵘ̆
ɩ	i
ᶏ	a
œ	o
ᴂ	ä
ᵬ	b
ʰ	ʰ
 	#
M	m
K	k
̻	
t̪:	tt
kʰː	kkʰ
d:	dd
