Grapheme	IPA
dʒ̩ĥ	jʰ
tʃ̩ĥ	cʰ
c̠̽̂	ɔ̯̃
dʒ̩h	jʰ
dʒ̩ĥ	jʰ
dˑĥ	ḍʰ
dⁿĥ	dʰ
e̠̽̂	ə̯̃
lˑĥ	ḷʰ
nˑĥ	ṇʰ
rˑĥ	ṛʰ
sˑĥ	ṣʰ
tʃ̩h	cʰ
tʃ̩ĥ	cʰ
tˑĥ	ṭʰ
tⁿĥ	tʰ
v̠̽̂	ʌ̯̃
ɵ̩ĥ	ɸʰ
â̩	a̩̯
a̩̽	ã̩
a̽̂	ã̯
bĥ	bʰ
ĉ̠	ɔ̯
c̠̽	ɔ̃
dĥ	dʰ
dʒ̩	j
dˑh	ḍʰ
dˑĥ	ḍʰ
dⁿh	dʰ
dⁿĥ	dʰ
ê̠	ə̯
e̠̽	ə̃
ê̩	e̩̯
e̩̽	ẽ̩
e̽̂	ẽ̯
gĥ	gʰ
î̩	i̩̯
i̩̽	ĩ̩
i̽̂	ĩ̯
kĥ	kʰ
lˑh	ḷʰ
lˑĥ	ḷʰ
mĥ	mʰ
nˑh	ṇʰ
nˑĥ	ṇʰ
ô̩	o̩̯
o̩̽	õ̩
o̽̂	õ̯
pĥ	pʰ
rˑh	ṛʰ
rˑĥ	ṛʰ
sˑh	ṣʰ
sˑĥ	ṣʰ
tĥ	tʰ
tʃ̩	c
tˑh	ṭʰ
tˑĥ	ṭʰ
tⁿh	tʰ
tⁿĥ	tʰ
û̩	u̩̯
u̩̽	ũ̩
u̽̂	ũ̯
v̠̂	ʌ̯
v̠̽	ʌ̃
ɡĥ	gʰ
ɵ̩ĥ	ɸʰ
.̩	.
â	a̯
a̩	a̩
a̽	ã
bh	bʰ
bĥ	bʰ
c̠	ɔ
dh	dʰ
dĥ	dʰ
dˑ	ḍ
dⁿ	d
ê	e̯
e̠	ə
e̩	e̩
e̽	ẽ
gh	gʰ
gĥ	gʰ
ĥ	ʰ
î	i̯
i̩	i̩
i̽	ĩ
kh	kʰ
kĥ	kʰ
lˑ	ḷ
mh	mʰ
mĥ	mʰ
nˑ	ṇ
ô	o̯
o̩	o̩
o̽	õ
ph	pʰ
pĥ	pʰ
rˑ	ṛ
r̩	ṛ
sˑ	ṣ
th	tʰ
ts	ʦ
tĥ	tʰ
tˑ	ṭ
tⁿ	t
û	u̯
u̩	u̩
u̽	ũ
v̠	ʌ
â̩	a̩̯
ê̠	ə̯
ê̩	e̩̯
î̩	i̩̯
ô̩	o̩̯
û̩	u̩̯
ĉ̠	ɔ̯
ɡh	gʰ
ɡĥ	gʰ
ɵ̩	ɸ
ʃ̩	ṣ
ʒ̩	ẓ
 	#
.	.
a	a
b	b
c	c
d	d
e	e
g	g
h	h
i	i
j	y
k	k
l	l
m	m
n	n
o	o
p	p
r	r
s	s
t	t
u	u
v	v
w	v
z	z
â	a̯
ê	e̯
î	i̯
ô	o̯
û	u̯
ĥ	ʰ
ɡ	g
ʃ	ṣ
ʒ	ẓ
