Grapheme	IPA
aː	ā
eː	ē
iː	ī
oː	ō
uː	ū
ãː	ā̃
ũː	ū̃
chh	cʰ
kh	kʰ
gh	gʰ
ch	cʰ
jh	jʰ
ʈh	ṭʰ
ɖh	ḍʰ
ṭh	ṭʰ
ḍh	ḍʰ
th	tʰ
dh	dʰ
ph	pʰ
bh	bʰ
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
r	r
s	s
t	t
u	u
v	v
w	v
x	x
y	y
z	z
I	I
J	J
K	K
N	N
T	T
Z	Z
á	á
ã	ã
ä	ä
å	å
é	é
ê	ê
í	í
ï	ï
ñ	ñ
ó	ó
ô	ô
õ	õ
ù	ù
ú	ú
ü	ü
Ā	Ā
ā	ā
ă	ă
ć	ć
č	c
đ	đ
ē	ē
ė	ė
ģ	ģ
ī	ī
ľ	ľ
ń	ń
ņ	ņ
ň	ň
ř	ř
ş	ş
š	ś
ũ	ũ
ū	ū
ů	ů
ż	ż
ž	ž
ț	ț
ŋ	ŋ
ɖ	ḍ
ɭ	ḷ
ɲ	ñ
ɳ	ṇ
ɽ	ṛ
ʈ	ṭ
ʔ	ʔ
ᵑ	ⁿ
ĩ	ĩ
ō	ō
ǔ	ǔ
ǰ	ǰ
ḍ	ḍ
ṛ	ṛ
ṭ	ṭ
ẽ	ẽ
ọ	ọ
ỹ	ỹ
́	́
̃	̃
ː	ː
0	0
1	1
2	2
4	4
7	7
8	8
!	!
#	#
&	&
(	(
)	)
,	,
-	-
.	.
/	/
:	:
;	;
>	>
?	?
{	{
~	~
¿	¿
‘	‘
’	’
'	'
	
 	#
