Grapheme	IPA
tʃh	cʰ
kh	kʰ
gh	gʰ
qh	qʰ
th	tʰ
dh	dʰ
ph	pʰ
bh	bʰ
t̪s	ʦ
d̪z	ʣ
pɸ	pɸ
bβ	bβ
dz	ʣ
t̪ː	tt
d̪ː	dd
n̪ː	nn
t̪	t
d̪	d
n̪	n
ʌː	ā
ʌ̃ː	ā̃
ʌ̃	ã
ʌ	a
ɐ	a
ɒ	o
ɜ	ə
ɤ	o
ɵ	ə
ɶ	æ
ɸ	ɸ
β	β
ɱ	m
ɴ	ŋ
ɢ	g
ɭ	ḷ
ʎ	ʎ
ʟ	ḷ
ɮ	ɮ
ɾ	r
ʙ	ʙ
ʀ	r
ʋ	v
ɹ	r
ħ	h
ʱ	ʰ
̬	
̴	̴
̚	
̈	̈
ĕ	e
̆	̆
'	ʼ
a̰ː	ā̰
ɑ̰ː	ā̰
o̰ː	ō̰
ɔ̃˞	õ˞
õ˞	õ˞
o˞	o˞
aːiː	āī
aːi	āi
aːu	āu
aiː	aī
auː	aū
ɑ̃ː	ā̃
ɑː	ā
ɑ̃	ā̃
ɑ	ā
aː	ā
ãː	ā̃
ã	ã
ai	ai
au	au
iː	ī
ĩː	ī̃
ĩ	ĩ
i̥	i̥
ɪː	ī
ɪ	i
ḭː	ḭ̄
ui	ui
uiː	uī
uː	ū
ũː	ū̃
ũ	ũ
u̥	u̥
ṵː	ṵ̄
ṵ	ṵ
ʊ	u
ei	ei
eː	ē
ẽː	ē̃
ẽ	ẽ
ḛː	ḛ̄
ɛ̃ː	ē̃
ɛː	ē
ɛ̃	ẽ
ɛ̤	e̤
ɛ	e
oi	oi
oː	ō
õː	ō̃
õ	õ
ɔ̃ː	ō̃
ɔː	ō
ɔ̃	õ
ɔ	o
əː	ə̄
ə̰	ə̰
ə̃	ə̃
ə̥	ə̥
æ̃ː	ǣ̃
æː	ǣ
æ	æ
ɨː	ɨ̄
ɨ	ɨ
ɯ	ɯ
øː	ø̄
ø	ø
ʉː	ʉ̄
ʉ	ʉ
ỹː	ȳ̃
yː	ȳ
y	y
ʏ	ʏ
œ	œ
tɕʰː	ʦ̣ʦ̣ʰ
tɕː	ʦ̣ʦ̣
tɕʰ	ʦ̣ʰ
tɕ	ʦ̣
dʑʰ	ʣ̣ʰ
dʑː	ʣ̣ʣ̣
dʑ	ʣ̣
ʈʂʰ	ʦ̣ʰ
ʈʂ	ʦ̣
ɖʐʰ	ʣ̣ʰ
ɖʐ	ʣ̣
tsʰ	ʦʰ
tsː	ʦʦ
ts	ʦ
tʃː	cc
t͡ʃ	c
tʃ	c
dʒ	j
kː	kk
kʰ	kʰ
k	k
gː	gg
gʰ	gʰ
ɡ	g
g	g
qː	qq
q	q
c	c
ɟ	ɟ
tː	tt
tʰ	tʰ
tʲ	tʸ
t	t
dː	dd
dʰ	dʰ
dʲ	dʸ
d̥	d̥
d	d
ʈː	ṭṭ
ʈʰ	ṭʰ
ʈ	ṭ
ɖʰ	ḍʰ
ɖ	ḍ
nː	nn
nʲ	nʸ
nʷ	nʷ
nʰ	nʰ
n̥	n̥
n	n
ɳː	ṇṇ
ɳ	ṇ
ɲ	ñ
pː	pp
pʰ	pʰ
p	p
bː	bb
bʰ	bʰ
bʷ	bʷ
b̥	b̥
b	b
mː	mm
mʰ	mʰ
mʷ	mʷ
m̥	m̥
m	m
rʲ	rʸ
r̥	r̥
r	r
ɻ	ṛ
ɽʰ	ṛʰ
ɽ̥	ṛ̥
ɽ	ṛ
lː	ll
lʲ	lʸ
lˠ	lˠ
lʰ	lʰ
l̥	l̥
l	l
ɫ	ḷ
ɬ	ɬ
sː	ss
sʲ	sʸ
s	s
zː	zz
zʲ	zʸ
z̥	z̥
z	z
ɕː	śś
ɕʲ	śʸ
ɕ	ś
ʃ	ś
ʂː	ṣṣ
ʂ	ṣ
ʑː	źź
ʑ	ź
ʒ	ž
ʐʰ	ẓʰ
ʐ	ẓ
x	x
χ	x
ɣ	ɣ
ʁ	ʁ
f	f
v	v
wː	vv
w	v
jʰ	yʰ
j	y
ɰ	ɰ
ç	ç
ʝ	ʝ
θ	θ
ð	ð
hʲ	hʸ
h	h
ɦ	h
ŋː	ŋŋ
ŋ	ŋ
ʕ	ʕ
ʔ	ʔ
ʰ	ʰ
ʲ	ʸ
ʷ	ʷ
ˠ	ˠ
˞	˞
̥	̥
̤	̤
̰	̰
̃	̃
́	́
͏	
_	#
-	-
/	/
e:	ē
ɛ:	ē
á	á
é	é
í	í
ó	ó
ú	ú
a	a
i	i
u	u
e	e
o	o
ə	ə
