Grapheme	IPA	Phon
aá	ā̌	ɑ̌ː
ií	ī̌	ǐː
uú	ū̌	ʊ̌ː
eé	ē̌	ɛ̌ː
oó	ō̌	ɔ̌ː
áa	ā̂	ɑ̂ː
íi	ī̂	îː
úu	ū̂	ʊ̂ː
ée	ē̂	ɛ̂ː
óo	ō̂	ɔ̂ː
ã	ã	ɑ̃
ĩ	ĩ	ĩ
ũ	ũ	ʊ̃
ẽ	ẽ	ɛ̃
õ	õ	ɔ̃
á	á	ɑ́
í	í	í
ú	ú	ʊ́
é	é	ɛ́
ó	ó	ɔ́
a̍	a̍	ɑ̍
i̍	i̍	i̍
u̍	u̍	ʊ̍
e̍	e̍	ɛ̍
o̍	o̍	ɔ̍
a	a	ɑ
i	i	i
u	u	ʊ
e	e	ɛ
o	o	ɔ
c̣h	ʦ̣ʰ	ʈ͡ʂʰ
c̣	ʦ̣	ʈ͡ʂ
j̣h	ʣ̣ʰ	ɖ͡ʐʰ
j̣	ʣ̣	ɖ͡ʐ
čh	cʰ	t͡ɕʰ
č	c	t͡ɕ
ǰh	jʰ	d͡ʑʰ
ǰ	j	d͡ʑ
tsh	ʦʰ	t͡sʰ
ts	ʦ	t͡s
dzh	ʣʰ	d͡zʰ
dz	ʣ	d͡z
ṭh	ṭʰ	ʈʰ
ṭ	ṭ	ʈ
ḍh	ḍʰ	ɖʰ
ḍ	ḍ	ɖ
kh	kʰ	kʰ
gh	gʰ	gʰ
th	tʰ	t̪ʰ
dh	dʰ	d̪ʰ
ph	pʰ	pʰ
bh	bʰ	bʰ
k	k	k
g	g	g
t	t	t̪
d	d	d̪
p	p	p
b	b	b
n	n	n
m	m	m
r	r	ɾ
ɫ	ḷ	ɫ
ḷ	ḷ	ɭ
l	l	l
ʋ	v	ʋ
ṷ	v	ʋ
y	y	j
š	ś	ɕ
ž	ź	ʑ
ṣ	ṣ	ʂ
ẓ	ẓ	ʐ
s	s	s
z	z	z
γ	ɣ	ɣ
x	x	x
q	q	q
f	f	f
h	h	h
ṇ	ṇ	ɳ
ḳ	ʦ̣	ʈ͡ʂ
ı	i	i
I	í	í
ɦ	h	h
ȷ	j	d͡ʑ
̌	̌	̌
̣	̣	̣
́	́	́
̍	̍	̍
¹	¹	¹
²	²	²
³	³	³
⁴	⁴	⁴
-	-	-
(	(	(
)	)	)
~	~	~
…	…	…
 	#	#
