Grapheme	IPA
'	
ˈ	
.	
_	
;	
!	!
(	(
)	)
/	/
-	-
a	a
ʌ	a
ʌː	ā
ɑ	ā
ɑː	ā
ɪ	i
ɪː	ī
i	ī
iː	ī
ʊ	u
ʊː	ū
u	ū
uː	ū
e	e
eː	ē
ɛ	e
ɛː	ē
o	o
oː	ō
ɔ	o
ɔː	ō
õ	ō̃
ũ	ū̃
ə	ə
əː	ə̄
æ	æ
æː	ǣ
ʌ̃ː	ā̃
ɑ̃ː	ā̃
ɪ̃ː	ī̃
ĩː	ī̃
ʊ̃ː	ū̃
ũː	ū̃
ẽː	ē̃
ɛ̃ː	ē̃
õː	ō̃
ɔ̃ː	ō̃
ə̃ː	ə̄̃
æ̃ː	ǣ̃
ʌ́ː	ā́
ɑ́ː	ā́
ɪ́ː	ī́
íː	ī́
ʊ́ː	ū́
úː	ū́
éː	ḗ
ɛ́ː	ḗ
óː	ṓ
ɔ́ː	ṓ
ə́ː	ə̄́
ǽː	ǣ́
̃	̃
̣	̣
́	́
kː	kk
gː	gg
qː	qq
cː	cc
jː	yy
tː	tt
dː	dd
ʈː	ṭṭ
ɖː	ḍḍ
nː	nn
ɳː	ṇṇ
pː	pp
bː	bb
mː	mm
rː	rr
ɽː	ṛṛ
lː	ll
ɫː	ḷḷ
ɬː	ɬɬ
sː	ss
zː	zz
ɕː	śś
ʃː	śś
ʂː	ṣṣ
ʒː	žž
ʑː	źź
ʐː	ẓẓ
xː	xx
hː	hh
ŋː	ŋŋ
fː	ff
vː	vv
wː	vv
ʔː	ʔʔ
ː	
t͡s	ʦ
t͡ɕ	ʦ̣
t͡ʃ	c
d͡ʒ	j
kh	kʰ
gh	gʰ
qh	qʰ
ch	cʰ
jh	jʰ
ʈh	ṭʰ
ɖh	ḍʰ
th	tʰ
dh	dʰ
ph	pʰ
bh	bʰ
k	k
g	g
q	q
c	c
j	y
t	t
d	d
ʈ	ṭ
ɖ	ḍ
n	n
ɳ	ṇ
p	p
b	b
m	m
r	r
ɽ	ṛ
l	l
ɫ	ḷ
ɭ	ḷ
ɬ	ɬ
ɸ	ɸ
β	β
s	s
z	z
ɕ	ś
ʃ	ś
ʂ	ṣ
ʒ	ž
ʑ	ź
ʐ	ẓ
x	x
ɣ	ɣ
ð	ð
h	h
ŋ	ŋ
f	f
v	v
w	v
y	y
ʔ	ʔ
ʰ	ʰ
ʲ	ʸ
