Grapheme	IPA
tsʰ	ʦʰ
tʃʰ	cʰ
dzʰ	ʣʰ
dʒʰ	jʰ
ts	ʦ
tʃ	c
dz	ʣ
dʒ	j
ã:	ā̃
ẽ:	ē̃
ĩ:	ī̃
õ:	ō̃
ũ:	ū̃
a:	ā
e:	ē
i:	ī
o:	ō
u:	ū
ɐ:	ā
ʌ:	ā
ɛ:	ē
ɔ:	ō
ɨ:	ɨ̄
ɩ:	ī
ɪ:	ī
ɷ:	ū
ʉ:	ʉ̄
ø:	ø̄
æ:	ǣ
ã	ã
ẽ	ẽ
ĩ	ĩ
õ	õ
ũ	ũ
ḁ	a̤
ṳ	ṳ
ɐ	a
ʌ	a
ə	ə
ɛ	e
ɔ	o
ɨ	ɨ
ɩ	i
ɪ	i
ɷ	u
ʉ	ʉ
ø	ö
æ	æ
ʈ	ṭ
ɖ	ḍ
ɽ	ṛ
ɹ	r
ɾ	r
ɲ	ñ
ŋ	ŋ
ɬ	ɬ
ɸ	ɸ
β	β
ɣ	ɣ
ɉ	j
ʂ	ṣ
ʃ	ś
ʐ	ẓ
ʒ	ž
ʔ	ʔ
j	y
w	v
ʰ	ʰ
ʲ	ʸ
ʷ	ʷ
ⁱ	ⁱ
ᵊ	ᵊ
ᵒ	ᵒ
ᶸ	ᵘ
ˑ	ˑ
˺	˺
̃	̃
̤	̤
̥	̥
̨	̨
̪	̪
í	í
ð	ð
'	'
(	(
)	)
-	-
.	.
;	;
/	/
:	ː
 	#
A	A
I	I
N	N
P	P
S	S
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
y	y
z	z
