Item	Gloss	Lect_Code	Language_Label	Site	Similarity_Group	Response_Index	Raw_Form	Form	PDF_Page	Printed_Page	Column	Source_Scope	Status	Review
1	body	Hi	Hindi	Standard	6	1	ʃʌɾir	ʃʌɾir	46	38	1	comparison	response	Unicode Charis/Doulos SIL text layer
1	body	Pg	Pangi	Tindi	1	1	dʒɐn	dʒɐn	46	38	1	prior_list	response	Unicode Charis/Doulos SIL text layer
1	body	Ch	Chinali	Gushal	4	1	puk	puk	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Ch	Chinali	Nalda	4	1	ɸuk	ɸuk	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Lo	Lohari	Gondhla	4	1	phuk	phuk	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Lo	Lohari	Gawzang	4	1	phuk	phuk	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Jobrang	4	1	puk	puk	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Jobrang	4	2	pukʌ	pukʌ	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Thirot	4	1	phuk̚	phuk̚	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Udeypur	4	1	pug	pug	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Gushal	4	1	phuk̚	phuk̚	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Mooling	5	1	mɐnuk	mɐnuk	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Tholang	4	1	phukh	phukh	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Chimrat	4	1	phug	phug	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Pa	Pattani	Salgram	4	1	phuk	phuk	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Ti	Tinani	Sissu	2	1	dzuʔ	dzuʔ	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Ti	Tinani	Gondhla	2	1	dzugɐ	dzugɐ	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Ga	Gahri	Keylong	2	1	dʒuks	dʒuks	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Ga	Gahri	Stingri	2	1	dʒuks	dʒuks	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Ga	Gahri	Gawzang	2	1	dzuks	dzuks	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Darcha	2	1	dʒuŋ	dʒuŋ	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Darcha	3	2	zukpo	zukpo	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Kolong	3	1	zuk̚po	zuk̚po	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Rarig	3	1	zũŋpõ	zũŋpõ	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Tingrat	3	1	dzupho	dzupho	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Tingrat	3	2	zuŋpo	zuŋpo	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Khoksar	3	1	dʒupːo	dʒupːo	46	38	1	target	response	Unicode Charis/Doulos SIL text layer
1	body	Ld	Ladakhi	Leh	3	1	zukspo	zukspo	46	38	1	prior_list	response	Unicode Charis/Doulos SIL text layer
1	body	Bh	Bhoti	Spiti	2	1	dʒu	dʒu	46	38	1	prior_list	response	Unicode Charis/Doulos SIL text layer
1	body	Tb	Tibetan	Lhasa	3	1	sukpo	sukpo	46	38	1	comparison	response	Unicode Charis/Doulos SIL text layer
2	head	Hi	Hindi	Standard	6	1	sɪɾ	sɪɾ	46	38	2	comparison	response	Unicode Charis/Doulos SIL text layer
2	head	Pg	Pangi	Tindi	4	1	kopʌli	kopʌli	46	38	2	prior_list	response	Unicode Charis/Doulos SIL text layer
2	head	Ch	Chinali	Gushal	3	1	kəpɐ	kəpɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Ch	Chinali	Nalda	3	1	kʌpɐ	kʌpɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Lo	Lohari	Gondhla	3	1	kʌpɐ	kʌpɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Lo	Lohari	Gawzang	3	1	kʌpɐ	kʌpɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Pa	Pattani	Jobrang	5	1	pundzɐ	pundzɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
2	head	Pa	Pattani	Thirot	5	1	pundʒɐ	pundʒɐ	46	38	2	target	response	Unicode Charis/Doulos SIL text layer
