AV	Early-Vedic
AitBr	Early-Vedic
BaudhŚr	Early-Vedic
Bcar	Epic
BhP	Medieval
Bhartr̥	Classical
Br̥ĀrUp	Early-Vedic
Car	Epic
Caurap	Medieval
ChUp	Early-Vedic
Daś	Classical
Devīm	Medieval
Divyāv	Classical
Gobh	Early-Vedic
Gīt	Medieval
Hariv	Classical
Hcar	Classical
Hemac	Medieval
Hit	Medieval
Jaim	Early-Vedic
JaimBr	Early-Vedic
Kathās	Medieval
Kauś	Early-Vedic
KauṣBr	Early-Vedic
KaṭhUp	Early-Vedic
Kir	Classical
Kum	Classical
Kād	Medieval
KālP	Medieval
Kālid	Classical
KātyŚr	Early-Vedic
Kāv	Classical
Kāvyād	Classical
Kāś	Classical
Kāṭh	Early-Vedic
Lalit	Epic
Lāṭy	Early-Vedic
MBh	Epic
MaitrS	Early-Vedic
Mn	Epic
Nir	Early-Vedic
Nyāyas	Epic
PārGr̥	Early-Vedic
Pāṇ	Epic
R	Epic
RV	Early-Vedic
RVPrāt	Early-Vedic
Sarvad	Medieval
SkandaP	Medieval
Suśr	Classical
Sāṁkhyak	Classical
TBr	Early-Vedic
TS	Early-Vedic
TUp	Early-Vedic
Tantras	Medieval
VP	Classical
VS	Early-Vedic
Vait	Early-Vedic
Vas	Early-Vedic
Viṣṇus	Classical
Vātsyāy	Classical
Yogas	Epic
Yājñ	Classical
com	Medieval
ĀśvGr̥	Early-Vedic
ĀśvŚr	Early-Vedic
ŚBr	Early-Vedic
Śikṣ	Classical
ŚivaP	Medieval
Śukas	Medieval
ŚvetUp	Epic
ŚārṅgS	Medieval
AitĀr	Early-Vedic
ĀpGr̥	Early-Vedic
Harav	Medieval
Hnigh	Medieval
MānŚr	Early-Vedic
Prab	Medieval
RāmatUp	Medieval
ṢaḍvBr	Early-Vedic
Śāktān	Medieval
ŚrS	Early-Vedic
TĀr	Early-Vedic
VādhS	Late-Vedic
ŚāṅkhGr̥	Early-Vedic
ŚāṅkhŚr	Late-Vedic
ĀpŚr	Early-Vedic
Bālar	Medieval
Bhadrab	Medieval
Bhag	Epic
Bhaṭṭ	Classical
Bhpr	Medieval
Br	Early-Vedic
BrahmavP	Medieval
Dhātup	Epic
Ep	Epic
Gaut	Early-Vedic
Gr̥hyas	Early-Vedic
Gr̥S	Early-Vedic
Gr̥Śr	Early-Vedic
Hcat	Medieval
ĪśUp	Early-Vedic
KauṣUp	Early-Vedic
Kauṭ	Epic
Kull	Medieval
Mālatīm	Classical
MārkP	Medieval
Mr̥cch	Classical
Naigh	Early-Vedic
Naiṣ	Medieval
Npr	Medieval
Pañcad	Medieval
Pañcat	Classical
Rājat	Medieval
Ratnāv	Classical
Sāh	Medieval
Siddh	Medieval
Subh	Medieval
SV	Early-Vedic
ŚāṅkhBr	Early-Vedic
Śatr	Medieval
Śiś	Classical
Uttarar	Classical
VarBr̥S	Classical
Vcar	Medieval
Viṣṇ	Classical
Vop	Medieval
