ID,Name,Category
1,CONTEMPTIBLE,adjective
10,FIREWOOD,noun
100,FAITHFUL,adjective
1000,ANXIETY,noun
1001,BLACKSMITH,noun
1002,STATUE,noun
1003,PERMIT,verb
1004,MUSCLE,noun
1005,TWINS,noun
1006,BRICK,noun
1007,COW,noun
1008,BULL,noun
101,BOAST,verb
1010,BOUNDARY,noun
1011,BRIDGE,noun
1012,LATCH,noun
1013,FRESHWATER EEL,noun
1014,OR,other
1015,SOIL,verb
1016,DRIZZLE,noun
1017,APPEARANCE,noun
1018,MEMORY,noun
1019,RIGHT,adjective
102,COMMON COLD (DISEASE),noun
1020,HANDKERCHIEF,noun
1021,TOWEL,noun
1022,BOOTY,noun
1024,CHARACTER,noun
1025,WHISTLE,verb
1026,LOW TIDE,noun
1027,BUG,noun
1028,YAWN,verb
1029,JEWEL,noun
1030,NECESSARY,other
1032,CITIZEN,noun
1033,GRIND,verb
1035,GOOD,adjective
1036,OWNER,noun
1037,ELF,noun
1038,TEACHER,noun
1039,SHOW,verb
1040,HAIR,noun
1041,INCREASE,verb
1042,CARPENTER,noun
1043,BRAID,noun
1044,PILLOW,noun
1045,POET,noun
1046,SHUT,verb
1047,PURSUE,verb
1048,LINE,noun
1049,MOLAR TOOTH,noun
105,MATTRESS,noun
1050,MOTHER-IN-LAW,noun
1051,CAN,noun
1052,LIGHT (WEIGHT),adjective
1053,HUNTER,noun
1054,SMALLPOX,noun
1055,FATHER-IN-LAW,noun
1056,SON-IN-LAW,noun
1057,DAUGHTER-IN-LAW,noun
1058,STEPDAUGHTER,noun
1059,STEPSON,noun
106,SATIATED,adjective
1061,ARMOUR,noun
1062,LAW,noun
1063,NEPHEW,noun
1064,SHIELD,noun
1065,SPIDER WEB,noun
1066,CRIME,noun
1067,JUDGMENT,noun
1068,COURT,noun
1069,GLUE,noun
107,OMEN,noun
1070,BUS,noun
1071,HOOK,noun
1072,PRISONER,noun
1074,FISHHOOK,noun
1075,TRAP (PITFALL),noun
1076,EMERGE (APPEAR),verb
1077,WHEAT,noun
1078,MAIN,other
1079,FEEL,verb
108,RUDDER,noun
1080,VULGAR,adjective
1081,BILL,noun
1082,MERCHANT,noun
1084,CALL,verb
1085,FOLLOW,verb
1086,WORK (ACTIVITY),verb
1087,CONCEIVE,verb
1088,SINK (DESCEND),verb
109,FOREIGN,adjective
1090,BE BORN,verb
1091,SALTY,adjective
1092,HOPE,verb
1093,MIDDLE,noun
1094,FASTEN,verb
1095,LET GO OR SET FREE,verb
1096,SONG,noun
1097,ABANDON,verb
1098,WEIGH,verb
11,DARKNESS,noun
110,MOTOR,noun
1100,COOK (SOMETHING),verb
1101,SUFFER,verb
1102,CLIMB,verb
1103,SACRIFICE,noun
1104,NURSE,noun
1105,CAMP,noun
1106,FALL ASLEEP,verb
1107,GO OUT,verb
1108,UNCOVER,verb
1109,WOUND,noun
111,DRUMMING,verb
1110,SHARK,noun
1111,CAR,noun
1112,SUCCEED,verb
1113,WRAP,verb
1114,BULLET,noun
1115,SPEECH,noun
1116,DAMAGE,verb
1117,LIKE,verb
1118,ACCUSTOM,verb
1119,DIVIDE,verb
112,TURTLE,noun
1120,HONEST,adjective
1121,SECRET,adjective
1122,WAGES,noun
1123,PREGNANT,adjective
1124,PIPE,noun
1125,BALD,adjective
1126,CITRUS FRUIT,noun
1127,SEND,verb
1128,ORDER,verb
1129,PAINFUL,adjective
113,SHORE,noun
1132,BEAM,noun
1133,MATCH,noun
1134,DIVORCE,noun
1135,KICK,verb
1136,RABBIT,noun
1137,TENDON,noun
1138,FAIRY,noun
1139,LEOPARD,noun
114,PORPOISE,noun
1140,FATIGUE,noun
1141,PITY,noun
1142,URINE,noun
1143,OVEN,noun
1144,WITNESS,noun
1145,SWAMP,noun
1146,AUBERGINE,noun
1147,PURE,adjective
1148,BRUISE,noun
1149,ORPHAN,noun
1150,THUNDER,noun
1151,VEIL,noun
1152,BEGET,verb
1153,CATTLE,noun
1154,OLIVE,noun
1155,CAVE,noun
1156,OPEN,verb
1157,BECAUSE,other
1158,STEP,noun
1159,FART,verb
1160,THIEF,noun
1161,THREAD,noun
1162,INTENTION,noun
1163,BRIBE (AMOUNT),noun
1164,BRIBE (SOMEBODY),verb
1165,MOUSTACHE,noun
1166,MOULD,noun
1167,GRUEL,noun
1169,OX,noun
117,IMITATE,verb
1170,TRAP (CATCH),verb
1171,MIRROR,noun
1172,SHOOT,verb
1173,EYEBROW,noun
1174,YESTERDAY,other
1175,GHOST,noun
1176,SPADE,noun
1177,DIARRHEA,noun
1178,NOSTRIL,noun
1179,DAY AFTER TOMORROW,other
118,BEWITCH,verb
1180,DAY BEFORE YESTERDAY,other
1181,PALM TREE,noun
1182,NOISE,noun
1183,PALM OF HAND,noun
1184,DIMINISH,verb
1185,VULTURE,noun
1186,LAST (ENDURE),verb
1187,GOOSE,noun
1188,CHARCOAL,noun
1189,ULCER,noun
119,DIVE,verb
1190,HARE,noun
1191,COOKED RICE,noun
1192,THREATEN,verb
1193,STEAM,noun
1195,GIVE BIRTH,verb
1197,BABOON,noun
1198,MANY,other
1199,WIFE,noun
12,MIDDAY,noun
120,PITCHER,noun
1200,HUSBAND,noun
1201,FEATHER,noun
1202,BIG,adjective
1203,LONG,adjective
1204,BARK,noun
1205,TONGUE,noun
1206,BARKING,verb
1207,YOUNG,adjective
1208,CAT,noun
1209,I,other
121,SPIN,verb
1210,HEAVY,adjective
1211,HE,other
1212,WE,other
1213,YOU,other
1214,THIS,other
1215,THOU,other
1216,MOTHER,noun
1217,FATHER,noun
1218,ROPE,noun
1219,WORM,noun
122,CART,noun
1220,TAIL,noun
1221,NOSE,noun
1222,PENIS,noun
1223,HEART,noun
1224,LIVER,noun
1225,DAY (NOT NIGHT),noun
1226,YEAR,noun
1227,BOARD,noun
1228,EARTH (SOIL),noun
1229,OLD,adjective
123,FOREHEAD,noun
1230,DIRTY,adjective
1231,NEW,adjective
1232,WARM,adjective
1233,NIGHT,noun
1234,SMOOTH,adjective
1235,WHO,other
1236,WHAT,other
1237,WHERE,other
1238,WHEN,other
1239,HOW,other
124,THORN,noun
1240,NOT,other
1241,SOME,other
1242,FEW,other
1243,WIDE,adjective
1244,THICK,adjective
1245,BUTTER,noun
1246,SMALL,adjective
1247,EAR,noun
1248,EYE,noun
1249,SPIKE,noun
125,SWEAT (SUBSTANCE),noun
1251,BELLY,noun
1252,HOUSE,noun
1253,RAIN (RAINING),verb
1254,HANDLE,noun
1256,HEAD,noun
1257,WING,noun
1258,FINGERNAIL,noun
1259,WEDDING,noun
126,SWEAT (PERSPIRE),verb
1260,DAY (24 HOURS),noun
1261,SING,verb
1262,BROTHER,noun
1263,SISTER,noun
1264,CHANGE,verb
1265,HIGH,adjective
1266,BRIDE,noun
1267,NARROW,adjective
1268,YES,other
1269,NO,other
127,EXTINGUISH,verb
1270,WHY,other
1271,DELIGHT,verb
1272,AUNT,noun
1273,CANDLE,noun
1274,SALT,noun
1275,ANSWER,verb
1276,AUTUMN,noun
1277,HAND,noun
1278,VOMIT,verb
1279,FAT (OBESE),adjective
128,MUMBLE,verb
1280,FALL,verb
1281,PRISON,noun
1282,FAT (FROM ANIMALS),noun
1283,TODAY,other
1284,BANK,noun
1285,IMPORTANT,adjective
1286,HOT,adjective
1287,COLD,adjective
1288,CAP,noun
1289,BABY,noun
129,CHOKE,verb
1290,ELEPHANT,noun
1291,BACK,noun
1292,BAD,adjective
1293,MISTAKE,noun
1294,ZERO,numeral
1295,STICK,noun
1296,WALKING STICK,noun
1297,LEG,noun
1298,NEWSPAPER,noun
1299,COFFEE,noun
13,DECEIT,noun
1300,COUNTRY,noun
1301,FOOT,noun
1302,FORK,noun
1303,FINGER,noun
1305,CHIMNEY,noun
1306,QUEEN,noun
1307,LANGUAGE,noun
1308,DOUBT,noun
1309,ASK (INQUIRE),verb
131,FESTIVAL,noun
1310,CLEVER,adjective
1311,VERY,other
1312,FOX,noun
1313,MOON,noun
1314,QUIET,adjective
1315,RADIO,noun
1316,TENT,noun
1318,CHICKEN,noun
1319,COWARD,noun
132,SAUCE,noun
1320,APPLE,noun
1321,BOTTLE,noun
1322,BREAKFAST,noun
1323,CLOCK,noun
1324,SLIP,verb
1325,FRIEND,noun
1326,DOWN,other
1327,UNCLE,noun
1329,TOMORROW,other
133,WEAVE,verb
1330,DEFEND,verb
1331,SHEEP,noun
1332,NEIGHBOUR,noun
1333,NECK,noun
1334,GUTS,noun
1335,WHITE,adjective
1336,EAT,verb
1337,PIG,noun
1338,PEACE,noun
1339,MORNING,noun
134,FAULT,noun
1340,WITH,other
1342,SUMMER,noun
1343,SUN,noun
1344,RAM,noun
1345,EWE,noun
1346,THROAT,noun
1347,NAPE (OF NECK),noun
1348,BOAR (MALE PIG),noun
1349,CHURCH,noun
1350,MONKEY,noun
1351,SOW (FEMALE PIG),noun
1352,KNIFE,noun
1353,HOUR,noun
1354,NEXT,other
1355,LAUGH,verb
1356,NUMBER,noun
1357,DAUGHTER,noun
1358,ENEMY,noun
1359,SEPARATE,verb
136,HERE,other
1360,DUCK,noun
1361,TOOL,noun
1362,STREET,noun
1363,VOICE,noun
1364,HEALTHY,adjective
1365,KITCHEN,noun
1366,BOY,noun
1367,CROSS,noun
1368,BREAD,noun
1369,GOLD,noun
1370,MONTH,noun
1371,KNEE,noun
1372,MEDICINE,noun
1373,TEA,noun
1374,RING,noun
1375,WINDOW,noun
1376,NOW,other
1377,VISIT,verb
1378,SPOON,noun
1379,TELEPHONE,noun
138,BATHE,verb
1380,TOOTH,noun
1381,SHOE,noun
1382,NEEDLE (FOR SEWING),noun
1383,GRANDFATHER,noun
1384,SECOND,other
1385,PEPPER,noun
1386,LION,noun
1387,ARRIVE,verb
1388,SHADE,noun
1389,TOE,noun
139,GUMS,noun
1390,WRONG,adjective
1391,TOWN,noun
1392,LOUSE,noun
1393,HORN (ANATOMY),noun
1394,BONE,noun
1395,ROUND,adjective
1396,SHARP,adjective
1398,DRY,adjective
1399,CLAY,noun
14,YOKE,noun
140,PADDY FIELD,noun
1400,THIN (SLIM),adjective
1401,DRINK,verb
1402,BREAST,noun
1403,BITE,verb
1404,STRAIGHT,adjective
1405,NAME,noun
1406,FAR,adjective
1407,BREATHE,verb
1408,HEAR,verb
1409,SEE,verb
141,BURN (SOMETHING),verb
1411,LIE (REST),verb
1412,RUDE,adjective
1413,PLAY,verb
1414,SQUEEZE,verb
1415,THINK (REFLECT),verb
1416,SIT,verb
1417,KILL,verb
1418,DIG,verb
1419,FEAR (BE AFRAID),verb
1420,COUNT,verb
1421,SUCK,verb
1422,BE ALIVE,verb
1423,FIGHT,verb
1424,YELLOW,adjective
1425,GREEN,adjective
1426,EXPENSIVE,adjective
1427,BEAUTIFUL,adjective
1428,BURNING,verb
1429,FULL,adjective
143,HUMID,adjective
1430,STAR,noun
1431,FREEZE,verb
1432,CUT,verb
1433,HIT,verb
1434,STAB,verb
1435,HUNT,verb
1436,SCRATCH,verb
1437,SPLIT,verb
1438,FOOL,noun
1439,SWIM,verb
144,MACHINE,noun
1440,SPIT,verb
1441,FLY (MOVE THROUGH AIR),verb
1442,STAND,verb
1443,WALK,verb
1444,TURN AROUND,verb
1445,TURN (SOMETHING),verb
1446,COME,verb
1447,GIVE,verb
1448,HOLD,verb
1449,RUB,verb
145,SORROWFUL,adjective
1450,ROOM,noun
1451,SMILE,verb
1452,PUSH,verb
1453,WASH,verb
1454,WIPE,verb
1455,PULL,verb
1456,THROW,verb
1457,SEW,verb
1458,SAY,verb
1459,IF,other
146,SUGAR CANE,noun
1460,IN,other
1461,AT,other
1462,POT,noun
1463,DRUNK,adjective
1464,LADDER,noun
1465,BOX,noun
1466,EXACT,adjective
1467,CIRCLE,noun
1468,LOOK FOR,verb
1469,WEEK,noun
147,COCONUT TREE,noun
1470,FOLD,verb
1471,WINTER,noun
1472,KEY,noun
1473,FIST,noun
1474,SEA,noun
1475,COMB,noun
1476,CHAIR,noun
1477,KEEP,verb
1478,WITHOUT,other
148,ITCH,noun
1480,BODY,noun
1481,HAMMER,noun
1482,SHOULDER,noun
1483,NINE,numeral
1484,OIL (ORGANIC SUBSTANCE),noun
1485,BELOW OR UNDER,other
1486,PLANT (SOMETHING),verb
1487,POUR,verb
1488,FAUCET,noun
1489,CLOUD,noun
149,ITCHY,adjective
1490,RAT,noun
1491,MOUSE,noun
1492,DUMB,adjective
1493,ONE,numeral
1494,DIE,verb
1495,HAPPY,adjective
1496,GRANDMOTHER,noun
1498,TWO,numeral
1499,JUICE,noun
15,OTTER,noun
150,WORRY,verb
1500,FOUR,numeral
1501,BORE,verb
1502,GOAT,noun
1503,SALIVA,noun
1504,FLY (INSECT),noun
1505,SPERM,noun
1506,MEASURE,verb
1507,FRUIT,noun
1508,KING,noun
