ID,Entry_ID,Compared_Entry_ID,Relation,Direction,Confidence,Source,Evidence
burushaski:ia-1008-4d856295339f:cdial:1008:3457cb24ef,f_5c6ppvir4g5zw,1008,related,undetermined,medium,CDIAL[entry 1008],CDIAL entry 1008 includes the Burushaski comparandum aiyʌš ‘sky’; ayʌš ‘sky’ under ākāśá.
burushaski:ia-10085-0cad39612fd7:cdial:10085:d37ab56413,f_vnlbr75gfurea,10085,related,undetermined,medium,berger-auto[p. 140 (printed p. 273)],"nach einigen nur sh. für bur. dumúlľ; sh. maáti, T 10085"
burushaski:ia-1009-5c7f62f32934:cdial:1009:53661a32f2,f_23zlphkutbmqe,1009,related,undetermined,medium,berger[p. 24],"ys. ayáś, sh. hagaái, B agái, T 1009"
burushaski:ia-10113-86f77e7938dc:cdial:10113:7bf811a1ea,f_euny2rap6a2ju,10113,related,undetermined,medium,berger-auto[p. 146 (printed p. 284)],"ys. manyóś, manőś, manúś, sh. mayűś; T 10113"
burushaski:ia-10113-93eae05eef89:cdial:10113:ed723aca67,f_axm2pp345hvpu,10113,related,undetermined,low,"backstrom1992[Burushaski wordlist, buffalo]",Legacy Jambu data linked the Backstrom Burushaski attestation hiṣ̌mɑˈhiiṣ̌ ‘buffalo’ to CDIAL 10113 māhiṣa. Backstrom supplies the lexical attestation; the historical relation and its direction are not asserted here.
burushaski:ia-10174-de4d846e3312:cdial:10174:33328d4de7,f_q2cxuol33cqhm,10174,related,undetermined,medium,berger-auto[p. 150 (printed p. 293)],"zu sh. mukh ""Gesicht"", mukh d- ""zur Rede stellen"", kho. ""múkha"" ""face to face"" Sloan; T 10174"
burushaski:ia-10186-daa5ac96144c:cdial:10186:0cadba1aac,f_y3ij6jkuxnyxe,10186,related,undetermined,medium,berger-auto[p. 151 (printed p. 295)],T 10186.4
burushaski:ia-10187-a5017fb990db:cdial:10187:5f0ea69a1a,f_tfuveej6tjux2,10187,related,undetermined,medium,berger-auto[p. 149 (printed p. 291)],T 10187.11
burushaski:ia-10196-05895de535b0:cdial:10196:1d7e4efa25,f_fnvctdmi3g6gu,10196,related,undetermined,medium,berger-auto[p. 152 (printed p. 296)],"ys. mút-; sh. muth ""Essen übrig lassen, unordentlich essen"", T 10196"
burushaski:ia-10196-27bfcb4ae8b8:cdial:10196:c1b7354acb,f_ohs3menrfzsqc,10196,related,undetermined,medium,berger-auto[p. 151 (printed p. 294)],"ys. sh., kho. mun; T 10196; vgl. Gr. 19.67."
burushaski:ia-10198-68c37737a483:cdial:10198:83af18f207,f_d23voi4kvmbgi,10198,related,undetermined,medium,berger-auto[p. 149 (printed p. 290)],sh. muṅ; T 10198
burushaski:ia-10198-f3a6d31c334e:cdial:10198:998e26b106,f_c6b56svxsymbo,10198,related,undetermined,low,"backstrom1992[Burushaski wordlist, groundnut]",Legacy Jambu data linked the Backstrom Burushaski attestation mumpʰʌˈli ‘groundnut’; muŋpʰʌˈli ‘groundnut’ to CDIAL 10198 mudgá. Backstrom supplies the lexical attestation; the historical relation and its direction are not asserted here.
burushaski:ia-10221-3114b67b3337:cdial:10221:d1ffe74c7e,f_qkxfhz2z6dsoq,10221,related,undetermined,medium,berger-auto[p. 150 (printed p. 292)],"ys. -muṣṭ, vgl. ng. muṣṭí unter ²múçi; sh. . mut; T 10221"
burushaski:ia-10250-9a8825bee449:cdial:10250:33328d4de7,f_sirchovg7osbm,10250,related,undetermined,medium,berger-auto[p. 150 (printed p. 293)],"6h. múulo ""Rübe"", mulií ""Wurzel""; T 10250"
burushaski:ia-10292-9e9d0f2550d1:cdial:10292:d5a024e6c0,f_idbo5diomqlw2,10292,related,undetermined,medium,berger-auto[p. 196 (printed p. 385)],T 10292
burushaski:ia-10323-9ace340cfd7e:cdial:10323:886936b4bf,f_6cy5zkusaurdc,10323,related,undetermined,medium,berger-auto[p. 152 (printed p. 297)],sh. mpo T 10323
burushaski:ia-10343-22fce96c5a70:cdial:10343:a0c6026f2f,f_q4ma2zoroldgs,10343,related,undetermined,medium,berger-auto[p. 147 (printed p. 286)],T 10343
burushaski:ia-10395-86c24d8cb2a7:cdial:10395:6b7b2fd6b5,f_tljyk32xqx4sq,10395,related,undetermined,medium,berger-auto[p. 238 (printed p. 469)],sh. yaçhólo; T 10395
burushaski:ia-10412-1eb998ce245d:cdial:10412:61176159e1,f_g5qyxymjauer6,10412,related,undetermined,medium,berger-auto[p. 243 (printed p. 478)],"sh. yõr, obl. yõór-, T 10412; vgl. yáiṅ"
burushaski:ia-10412-bf79920f5435:cdial:10412:45a48116ec,f_d3ufx4s5okppi,10412,related,undetermined,medium,berger-auto[p. 239 (printed p. 470)],"ys. yánji; < *panj-iṅ zu sh. yõr, obl. yõőr-; T 10412, vgl. yoór"
burushaski:ia-10412-c9fccbba4bd2:cdial:10412:d9884f4ffd,f_wfu42yrrn3pjo,10412,related,undetermined,medium,berger-auto[p. 240 (printed p. 472)],"T 10412, nicht < Sh., vgł. unter yáiṅ"
burushaski:ia-10424-001b170167d3:cdial:10424:efb2a61803,f_chhut5xfw55og,10424,related,undetermined,medium,berger-auto[p. 239 (printed p. 471)],"sh. yamyÍr, obl. -yõőr-, T 10424"
burushaski:ia-10479-6f6c552074d6:cdial:10479:91b8b9838e,f_lniiqp4ob6yhe,10479,related,undetermined,medium,berger-auto[p. 243 (printed p. 479)],sh. yūto L; T 10479
burushaski:ia-10481-bfd04cf2ca92:cdial:10481:a5b143d318,f_d4l6jm6tu5um6,10481,related,undetermined,medium,berger-auto[p. 118 (printed p. 229)],"ys. juk, juk, sh. juúk;, T 10481"
