ID,Tag,Language_ID,Source_Language_ID,Name,Glottocode,Latitude,Longitude,Clade,Location,Quality
nubri_sama,dialect:Nubri:nubri_sama:Sama,Nubri,nubri_sama,Sama,nubr1241,28.5846748,84.6440443,Other,"Samagaon, Gorkha district, Nepal",C
nubri_lho,dialect:Nubri:nubri_lho:Lho,Nubri,nubri_lho,Lho,nubr1241,28.574047,84.7019922,Other,"Lho, Gorkha district, Nepal",C
nubri_namrung,dialect:Nubri:nubri_namrung:Namrung,Nubri,nubri_namrung,Namrung,nubr1241,28.5450595,84.767884,Other,"Namrung, Gorkha district, Nepal",C
nubri_prok,dialect:Nubri:nubri_prok:Prok,Nubri,nubri_prok,Prok,nubr1241,28.5212042,84.8338395,Other,"Prok, Gorkha district, Nepal",C
tsum_chekampar,dialect:Tsum:tsum_chekampar:Chekampar,Tsum,tsum_chekampar,Chekampar,tsum1240,28.47291,85.0839,Other,"Chekampar, Tsum Valley, Gorkha district, Nepal",C
southern_ghale_barpak,dialect:SouthernGhale:southern_ghale_barpak:Barpak,SouthernGhale,southern_ghale_barpak,Barpak,sout2715,28.202909,84.744514,Other,"Barpak, Gorkha district, Nepal",C
southern_ghale_kyaura,dialect:SouthernGhale:southern_ghale_kyaura:Kyaura,SouthernGhale,southern_ghale_kyaura,Kyaura,sout2715,28.102,84.705,Other,"Kyaura, Saurpani, Gorkha district, Nepal",C
southern_ghale_laprak,dialect:SouthernGhale:southern_ghale_laprak:Laprak,SouthernGhale,southern_ghale_laprak,Laprak,sout2715,28.2191492,84.8013991,Other,"Laprak, Gorkha district, Nepal",C
northern_ghale_jagat,dialect:NorthernGhale:northern_ghale_jagat:Jagat,NorthernGhale,northern_ghale_jagat,Jagat,nort2709,28.351414,84.8958597,Other,"Jagat, Gorkha district, Nepal",C
northern_ghale_philim,dialect:NorthernGhale:northern_ghale_philim:Philim,NorthernGhale,northern_ghale_philim,Philim,nort2709,28.3933175,84.8966189,Other,"Philim, Gorkha district, Nepal",C
northern_ghale_uiya,dialect:NorthernGhale:northern_ghale_uiya:Uiya,NorthernGhale,northern_ghale_uiya,Uiya,nort2709,28.28459,84.88885,Other,"Uiya, Gorkha district, Nepal",C
northern_ghale_khorla,dialect:NorthernGhale:northern_ghale_khorla:Khorla,NorthernGhale,northern_ghale_khorla,Khorla,nort2709,28.2428629,84.866161,Other,"Khorla, Gorkha district, Nepal",C
northern_ghale_nyak,dialect:NorthernGhale:northern_ghale_nyak:Nyak,NorthernGhale,northern_ghale_nyak,Nyak,nort2709,28.4435327,84.8936869,Other,"Nyak, Gorkha district, Nepal",C
kutang_ghale_bihi,dialect:KutangGhale:kutang_ghale_bihi:Bihi,KutangGhale,kutang_ghale_bihi,Bihi,kuta1241,28.508284,84.862465,Other,"Bihi, Gorkha district, Nepal",C
kutang_ghale_chyak,dialect:KutangGhale:kutang_ghale_chyak:Chyak,KutangGhale,kutang_ghale_chyak,Chyak,kuta1241,28.53,84.84,Other,"Chyak, Gorkha district, Nepal",C
kutang_ghale_rana,dialect:KutangGhale:kutang_ghale_rana:Rana,KutangGhale,kutang_ghale_rana,Rana,kuta1241,28.55,84.79,Other,"Rana, Gorkha district, Nepal",C
eastern_gorkha_tamang_keraunja,dialect:EasternGorkhaTamang:eastern_gorkha_tamang_keraunja:Keraunja,EasternGorkhaTamang,eastern_gorkha_tamang_keraunja,Keraunja,east2346,28.3098002,84.9034686,Other,"Keraunja, Gorkha district, Nepal",C
western_tamang_lamagara,dialect:WesternTamang:western_tamang_lamagara:Lamagara,WesternTamang,western_tamang_lamagara,Lamagara,west2415,28.02,85.04,Other,"Lamagara, Midkot, Gorkha district, Nepal",C
brahui_rakhshan,dialect:Brahui:brahui_rakhshan:Rakhsh%C4%81n,Brahui,brahui_rakhshan,Rakhshān,brah1256,28.383675,64.1757536,N. Dravidian,Rakhshān region; glossary entries explicitly labelled Rakhshān by Ali and Kobayashi,C
kurux_lochani,dialect:Kurux:kurux_lochani:Lochani,Kurux,kurux_lochani,Lochani,nepa1253,26.64008,87.31626,N. Dravidian,"Lochani, Morang district, Nepal",C
kurux_bhokraha,dialect:Kurux:kurux_bhokraha:Bhokraha,Kurux,kurux_bhokraha,Bhokraha,nepa1253,26.6069849,87.125895,N. Dravidian,"Bhokraha, Sunsari district, Nepal",C
kurux_siddhapur,dialect:Kurux:kurux_siddhapur:Siddhapur,Kurux,kurux_siddhapur,Siddhapur,nepa1253,27.16,84.88,N. Dravidian,"Siddhapur, Parsa district, Nepal",C
kurux_tokla,dialect:Kurux:kurux_tokla:Tokla,Kurux,kurux_tokla,Tokla,nepa1253,26.72229,88.15386,N. Dravidian,"Tokla, Jhapa district, Nepal",C
loke_lo_manthang,dialect:Loy:loke_lo_manthang:Lo%20Manthang,Loy,loke_lo_manthang,Lo Manthang,lowa1242,29.18391,83.96267,Other,"Lo Manthang, Upper Mustang, Nepal",C
loke_ghiling,dialect:Loy:loke_ghiling:Ghiling,Loy,loke_ghiling,Ghiling,lowa1242,28.9438,83.8184,Other,"Ghiling, Upper Mustang, Nepal",C
