PDF_Page	Printed_Page	Source_Order_Items	Prompt_Rows	Conceptual_Cells	Reviewed_Cells	Attested_Cells	Source_Blanks	Ambiguous	Illegible	Pending_Cells	Status	Notes
22	18	S001-S006	6	12	12	12	0	0	0	0	complete	Both tables manually reviewed from 600-dpi render; left table S001-S003, right table S004-S006.
23	19	S007-S022	16	32	32	32	0	0	0	0	complete	S007-S010 manually reviewed from 600-dpi render and S011-S022 from 1200-dpi render; all cells visually complete.
24	20	S023-S038	16	32	32	32	0	0	0	0	complete	Both tables S023-S038 manually reviewed from 1200-dpi render; all cells visually complete.
25	21	S039-S054	16	32	32	32	0	0	0	0	complete	Both tables S039-S054 manually reviewed from 1200-dpi render; all cells visually complete.
26	22	S055-S070	16	32	32	32	0	0	0	0	complete	Both tables S055-S070 manually reviewed from 1200-dpi render; all cells visually complete.
27	23	S071-S086	16	32	32	32	0	0	0	0	complete	Both tables S071-S086 manually reviewed from 1200-dpi render; all cells visually complete.
28	24	S087-S101	15	30	30	30	0	0	0	0	complete	Both tables S087-S101 manually reviewed from 1200-dpi render; all cells visually complete; page has eight left-table prompts and seven right-table prompts.
29	25	S102-S117	16	32	32	32	0	0	0	0	complete	Both tables S102-S117 manually reviewed from 1200-dpi render; all cells visually complete.
30	26	S118-S133	16	32	32	32	0	0	0	0	complete	Both tables S118-S133 manually reviewed from 1200-dpi render; all cells visually complete.
31	27	S134-S149	16	32	32	31	1	0	0	0	complete	Both tables S134-S149 manually reviewed from 1200-dpi render; Maituri S148 explicitly prints 'no data' and is recorded as a source blank.
32	28	S150-S165	16	32	32	32	0	0	0	0	complete	Both tables S150-S165 manually reviewed from 1200-dpi render; all cells visually complete.
33	29	S166-S181	16	32	32	32	0	0	0	0	complete	Both tables S166-S181 manually reviewed from 1200-dpi render; all cells visually complete.
34	30	S182-S194	13	26	26	26	0	0	0	0	complete	Both tables S182-S194 manually reviewed from 1200-dpi render; all cells visually complete.
