Source_Order_Item	PDF_Page	Printed_Page	Column	Prompt_Gloss	Status	Confidence	Notes
S001	22	18	left	body	complete	high	Gloss and both response cells visually read from 600-dpi render.
S002	22	18	left	head	complete	high	Gloss and both response cells visually read from 600-dpi render.
S003	22	18	left	hair	complete	high	Gloss and both response cells visually read from 600-dpi render; Maituri final unreleased mark checked at targeted zoom.
S004	22	18	right	face	complete	high	Gloss and both response cells visually read from 600-dpi render.
S005	22	18	right	eye	complete	high	Gloss and both response cells visually read from 600-dpi render.
S006	22	18	right	ear	complete	high	Gloss and both response cells visually read from 600-dpi render.
S007	23	19	left	nose	complete	high	Gloss and both response cells visually read from 600-dpi render; final unreleased marks checked at targeted zoom.
S008	23	19	left	mouth	complete	high	Gloss and both response cells visually read from 600-dpi render; source's small inverted breve on ʃ retained rather than normalized to a tie.
S009	23	19	left	tooth	complete	high	Gloss and both response cells visually read from 600-dpi render.
S010	23	19	left	tongue	complete	high	Gloss and both response cells visually read from 600-dpi render; Maituri palatal offglide checked at targeted zoom.
S011	23	19	left	chest	complete	high	Gloss and both response cells visually read from 1200-dpi render; final unreleased marks visibly rechecked.
S012	23	19	left	belly	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri medial unreleased mark visibly rechecked.
S013	23	19	left	arm	complete	high	Gloss and both response cells visually read from 1200-dpi render.
S014	23	19	left	elbow	complete	high	Gloss and both response cells visually read from 1200-dpi render.
S015	23	19	right	palm	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri internal space retained.
S016	23	19	right	finger	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani two comma-separated alternatives and small inverted breve visibly rechecked.
S017	23	19	right	fingernail	complete	high	Gloss and both response cells visually read from 1200-dpi render; Rongdani small inverted breve visibly rechecked.
S018	23	19	right	leg	complete	high	Gloss and both response cells visually read from 1200-dpi render.
S019	23	19	right	skin	complete	high	Gloss and both response cells visually read from 1200-dpi render; Maituri final unreleased mark visibly rechecked.
S020	23	19	right	bone	complete	high	Gloss and both response cells visually read from 1200-dpi render; both tied d͡ʒ sequences visibly rechecked.
