Item	PDF_Page	Printed_Page	Row	OCR_Gloss_Scaffold	Manual_Gloss	Review_Status	Confidence	Notes
1	217	212	1	4 leaf	stone	complete	high	visually read from 600 dpi rendered source; OCR ignored
2	217	212	2	flower	soil	complete	high	visually read from 600 dpi rendered source; OCR ignored
3	217	212	3		water	complete	high	visually read from 600 dpi rendered source; OCR ignored
4	217	212	4	6 tree	leaf	complete	high	visually read from 600 dpi rendered source; OCR ignored
5	217	212	5	7 WOod	flower	complete	high	visually read from 600 dpi rendered source; OCR ignored
6	217	212	6	8 seed	tree	complete	high	visually read from 600 dpi rendered source; OCR ignored
7	217	212	7	9 fruit	wood	complete	high	visually read from 600 dpi rendered source; OCR ignored
8	217	212	8		seed	complete	high	visually read from 600 dpi rendered source; OCR ignored
9	217	212	9		fruit	complete	high	visually read from 600 dpi rendered source; OCR ignored
10	217	212	10	11 rot	bark	complete	high	visually read from 600 dpi rendered source; OCR ignored
11	217	212	11	12 thorn	root	complete	high	visually read from 600 dpi rendered source; OCR ignored
12	217	212	12	13 house	thorn	complete	high	visually read from 600 dpi rendered source; OCR ignored
13	217	212	13	14 fire	house	complete	high	visually read from 600 dpi rendered source; OCR ignored
14	217	212	14		fire	complete	high	visually read from 600 dpi rendered source; OCR ignored
15	217	212	15	smoke	smoke	complete	high	visually read from 600 dpi rendered source; OCR ignored
16	217	212	16	ash	ash	complete	high	visually read from 600 dpi rendered source; OCR ignored
17	217	212	17	fireplace	fireplace	complete	high	visually read from 600 dpi rendered source; OCR ignored
18	217	212	18	cloud	cloud	complete	high	visually read from 600 dpi rendered source; OCR ignored
19	217	212	19	sky	sky	complete	high	visually read from 600 dpi rendered source; OCR ignored
20	217	212	20	20	sun	complete	high	visually read from 600 dpi rendered source; OCR ignored
21	217	212	21	Sun	moon	complete	high	visually read from 600 dpi rendered source; OCR ignored
22	217	212	22	21 moon	star	complete	high	visually read from 600 dpi rendered source; OCR ignored
23	217	212	23	22 star	wind	complete	high	visually read from 600 dpi rendered source; OCR ignored
24	217	212	24	23 wind	hail	complete	high	visually read from 600 dpi rendered source; OCR ignored
25	217	212	25	24 bai1	rain	complete	high	visually read from 600 dpi rendered source; OCR ignored
26	218	213	1	mountain	mountain	complete	high	visually read from 450 dpi rendered source; OCR ignored
27	218	213	2	path	path	complete	high	visually read from 450 dpi rendered source; OCR ignored
28	218	213	3	field, dry	field, dry	complete	high	visually read from 450 dpi rendered source; OCR ignored
29	218	213	4	field, wet	field, wet	complete	high	visually read from 450 dpi rendered source; OCR ignored
30	218	213	5	forest	forest	complete	high	visually read from 450 dpi rendered source; OCR ignored
31	218	213	6	sand	sand	complete	high	visually read from 450 dpi rendered source; OCR ignored
32	218	213	7	mad	mud	complete	high	visually read from 450 dpi rendered source; OCR ignored
33	218	213	8	branch	branch	complete	high	visually read from 450 dpi rendered source; OCR ignored
34	218	213	9	tree trunk	tree trunk	complete	high	visually read from 450 dpi rendered source; OCR ignored
35	218	213	10	tree stump	tree stump	complete	high	visually read from 450 dpi rendered source; OCR ignored
36	218	213	11	floor	floor	complete	high	visually read from 450 dpi rendered source; OCR ignored
37	218	213	12	roof	roof	complete	high	visually read from 450 dpi rendered source; OCR ignored
38	218	213	13	door	door	complete	high	visually read from 450 dpi rendered source; OCR ignored
39	218	213	14	wall	wall	complete	high	visually read from 450 dpi rendered source; OCR ignored
40	218	213	15	fence	fence	complete	high	visually read from 450 dpi rendered source; OCR ignored
41	218	213	16	dew	dew	complete	high	visually read from 600 dpi rendered source; OCR ignored
42	218	213	17	frost	frost	complete	high	visually read from 600 dpi rendered source; OCR ignored
43	218	213	18	storm	storm	complete	high	visually read from 600 dpi rendered source; OCR ignored
44	218	213	19	4 tog	fog	complete	high	visually read from 600 dpi rendered source; OCR ignored
45	218	213	20	thunder	thunder	complete	high	visually read from 600 dpi rendered source; OCR ignored
46	218	213	21	l1ghtning	lightning	complete	high	visually read from 600 dpi rendered source; OCR ignored
47	218	213	22	rainbOW	rainbow	complete	high	visually read from 600 dpi rendered source; OCR ignored
48	218	213	23	earthquake	earthquake	complete	high	visually read from 600 dpi rendered source; OCR ignored
49	218	213	24	cliff	cliff	complete	high	visually read from 600 dpi rendered source; OCR ignored
50	218	213	25	Cave	cave	complete	high	visually read from 600 dpi rendered source; OCR ignored
51	219	214	1	hill	hill	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
52	219	214	2	valley	valley	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
53	219	214	3	river	river	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
54	219	214	4	lake	lake	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
55	219	214	5	sea	sea	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
56	219	214	6	person	person	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
57	219	214	7	man	man	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
58	219	214	8	woman	woman	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
59	219	214	9	child (cf. 325)	child (cf. 325)	complete	high	visually read from physical p.263 / printed p.258; printed cross-reference retained
60	219	214	10	boy	boy	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
61	219	214	11	girl	girl	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
62	219	214	12	nae	name	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
63	219	214	13	body	body	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
64	219	214	14	head	head	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
65	219	214	15	tace	face	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
66	219	214	16	forehead	forehead	complete	high	visually read from physical p.263 / printed p.258; OCR ignored
