Character	Codepoint	Unicode_Name	Frozen_Attested_Count	Installed_Target_Count	Combining_Class
 	U+0020	SPACE	6	4	0
'	U+0027	APOSTROPHE	171	56	0
-	U+002D	HYPHEN-MINUS	1	1	0
:	U+003A	COLON	584	499	0
a	U+0061	LATIN SMALL LETTER A	2034	1358	0
b	U+0062	LATIN SMALL LETTER B	676	501	0
c	U+0063	LATIN SMALL LETTER C	3	1	0
d	U+0064	LATIN SMALL LETTER D	245	195	0
e	U+0065	LATIN SMALL LETTER E	1630	1172	0
f	U+0066	LATIN SMALL LETTER F	1	1	0
g	U+0067	LATIN SMALL LETTER G	655	440	0
h	U+0068	LATIN SMALL LETTER H	138	48	0
i	U+0069	LATIN SMALL LETTER I	608	460	0
j	U+006A	LATIN SMALL LETTER J	710	474	0
k	U+006B	LATIN SMALL LETTER K	1207	804	0
l	U+006C	LATIN SMALL LETTER L	989	673	0
m	U+006D	LATIN SMALL LETTER M	994	615	0
n	U+006E	LATIN SMALL LETTER N	1150	775	0
o	U+006F	LATIN SMALL LETTER O	532	377	0
p	U+0070	LATIN SMALL LETTER P	521	306	0
r	U+0072	LATIN SMALL LETTER R	955	611	0
s	U+0073	LATIN SMALL LETTER S	589	390	0
t	U+0074	LATIN SMALL LETTER T	787	552	0
u	U+0075	LATIN SMALL LETTER U	3104	2099	0
v	U+0076	LATIN SMALL LETTER V	369	193	0
w	U+0077	LATIN SMALL LETTER W	346	251	0
y	U+0079	LATIN SMALL LETTER Y	11	11	0
z	U+007A	LATIN SMALL LETTER Z	43	26	0
ã	U+00E3	LATIN SMALL LETTER A WITH TILDE	10	10	0
æ	U+00E6	LATIN SMALL LETTER AE	7	7	0
ŋ	U+014B	LATIN SMALL LETTER ENG	235	159	0
ɔ	U+0254	LATIN SMALL LETTER OPEN O	138	102	0
ɖ	U+0256	LATIN SMALL LETTER D WITH TAIL	1263	823	0
ə	U+0259	LATIN SMALL LETTER SCHWA	298	257	0
ɛ	U+025B	LATIN SMALL LETTER OPEN E	8	5	0
ɣ	U+0263	LATIN SMALL LETTER GAMMA	17	17	0
ɨ	U+0268	LATIN SMALL LETTER I WITH STROKE	667	563	0
ɪ	U+026A	LATIN LETTER SMALL CAPITAL I	718	344	0
ɭ	U+026D	LATIN SMALL LETTER L WITH RETROFLEX HOOK	463	324	0
ɲ	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK	16	12	0
ɳ	U+0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	371	243	0
ɻ	U+027B	LATIN SMALL LETTER TURNED R WITH HOOK	21	2	0
ɽ	U+027D	LATIN SMALL LETTER R WITH TAIL	7	5	0
ɾ	U+027E	LATIN SMALL LETTER R WITH FISHHOOK	2	2	0
ʂ	U+0282	LATIN SMALL LETTER S WITH HOOK	31	17	0
ʃ	U+0283	LATIN SMALL LETTER ESH	180	122	0
ʈ	U+0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK	877	555	0
ʌ	U+028C	LATIN SMALL LETTER TURNED V	2036	1142	0
ʒ	U+0292	LATIN SMALL LETTER EZH	95	81	0
ʰ	U+02B0	MODIFIER LETTER SMALL H	6	6	0
̪	U+032A	COMBINING BRIDGE BELOW	30	18	220
β	U+03B2	GREEK SMALL LETTER BETA	8	8	0
ṇ	U+1E47	LATIN SMALL LETTER N WITH DOT BELOW	7	4	0
ṭ	U+1E6D	LATIN SMALL LETTER T WITH DOT BELOW	32	32	0
