List_Key	Source_Label	Language_ID	Dialect_ID	Scope	Report_Classification	PDF_First	PDF_Last	Column	Location
tamil_madras	Standard Tamil, Madras	Tamil	sil-kurumba-1985-tamil-madras	control	Standard Tamil comparison	217	238	left	Madras variety; elicited 25 January 1985
kannada_bangalore	Standard Kannada, Bangalore	Kannada	sil-kurumba-1985-kannada-bangalore	control	Standard Kannada comparison	217	238	right	Bangalore variety; elicited 22 February 1985
belavarthy	SNSK, Belavarthy Kurumba	Kannada	sil-kurumba-1984-belavarthy	target	Southern Nonstandard Kannada	239	260	left	Belavarthy; Krishnagiri taluk; Dharmapuri district; Tamil Nadu
pudukkottai	SNSK, Pudukkottai Kurumba	Kannada	sil-kurumba-1976-pudukkottai	target	Southern Nonstandard Kannada	239	260	right	Pudukkottai district; Tamil Nadu; list dated 1976-1977
kotagiri_alu	ANSK, Kotagiri Alu Kurumba	AluKurumba	sil-kurumba-1985-kotagiri-alu	target	Alu Kurumba Nonstandard Kannada	261	282	left	Banigudisole village; Kotagiri taluk; Nilgiris district; Tamil Nadu
badaga_arvenu	Badaga, Arvenu/Kotagiri	Badaga	sil-kurumba-1985-badaga-arvenu	control	Badaga comparison	261	282	right	Arvenu; Kotagiri taluk; Nilgiris district; Tamil Nadu
kolar_kuruba	SNSK, Kolar Kurubas	Kannada	sil-kurumba-1985-kolar	target	Southern Nonstandard Kannada	283	304	left	Basavanatha village; Kolar district; Karnataka
chitradurga_kuruba	NSK, Chitradurga Kurubas	Kannada	sil-kurumba-1985-chitradurga	target	Nonstandard Kannada (CNSK in report analysis)	283	304	right	Malappanahatti village; Chitradurga district; Karnataka
buringi	SNSK, Buringi Kurumba	Kannada	sil-kurumba-1984-buringi	target	Southern Nonstandard Kannada	305	326	left	Buringi village; Tiruppattur taluk; North Arcot district; Tamil Nadu
madapalli	SNSK, Madapalli Kurumba	Kannada	sil-kurumba-1984-madapalli	target	Southern Nonstandard Kannada	305	326	right	Madapalli village; Tiruppattur taluk; North Arcot district; Tamil Nadu
kurumbatheru	SNSK, Kurumbatheru Kannada	Kannada	sil-kurumba-1984-kurumbatheru	target	Southern Nonstandard Kannada	327	348	left	Kurumbatheru hamlet; Kandikuppam village; Krishnagiri taluk; Dharmapuri district; Tamil Nadu
thangiyadikuppam	SNSK, Thangiyadikuppam Kurumba	Kannada	sil-kurumba-1984-thangiyadikuppam	target	Southern Nonstandard Kannada	327	348	right	Thangiyadikuppam village; Kuppam taluk; Chittoor district; Andhra Pradesh
beerajjanur	SNSK, Beerajjanur Kurumba	Kannada	sil-kurumba-1985-beerajjanur	target	Southern Nonstandard Kannada	349	370	left	Beerajjanur village; Krishnagiri taluk; Dharmapuri district; Tamil Nadu
karmadai_kurumba	SNSK, Karmadai Kurumba	Kannada	sil-kurumba-1985-karmadai-kurumba	target	Southern Nonstandard Kannada	349	370	right	Karamadai; Mettupalayam taluk; Coimbatore district; Tamil Nadu
karmadai_vakkaliga	SNSK, Karmadai Vakkaliga	Kannada	sil-kurumba-1985-karmadai-vakkaliga	control	Vakkaliga comparison	371	392	left	Karmadai; Mettupalayam taluk; Coimbatore district; Tamil Nadu
kurumbapalayam	SNSK, Kurumbapalayam Kurumba	Kannada	sil-kurumba-1985-kurumbapalayam	target	Southern Nonstandard Kannada	371	392	right	Kurumbapalayam village; Coimbatore district; Tamil Nadu
kalangal	SNSK, Kalangal Kurumba	Kannada	sil-kurumba-1985-kalangal	target	Southern Nonstandard Kannada	393	414	left	Kalangal village; Palladam taluk; Coimbatore district; Tamil Nadu
masinagudi_jennu	JNSK, Masinagudi Jennu Kurumba	Kannada	sil-kurumba-1985-masinagudi-jennu	target	Jennu Nonstandard Kannada	393	414	right	Masinagudi village; Gudalur taluk; Nilgiris district; Tamil Nadu
maddur_betta	NST, Maddur Colony Betta Kurumba	BettaKurumba	sil-kurumba-1985-maddur-betta	target	Nonstandard Tamil (report classification)	415	436	left	Maddur Colony; Gundlupet taluk; Mysore district; Karnataka
