PDF_Page	Printed_Page	Items_First	Items_Last	Left_List	Right_List	Conceptual_Cells	Review_Status	Attested	Blank	Ambiguous	Illegible	Notes
217	212	1	25	tamil_madras	kannada_bangalore	50	complete	50	0	0	0	All 50 Tamil/Kannada cells and all 25 prompts manually read from 600 dpi render; OCR ignored; visible source colon and raised apostrophe retained literally; PDF 217 OCR locator fit was misaligned and was not used as transcription evidence
218	213	26	50	tamil_madras	kannada_bangalore	50	complete	42	8	0	0	All 50 Tamil/Kannada cells and all 25 prompts manually read from 450/600 dpi renders; OCR ignored; eight printed dash placeholders confirmed blank (Tamil 42,49; Kannada 34,35,37,42,44,50)
219	214	51	75	tamil_madras	kannada_bangalore	50	complete	47	3	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; three printed-dash blanks confirmed
220	215	76	100	tamil_madras	kannada_bangalore	50	complete	46	4	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; four printed-dash blanks confirmed
221	216	101	125	tamil_madras	kannada_bangalore	50	complete	39	11	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; eleven printed-dash blanks confirmed
222	217	126	150	tamil_madras	kannada_bangalore	50	complete	43	7	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; seven printed-dash blanks confirmed
223	218	151	175	tamil_madras	kannada_bangalore	50	complete	45	5	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; irregular source geometry verified against full-page and enlarged crops; OCR/PDF text was locator-only and supplied no lexical reading; five printed-dash blanks confirmed
224	219	176	200	tamil_madras	kannada_bangalore	50	complete	31	19	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; nineteen printed-dash blanks confirmed
225	220	201	225	tamil_madras	kannada_bangalore	50	complete	34	16	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; sixteen printed-dash blanks confirmed
226	221	226	250	tamil_madras	kannada_bangalore	50	complete	39	11	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; eleven printed-dash blanks confirmed
227	222	251	275	tamil_madras	kannada_bangalore	50	complete	39	11	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; eleven printed-dash blanks confirmed
228	223	276	300	tamil_madras	kannada_bangalore	50	complete	33	17	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; seventeen printed-dash blanks confirmed
229	224	301	325	tamil_madras	kannada_bangalore	50	complete	50	0	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900/1200 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; all cells attested
230	225	326	350	tamil_madras	kannada_bangalore	50	complete	40	10	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900/1200 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; ten printed-dash blanks confirmed
231	226	351	375	tamil_madras	kannada_bangalore	50	complete	41	9	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; nine printed-dash blanks confirmed
232	227	376	400	tamil_madras	kannada_bangalore	50	complete	50	0	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; all cells attested
233	228	401	425	tamil_madras	kannada_bangalore	50	complete	46	4	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; four printed-dash blanks confirmed
234	229	426	450	tamil_madras	kannada_bangalore	50	complete	49	1	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; one printed-dash blank confirmed
235	230	451	475	tamil_madras	kannada_bangalore	50	complete	48	2	0	0	All 50 Tamil/Kannada cells manually read and rechecked from 450/900 dpi renders; OCR/PDF text was locator-only and supplied no lexical reading; two printed-dash blanks confirmed
