entry_key	item	site_code	manual_variant_rank	role	source_variety	language_id	dialect_id	status	form	visible_base	gloss	group	physical_page	printed_page	evidence_sha256	manual_note	disposition	reason
silkochbd2011:i001:b:1	1	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	sagu		sky	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i001:c:1	1	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	ʃagu		sky	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i001:q:1	1	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	dɪn		sky	4	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i001:r:1	1	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	dɪn		sky	4	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i001:l:1	1	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	raŋra		sky	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i001:m:1	1	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	raŋra		sky	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i001:0:1	1	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	akaʃ		sky	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i002:b:1	2	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	rasan		sun	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i002:c:1	2	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	rasan		sun	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i002:q:1	2	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	raʃan		sun	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i002:r:1	2	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	rasan		sun	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i002:l:1	2	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	raŋʃaŋ		sun	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i002:m:1	2	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	raŋʃan		sun	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i002:0:1	2	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	ʃudʒo		sun	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i003:b:1	3	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	raŋrɛ		moon	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i003:c:1	3	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	ambiguous		raŋgrɛk	moon	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4	A small upper-right corner-like modifier follows final k; its value is not inferred.	excluded_ambiguous	visible base retained but an unresolved modifier is not inferred
silkochbd2011:i003:q:1	3	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	naŋrɛk		moon	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i003:r:1	3	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	raŋrɛ		moon	1	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i003:l:1	3	l	1	control	A’tong	Garo	kochbd2011-l-bharatpur	attested	tʃaŋ ai̯		moon	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i003:m:1	3	m	1	control	A’tong	Garo	kochbd2011-m-nalchapra	attested	tʃaŋ ɨi̯		moon	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i003:0:1	3	0	1	control	Standard Bangla	B	kochbd2011-0-bangla	attested	tʃãd		moon	3	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		excluded_control	A’tong or standard Bangla comparison form retained audit-only
silkochbd2011:i004:b:1	4	b	1	target	Tintekiya Koch	Koch	kochbd2011-b-nokshi	attested	tara		star	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i004:c:1	4	c	1	target	Tintekiya Koch	Koch	kochbd2011-c-kholchanda	attested	tara		star	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i004:q:1	4	q	1	target	Chapra Koch	Koch	kochbd2011-q-uttor-nokshi	attested	tara		star	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
silkochbd2011:i004:r:1	4	r	1	target	Tintekiya Koch	Koch	kochbd2011-r-chandabhoi	attested	tara		star	2	43	42	88d00344a48875188a993df51cecd9eb2731c3af331eee9ec54a08486ee8c3f4		staged_target	resolved Koch target-site attestation
