legacy_row	item	site_code	manual_entry_key	manual_variant_rank	manual_physical_page	manual_printed_page	manual_gloss	manual_group	manual_status	manual_form	manual_visible_base	manual_note	legacy_pdf_page	legacy_group	legacy_status	legacy_raw_form	legacy_entry_key	legacy_reason	legacy_rows_for_manual	legacy_alias_retired	gloss_match	group_match	comparison
1	1	c	silkochbd2011:i001:c:1	1	43	42	sky	1	attested	ʃagu			42	1	unresolved	au		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
2	1	b	silkochbd2011:i001:b:1	1	43	42	sky	1	attested	sagu			42	1	unresolved	sau		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
3	1	l	silkochbd2011:i001:l:1	1	43	42	sky	2	attested	raŋra			42	2	unresolved	raa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
4	1	m	silkochbd2011:i001:m:1	1	43	42	sky	2	attested	raŋra			42	2	unresolved	raa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
5	1	0	silkochbd2011:i001:0:1	1	43	42	sky	3	attested	akaʃ			42	3	unresolved	aka		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
6	1	q	silkochbd2011:i001:q:1	1	43	42	sky	4	attested	dɪn			42	4	unresolved	dn		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
7	1	r	silkochbd2011:i001:r:1	1	43	42	sky	4	attested	dɪn			42	4	unresolved	dn		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
8	2	m	silkochbd2011:i002:m:1	1	43	42	sun	1	attested	raŋʃan			42	1	unresolved	raan		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
9	2	l	silkochbd2011:i002:l:1	1	43	42	sun	1	attested	raŋʃaŋ			42	1	unresolved	rana		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
10	2	q	silkochbd2011:i002:q:1	1	43	42	sun	1	attested	raʃan			42	1	unresolved	raan		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
11	2	b	silkochbd2011:i002:b:1	1	43	42	sun	1	attested	rasan			42	1	attested	rasan	silkochbd2011:i002:b:1		1	false	true	true	form_exact
12	2	c	silkochbd2011:i002:c:1	1	43	42	sun	1	attested	rasan			42	1	attested	rasan	silkochbd2011:i002:c:1		1	false	true	true	form_exact
13	2	r	silkochbd2011:i002:r:1	1	43	42	sun	1	attested	rasan			42	1	attested	rasan	silkochbd2011:i002:r:1		1	false	true	true	form_exact
14	2	0	silkochbd2011:i002:0:1	1	43	42	sun	2	attested	ʃudʒo			42	2	unresolved	udo		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
15	3	q	silkochbd2011:i003:q:1	1	43	42	moon	1	attested	naŋrɛk			42	1	unresolved	nak		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
16	3	c	silkochbd2011:i003:c:1	1	43	42	moon	1	ambiguous		raŋgrɛk	A small upper-right corner-like modifier follows final k; its value is not inferred.	42	1	unresolved	rak		contains a glyph with no verified reading	1	false	true	true	manual_ambiguous_legacy_unresolved
17	3	b	silkochbd2011:i003:b:1	1	43	42	moon	1	attested	raŋrɛ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
18	3	r	silkochbd2011:i003:r:1	1	43	42	moon	1	attested	raŋrɛ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
19	3	m	silkochbd2011:i003:m:1	1	43	42	moon	2	attested	tʃaŋ ɨi̯			42	2	unresolved	a i 		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
20	3	l	silkochbd2011:i003:l:1	1	43	42	moon	2	attested	tʃaŋ ai̯			42	2	unresolved	a ai 		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
21	3	0	silkochbd2011:i003:0:1	1	43	42	moon	3	attested	tʃãd			42	3	unresolved	ad		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
22	4	l	silkochbd2011:i004:l:1	1	43	42	star	1	attested	askuɨ̯			42	1	unresolved	askui		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
23	4	m	silkochbd2011:i004:m:1	1	43	42	star	1	attested	askuɨ̯			42	1	unresolved	askui		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
24	4	0	silkochbd2011:i004:0:1	1	43	42	star	2	attested	tara			42	2	unresolved	taa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
25	4	b	silkochbd2011:i004:b:1	1	43	42	star	2	attested	tara			42	2	unresolved	taa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
26	4	c	silkochbd2011:i004:c:1	1	43	42	star	2	attested	tara			42	2	unresolved	taa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
27	4	q	silkochbd2011:i004:q:1	1	43	42	star	2	attested	tara			42	2	unresolved	taa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
28	4	r	silkochbd2011:i004:r:1	1	43	42	star	2	attested	tara			42	2	unresolved	taa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
29	5	m	silkochbd2011:i005:m:1	1	43	42	cloud	1	attested	gadʒɨla			42	1	unresolved	ala		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
30	5	l	silkochbd2011:i005:l:1	1	43	42	cloud	1	attested	gadɨla			42	1	unresolved	adla		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
31	5	b	silkochbd2011:i005:b:1	1	43	42	cloud	1	attested	gadla			42	1	unresolved	adla		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
32	5	c	silkochbd2011:i005:c:1	1	43	42	cloud	1	attested	gadla			42	1	unresolved	adla		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
33	5	r	silkochbd2011:i005:r:1	1	43	42	cloud	1	attested	gadla			42	1	unresolved	adla		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
34	5	0	silkochbd2011:i005:0:1	1	43	42	cloud	2	attested	mɛgʰ			42	2	unresolved	h m		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
35	5	q	silkochbd2011:i005:q:1	1	43	42	cloud	3	attested	ap			42	3	attested	ap	silkochbd2011:i005:q:1		1	false	true	true	form_exact
36	6	b	silkochbd2011:i006:b:1	1	43	42	rain	1	attested	raŋ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
37	6	c	silkochbd2011:i006:c:1	1	43	42	rain	1	attested	raŋ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
38	6	l	silkochbd2011:i006:l:1	1	43	42	rain	1	attested	raŋ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
39	6	m	silkochbd2011:i006:m:1	1	43	42	rain	1	attested	raŋ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
40	6	q	silkochbd2011:i006:q:1	1	43	42	rain	1	attested	raŋ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
41	6	r	silkochbd2011:i006:r:1	1	43	42	rain	1	attested	raŋ			42	1	unresolved	ra		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
42	6	0	silkochbd2011:i006:0:1	1	43	42	rain	2	attested	brɪʃtɪ			42	2	unresolved	bri		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
43	7	l	silkochbd2011:i007:l:1	1	43	42	rainbow	0	blank			Printed “no entry”.	42	0	blank			printed gap: the item was not elicited at this site	1	false	true	true	blank_match
44	7	m	silkochbd2011:i007:m:1	1	43	42	rainbow	1	attested	tʃɛŋroŋ			42	1	unresolved	ro		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
45	7	b	silkochbd2011:i007:b:1	1	43	42	rainbow	2	ambiguous		ramdʰonuk	A small upper-right corner-like modifier follows final k; its value is not inferred.	42	2	unresolved	h ramd onuk		contains a glyph with no verified reading	1	false	true	true	manual_ambiguous_legacy_unresolved
46	7	c	silkochbd2011:i007:c:1	1	43	42	rainbow	2	ambiguous		ramdʰonuk	A small upper-right corner-like modifier follows final k; its value is not inferred.	42	2	unresolved	h ramd onuk		contains a glyph with no verified reading	1	false	true	true	manual_ambiguous_legacy_unresolved
47	7	0	silkochbd2011:i007:0:1	1	43	42	rainbow	2	attested	rɔŋdʰonu			42	2	unresolved	h rd nu		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
48	7	q	silkochbd2011:i007:q:1	1	43	42	rainbow	2	attested	rɔŋdʰonu			42	2	unresolved	h rd nu		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
49	7	r	silkochbd2011:i007:r:1	1	43	42	rainbow	2	attested	rɔŋdʰonu			42	2	unresolved	h rd nu		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
50	8	l	silkochbd2011:i008:l:1	1	43	42	wind	1	attested	baluə̯			42	1	unresolved	balua		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
51	8	m	silkochbd2011:i008:m:1	1	43	42	wind	1	attested	baluə̯			42	1	unresolved	balua		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
52	8	b	silkochbd2011:i008:b:1	1	43	42	wind	2	attested	lampar			42	2	attested	lampar	silkochbd2011:i008:b:1		1	false	true	true	form_exact
53	8	c	silkochbd2011:i008:c:1	1	43	42	wind	2	attested	lampar			42	2	attested	lampar	silkochbd2011:i008:c:1		1	false	true	true	form_exact
54	8	r	silkochbd2011:i008:r:1	1	43	42	wind	2	attested	lampar			42	2	attested	lampar	silkochbd2011:i008:r:1		1	false	true	true	form_exact
55	8	q	silkochbd2011:i008:q:1	1	43	42	wind	2	attested	nampar			42	2	attested	nampar	silkochbd2011:i008:q:1		1	false	true	true	form_exact
56	8	0	silkochbd2011:i008:0:1	1	43	42	wind	3	attested	bataʃ			42	3	unresolved	bata		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
57	9	c	silkochbd2011:i009:c:1	1	43	42	lightning	1	attested	raŋtʃi lo̯uni			42	1	unresolved	rai loun i		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
58	9	b	silkochbd2011:i009:b:1	1	43	42	lightning	1	attested	raŋtʃim la̯uni			42	1	unresolved	raim laun i		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
59	9	l	silkochbd2011:i009:l:1	1	43	42	lightning	2	attested	raŋ dɪlɪppa			42	2	unresolved	ra dilppa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
60	9	m	silkochbd2011:i009:m:1	1	43	42	lightning	2	attested	raŋ dɪlɪppa			42	2	unresolved	ra dilppa		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
61	9	0	silkochbd2011:i009:0:1	1	43	42	lightning	3	attested	bɪddut tʃɔmkano			42	3	unresolved	bddut mkano		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
62	9	q	silkochbd2011:i009:q:1	1	43	42	lightning	4	attested	tʃilkai̯to			42	4	unresolved	ilkait o		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
63	9	r	silkochbd2011:i009:r:1	1	43	42	lightning	5	attested	raŋkarni			42	5	unresolved	rakarni		contains a glyph with no verified reading	1	false	true	true	manual_recovered_legacy_unresolved
