Grapheme	IPA
t͡ʃ	c
d͡ʒ	j
t͡ɕ	c
d͡ʑ	j
t͡s	ʦ
d͡z	ʣ
aː	ā
ʌː	ā
ɑː	ā
ɐː	ā
iː	ī
ɪː	ī
uː	ū
ʊː	ū
eː	ē
ɛː	ē
oː	ō
ɔː	ō
əː	ə̄
ɨː	ɨ̄
ɯː	ū
æː	ǣ
ɤː	ɤ
tʃ	c
dʒ	j
ũː	ũ̄
ãː	ā̃
ĩː	ī̃
õː	ō̃
t́	t́
a	a
ʌ	a
ɐ	a
ɑ	ā
ə	ə
i	i
ɪ	i
u	u
ʊ	u
e	e
ɛ	e
o	o
ɔ	o
ɨ	ɨ
ɯ	u
ɤ	ɤ
æ	æ
ã	ã
ẽ	ẽ
ĩ	ĩ
ũ	ũ
p	p
b	b
t	t
d	d
k	k
g	g
m	m
n	n
ŋ	ŋ
ɳ	ṇ
ɲ	ñ
ñ	ñ
l	l
ɭ	ḷ
r	r
ɾ	r
ɻ	ṛ
ʈ	ṭ
ɖ	ḍ
s	s
ʃ	ś
ɕ	ś
ʂ	ṣ
ʒ	ž
h	h
v	v
ʋ	v
w	v
j	y
f	f
ɸ	ɸ
̪	
̻	
̃	̃
ʰ	ʰ
.	.
,	,
 	#
ː	ː
ɡ	g
ʔ	ʔ
q	q
z	z
c	c
̚	̚
́	́
̆	̆
ʲ	ʲ
ú	ú
é	é
ó	ó
í	í
á	á
ḱ	ḱ
ḿ	ḿ
ṕ	ṕ
ń	ń
ĺ	ĺ
ś	ś
ǵ	ǵ
͡	
̯	̯
(	(
)	)
/	/
ɽ	ṛ
β	β
ʉ	ʉ
ɹ	r
õ	õ
ɜ	ɜ
0	0
x	x
-	-
'	ʼ
#	#
+	+
