character	codepoint	unicode_name	all_attested_count	staged_target_count	combining_class
 	U+0020	SPACE	112	47	0
(	U+0028	LEFT PARENTHESIS	23	6	0
)	U+0029	RIGHT PARENTHESIS	23	6	0
.	U+002E	FULL STOP	11	7	0
/	U+002F	SOLIDUS	10	3	0
a	U+0061	LATIN SMALL LETTER A	1633	913	0
b	U+0062	LATIN SMALL LETTER B	260	139	0
d	U+0064	LATIN SMALL LETTER D	343	193	0
e	U+0065	LATIN SMALL LETTER E	23	9	0
f	U+0066	LATIN SMALL LETTER F	3	1	0
g	U+0067	LATIN SMALL LETTER G	149	67	0
h	U+0068	LATIN SMALL LETTER H	96	64	0
i	U+0069	LATIN SMALL LETTER I	742	429	0
j	U+006A	LATIN SMALL LETTER J	22	16	0
k	U+006B	LATIN SMALL LETTER K	457	256	0
l	U+006C	LATIN SMALL LETTER L	280	150	0
m	U+006D	LATIN SMALL LETTER M	365	193	0
n	U+006E	LATIN SMALL LETTER N	478	292	0
o	U+006F	LATIN SMALL LETTER O	418	225	0
p	U+0070	LATIN SMALL LETTER P	231	129	0
r	U+0072	LATIN SMALL LETTER R	475	282	0
s	U+0073	LATIN SMALL LETTER S	80	45	0
t	U+0074	LATIN SMALL LETTER T	548	319	0
u	U+0075	LATIN SMALL LETTER U	502	320	0
w	U+0077	LATIN SMALL LETTER W	72	26	0
ã	U+00E3	LATIN SMALL LETTER A WITH TILDE	6	0	0
æ	U+00E6	LATIN SMALL LETTER AE	7	5	0
õ	U+00F5	LATIN SMALL LETTER O WITH TILDE	1	0	0
ŋ	U+014B	LATIN SMALL LETTER ENG	305	172	0
ɔ	U+0254	LATIN SMALL LETTER OPEN O	83	33	0
ɖ	U+0256	LATIN SMALL LETTER D WITH TAIL	3	1	0
ə	U+0259	LATIN SMALL LETTER SCHWA	4	2	0
ɛ	U+025B	LATIN SMALL LETTER OPEN E	209	123	0
ɨ	U+0268	LATIN SMALL LETTER I WITH STROKE	69	6	0
ɪ	U+026A	LATIN LETTER SMALL CAPITAL I	9	2	0
ɽ	U+027D	LATIN SMALL LETTER R WITH TAIL	7	3	0
ɾ	U+027E	LATIN SMALL LETTER R WITH FISHHOOK	2	0	0
ʃ	U+0283	LATIN SMALL LETTER ESH	448	251	0
ʈ	U+0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK	17	4	0
ʌ	U+028C	LATIN SMALL LETTER TURNED V	14	14	0
ʒ	U+0292	LATIN SMALL LETTER EZH	100	53	0
ʔ	U+0294	LATIN LETTER GLOTTAL STOP	38	16	0
ʰ	U+02B0	MODIFIER LETTER SMALL H	344	166	0
̯	U+032F	COMBINING INVERTED BREVE BELOW	304	179	220
