292     aṉal                 Tamil      
d114    aṇal                 Tamil      neck, side of the upper jaw, chin, throat, windpipe, beard, dewlap
d114    aṇal                 Malayalam  jaw, hinder part of mouth
d114    aṇali                Malayalam  viper
d114    aṇal                 Kannada    under part of the mouth, the mouth. DED(S, N) 97
d276    aṇal                 Tamil: Kollimalai warmth
d327    aṉal                 Tamil      fire, heat (as of fever), warmth, glow, thunderbolt; (aṉalv-, aṉaṉṟ-) to burn, glow, blaze, be hot, cause heat (as the sun, fire, fever)
d327    aṉali                Tamil      fire, sun
d2315   aṇal                 Kannada    

d119    aḷale                Kannada    a large tree furnishing Indian myrobalans or ink nuts, <i>
d202    aḷali                Kannada    id
d247    alal                 Kannada    a flower
d2315   aḷale                Kannada    

d202    araḷi                Kannada    id
d202    araḷe                Kannada    id
d202    araḷi-mara           Kodagu     id
d207    aralu                Telugu     (K.)
d209    aralai               Tamil      stone broken for roads
d210    araḷi                Tamil      oleander
d210    aralai               Tamil      oleander
d210    araḷi                Malayalam  DED 173
d211    araḷe                Kannada    post, pillar, statue
d222    araluk waiānā        Gondi: Betul to follow persistently, closely (<i>Voc.</i> 75)
d247    aral                 Kannada    to spread, become distended, open, blossom
d247    araḷ                 Kannada    to spread, become distended, open, blossom
d247    aral                 Kannada    a flower
d247    araḷ                 Kannada    a flower
d247    aral-uṇi             Kannada    the large black humble bee
d247    araluni              Tulu       to open, expand, bloom, blossom
d247    araḷuni              Tulu       to open, expand, bloom, blossom
d247    aral-uṇi             Tulu       the black bee
d3605   araḷ (araḷv-, araṇṭ-) Tamil      to terrify, frighten; <i>n.</i> fear
d3605   araḷuka              Malayalam  to shrink
d3605   araḷ                 Kannada    bewilderment, terror, fear
d3605   araḷa                Kannada    bewilderment, terror, fear
d3605   aralu                Kannada    bewilderment, terror, fear
d3959   aralai               Tamil      

d209    arl                  Toda       jackstraws, pebbles used for counters
d214    arl                  Kota       fever (or with 276 Ta.ar̤al)
d227    arḷ                  Kota       voice of god spoken through diviner
d276    arl                  Kota       fever (or with 214 Ta.ari)

d210    alari                Tamil      oleander
d210    alari Nerium odorum; Plumeria acuminata Malayalam  DED 173
d218    alari id             Tamil      
d245    alar                 Tamil      idle talk, gossip
d245    alarcca              Malayalam  roaring, etc
d247    alar (-v-, -nt-)     Tamil      to blossom, open up, spread (as rays of the sun, water), increase in size, manifest itself; <i>n.</i> full-blown flower
d247    alartti              Tamil      process of blooming
d247    alarttu (alartti-)   Tamil      to cause to blossom
d247    alari                Tamil      flower
d247    alar                 Malayalam  a blossom, opening flower
d247    alari                Malayalam  a flower
d247    alaruka              Malayalam  to open (as flowers), be hot and dry
d247    alarcca              Malayalam  heat, lust
d247    alar                 Kannada    to spread, become distended, open, blossom
d247    alar                 Kannada    a flower
d247    alarike              Kannada    blossoming
d247    alarisu              Kannada    to cause to spread, blossom, etc
d247    alarcu               Kannada    to cause to spread, blossom, etc
d247    alar-uṇi             Kannada    the large black humble bee
d247    alaruni              Tulu       to open, expand, bloom, blossom
d247    alaru                Telugu     to open as a flower, expand, shine, glitter, rejoice; <i>n.</i> a flower, blossom, (K. also) splendour, joy; splendid
d247    alarcu               Telugu     to blossom. ?
d247    alari                Tamil      
d248    alari                Tamil      beauty
d248    alarāru              Telugu     to shine, glitter; suit well, be proper, fit; rejoice, be pleased
d248    alarincu             Telugu     to please, gratify. ?
d248    alar                 Tamil      DED(S) 210
d299    aḷar                 Tamil      saltishness, brackishness
d306    aḷarkka              Malayalam  to lament, cry
d306    aḷarcca              Malayalam  bellowing
d306    aḷarpu               Kannada    fear, anguish

d227    aruḷ (aruḷi-)        Tamil      to be gracious to, favour, speak graciously, command, grant, bestow; <i>n.</i> grace, mercy, favour, benevolence, good deeds, order, command
d227    aruḷal               Tamil      liberality, generosity, munificence
d227    aruḷōṉ               Tamil      gracious person
d227    aruḷ                 Malayalam  grace, favour, deigning, command
d227    aruḷuka              Malayalam  to deign, vouchsafe, grant, command
d227    arulu                Telugu     tenderness, affection, fondness
d381    aruḷ                 Tamil      DED(S, N) 323
d3605   aruḷ (aruḷv-         Tamil      to terrify, frighten; <i>n.</i> fear
d3605   aruḷu                Kannada    bewilderment, terror, fear
d3605   arulu                Kannada    bewilderment, terror, fear
d4723   aruḷumaruḷu          Tulu       foolish, simple, childish
d4723   arulumarulu          Telugu     dotage, the childishness of old age

d474    iraḷ                 Naikri     two women
d474    iral                 Parji      two women
d474    iral                 Gadaba     two women
d476    iralai               Tamil      stag; kind of deer
d477    iraḷi                Tamil      cassia
d2552   iraḷu                Kannada    night

d474    irul                 Parji      two men
d474    irul                 Gadaba     two men
d482    iruḷ                 Tamil      ironwood of Ceylon, <i>
d482    iruḷ                 Malayalam  id. <i>
d482    iruḷ                 Kannada    id. <i>
d2552   iruḷ                 Tamil      darkness, dark colour, ignorance; (iruḷv-, iruṇṭ-) to become dark, dim, obscure, be black in colour, be darkened (as the mind)
d2552   iruḷaṉ               Tamil      Irula (member of a tribe in the Nilgiris)
d2552   iruḷ                 Malayalam  darkness
d2552   iruḷka               Malayalam  to grow dark
d2552   iruḷar               Malayalam  a caste of jungle dwellers
d2552   iruḷ                 Kannada    night
d2552   irulu                Telugu     darkness, shades, shadows
d2552   irulu konu           Telugu     to become dark or obscure

d476    eraḷe                Kannada    antelope, deer, incl., for example, the black and spotted antelope
d476    erale                Kannada    antelope, deer, incl., for example, the black and spotted antelope
d476    eraḷe                Tulu       antelope, deer. <i>
d810    eral                 Kannada    wind, air
d810    eraḷ                 Kannada    wind, air

d649    uraṉ                 Tamil      strength of will, support
d649    uraṉar               Tamil      persons of strong will
