Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
136	hot	NCH	Noiri-Chillare	62	56	right	uŋɔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	NPN	Noiri-Pannali	62	56	right	unɔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	NAS	Noiri-Astambha	62	56	right	uɳɔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	NGO	Noiri-Gomon	62	56	right	uŋo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	BMU	Barutiya-Mutalwad	62	56	right	uɳo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	DBM	Dungra Bhili-Mathwad	62	56	right	uŋo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	DBA	Dungra Bhili-Ambadungar	62	56	right	unnɔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	NTO	Nahali-Toranmal	62	56	right	t̪at̪alo	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	KNA	Kotli-Narayanpur	62	56	right	una	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	KTA	Kotli-Taradi	62	56	right	gʌrʌm	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	GTA	Gujari-Taradi	62	56	right	gʌrʌm	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	GUJ	Gujarati	62	56	right	gərʌm	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	MAR	Marati	62	56	right	uʂɳʌ | gʌrʌm	1 | 2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	HIN	Hindi	62	56	right	gʌrəm	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	NTE	Nahali-Tembhi	62	56	right	tʃat̪a	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	TKO	Tukaithad-Korku	62	56	right	tʃʌt̪a	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
136	hot	NJA	Nihali-Jamod	62	56	right	tʃasko	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	NCH	Noiri-Chillare	62	56	right	helɔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	NPN	Noiri-Pannali	62	56	right	helo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	NAS	Noiri-Astambha	62	56	right	helo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	NGO	Noiri-Gomon	62	56	right	helo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	BMU	Barutiya-Mutalwad	62	56	right	helo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	DBM	Dungra Bhili-Mathwad	62	56	right	helo | helʌino	1 | 1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	DBA	Dungra Bhili-Ambadungar	62	56	right	hellɔ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	NTO	Nahali-Toranmal	62	56	right	heɭo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	KNA	Kotli-Narayanpur	62	56	right	t̪haɳɖa	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	KTA	Kotli-Taradi	62	56	right	t̪ʌɳɖo	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	GTA	Gujari-Taradi	62	56	right	t̪haɳɖu	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	GUJ	Gujarati	62	56	right	t̪həɳɖũ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	MAR	Marati	62	56	right	t̪haɳɖʌ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	HIN	Hindi	62	56	right	t̪həɳɖa	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	NTE	Nahali-Tembhi	62	56	right	ɾʌbʌɳ	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	TKO	Tukaithad-Korku	62	56	right	ɾʌbʌn	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
137	cold	NJA	Nihali-Jamod	62	56	right	rʌban	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	NCH	Noiri-Chillare	62	56	right	huɖu	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	NPN	Noiri-Pannali	62	56	right	hʊɖu	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	NAS	Noiri-Astambha	62	56	right	hoɖu	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	NGO	Noiri-Gomon	62	56	right	dzemʌɳija	8	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	BMU	Barutiya-Mutalwad	62	56	right	huɖu | hadzʌlu	2 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	DBM	Dungra Bhili-Mathwad	62	56	right	dʒeuɖo | huɖu	1 | 2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	DBA	Dungra Bhili-Ambadungar	62	56	right	hadzʌrijɔ	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	NTO	Nahali-Toranmal	63	57	left	dʒeoɖo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	KNA	Kotli-Narayanpur	63	57	left	siɖo	7	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	KTA	Kotli-Taradi	63	57	left	suɖo	7	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	GTA	Gujari-Taradi	63	57	left	dʒʌmno	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	GUJ	Gujarati	63	57	left	dʒəməɳo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	MAR	Marati	63	57	left	udzwə	6	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	HIN	Hindi	63	57	left	ɖʌhna | ɖaja	4 | 5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	NTE	Nahali-Tembhi	63	57	left	dʒʌunat	9	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	TKO	Tukaithad-Korku	63	57	left	dʒewna	9	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
138	right	NJA	Nihali-Jamod	63	57	left	dʒouna	9	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	NCH	Noiri-Chillare	63	57	left	bʌŋgadja	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	NPN	Noiri-Pannali	63	57	left	ɖʌkrija | bʌŋgadija	1 | 2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	NAS	Noiri-Astambha	63	57	left	bʌŋgaɖi	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	NGO	Noiri-Gomon	63	57	left	bʌŋgaɖija	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	BMU	Barutiya-Mutalwad	63	57	left	bʌŋgaɖi	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	DBM	Dungra Bhili-Mathwad	63	57	left	dakʌrijo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	DBA	Dungra Bhili-Ambadungar	63	57	left	hʌŋgʌrijɔ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	NTO	Nahali-Toranmal	63	57	left	ɖakhrio	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	KNA	Kotli-Narayanpur	63	57	left	uɭʈo	6	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	KTA	Kotli-Taradi	63	57	left	uɭʈa	6	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	GTA	Gujari-Taradi	63	57	left	ɖao | ɖao	3 | 5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	GUJ	Gujarati	63	57	left	ɖãbũ	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	MAR	Marati	63	57	left	ɖawa	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
139	left	HIN	Hindi	63	57	left	bãja	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
