Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	Printed_Page	Response	Review
1	sky	1	phli ja	phli jaŋ	ABCDEIJ	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
1	sky	2	bn	bnɨŋ	H	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
1	sky	2	bni	bniŋ	G	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
1	sky	2	kmn	kmnɪŋ	F	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
1	sky	3	suin bn	sui̯n bnɛŋ	KL	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	1	joa	joŋŋa	C	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	1	jua	juŋŋa	DI	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	1	jua	ɲjuŋŋa	B	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	1	sa	sɨŋŋa	AE	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	1	sei	sɨŋŋei̯	H	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	1	si	sɪŋŋi	F	57	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	2	u 	ʈʃuŋ ɛː	J	57	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	3	si	sŋi	KL	57	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
2	sun	3	sni	sni	G	57	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	1	pnu	pnu	ABCDEI	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	1	pnu	pnuə̯	J	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	2	bnai	bnai̯	GKL	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	2	bni	bni	H	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
3	moon	2	mne	mne	F	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	1	khl men	khlɨ ʃmen	J	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	1	khle men	khle ʃmen	BI	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	1	khle smen	khle smen	E	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	1	khlo men	khlo ʃmen	C	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	1	khlo smen	khlo smen	A	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	khliar	khlia̯r	F	57	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	khlr	khlɔr	H	57	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	khlor	khlor	G	57	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
4	star	2	khlur	khlur	DKL	57	9	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	1	dum	dum	ABCDEFI	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	2	slap	slap	G	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	3	lmpm	lɨmpɛm	J	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	4	khlau	khlau̯	L	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
5	cloud	5	lo	lɨoʔ	K	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	1	sla	sla	ABCDEI	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	1	slap	slap	FGHL	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	1	sle	sle	J	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	2	lap	lap	K	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
6	rain	2	slap	slap	FGHL	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	1	u len	ʃu len	I	57	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	1	su len	su len	ACDE	57	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	1	suln am	sulɛn am	J	57	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	2	rn tie iam	rɨn tie̯ giɾam	G	57	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	3	u len nan	ʃu len nan	B	57	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	3	suln am	sulɛn am	J	57	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
7	rainbow	4	sm pllie	sɪm pɨllie̯ŋ	KL	57	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
