Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
35	axe	BAI	Bhumij	Baigodia	yes	40	35	right	hɑke	2	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	CHA	Bhumij	Champi	yes	40	35	right	boɖiɑ	3	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	DIG	Bhumij	Dighinuasahi	yes	40	35	right	hɐke	2	attested	high	source parenthetical qualifier: small	manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	DUM	Bhumij	Dumadie	yes	40	35	right	boɖiɑ	3	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	LAD	Bhumij	Ladhiramsai	yes	40	35	right	hɑke	2	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	MAD	Bhumij	Madhupur	yes	40	35	right	boɖiɑ	3	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	MOH	Bhumij	Mohuldiha	yes	40	35	right	bɔɖɛjɑ	3	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	MUN	Bhumij	Munduy	yes	40	35	right	hɐke	2	attested	high	source parenthetical qualifier: small	manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	POD	Bhumij	Podadiha	yes	40	35	right	boɖejɑ	3	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	UDA	Bhumij/Mundari	Udala	yes	40	35	right	hɑke	2	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	MCH	Mundari	Chalagi	no	40	35	right	hɐke | hɔɽɑmhɑke	2 | 2	attested	high	source parenthetical qualifiers align to variants: small | big	manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	MDI	Mundari	Dictionary	no	40	35	right	kɑpi	4	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
35	axe	MDH	Mundari	Dhungarisai	no	40	35	right	hɑke	2	attested	high		manual visual inspection of 400-dpi rendered PDF pages; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
